,Hoy,SD_Angle,SD_Position
0,8.0,58.0,-0.1
1,9.0,50.0,-0.09
2,10.0,75.0,-0.1
3,11.0,14.0,0.14
4,12.0,73.0,-0.12
5,13.0,54.0,-0.09
6,14.0,46.0,0.03
7,15.0,68.0,0.12
8,16.0,86.0,-0.12
9,17.0,42.0,0.06
10,32.0,3.0,0.05
11,33.0,45.0,-0.01
12,34.0,15.0,-0.1
13,35.0,54.0,0.08
14,36.0,5.0,0.07
15,37.0,68.0,0.12
16,38.0,23.0,0.08
17,39.0,35.0,0.11
18,40.0,23.0,-0.14
19,41.0,43.0,0.02
20,56.0,6.0,0.03
21,57.0,80.0,-0.11
22,58.0,65.0,-0.09
23,59.0,58.0,-0.05
24,60.0,25.0,-0.13
25,61.0,67.0,-0.12
26,62.0,68.0,0.09
27,63.0,65.0,-0.13
28,64.0,44.0,-0.02
29,65.0,46.0,0.05
30,80.0,69.0,0.12
31,81.0,40.0,0.04
32,82.0,24.0,-0.08
33,83.0,62.0,-0.12
34,84.0,61.0,-0.08
35,85.0,25.0,-0.1
36,86.0,57.0,0.12
37,87.0,89.0,0.13
38,88.0,43.0,0.06
39,89.0,65.0,-0.14
40,104.0,37.0,0.09
41,105.0,19.0,-0.08
42,106.0,76.0,0.08
43,107.0,26.0,0.12
44,108.0,67.0,-0.08
45,109.0,66.0,0.07
46,110.0,59.0,0.11
47,111.0,90.0,0.12
48,112.0,63.0,-0.09
49,113.0,43.0,-0.06
50,128.0,22.0,0.03
51,129.0,85.0,0.11
52,130.0,24.0,0.13
53,131.0,36.0,0.03
54,132.0,35.0,0.1
55,133.0,56.0,0.1
56,134.0,47.0,-0.08
57,135.0,21.0,-0.02
58,136.0,37.0,0.12
59,137.0,36.0,0.08
60,152.0,42.0,0.07
61,153.0,56.0,-0.12
62,154.0,25.0,-0.05
63,155.0,26.0,-0.1
64,156.0,45.0,-0.13
65,157.0,20.0,0.13
66,158.0,86.0,0.1
67,159.0,59.0,-0.09
68,160.0,30.0,-0.06
69,161.0,67.0,-0.12
70,176.0,73.0,-0.11
71,177.0,46.0,-0.08
72,178.0,88.0,0.1
73,179.0,18.0,-0.11
74,180.0,81.0,0.08
75,181.0,83.0,0.08
76,182.0,73.0,-0.07
77,183.0,31.0,-0.02
78,184.0,76.0,-0.13
79,185.0,55.0,-0.05
80,200.0,8.0,-0.02
81,201.0,6.0,-0.06
82,202.0,19.0,-0.14
83,203.0,79.0,0.12
84,204.0,68.0,0.09
85,205.0,56.0,0.06
86,206.0,40.0,0.13
87,207.0,83.0,-0.1
88,208.0,48.0,-0.12
89,209.0,66.0,0.13
90,224.0,62.0,-0.09
91,225.0,76.0,-0.1
92,226.0,0.0,0.11
93,227.0,22.0,0.08
94,228.0,65.0,0.09
95,229.0,38.0,-0.06
96,230.0,84.0,-0.08
97,231.0,51.0,0.05
98,232.0,61.0,-0.11
99,233.0,41.0,-0.13
100,248.0,3.0,-0.09
101,249.0,10.0,-0.14
102,250.0,59.0,-0.09
103,251.0,16.0,0.12
104,252.0,34.0,0.05
105,253.0,6.0,0.09
106,254.0,75.0,0.08
107,255.0,79.0,0.13
108,256.0,69.0,0.12
109,257.0,50.0,0.1
110,272.0,43.0,-0.05
111,273.0,40.0,0.05
112,274.0,63.0,0.07
113,275.0,29.0,0.07
114,276.0,17.0,-0.11
115,277.0,17.0,-0.07
116,278.0,32.0,0.09
117,279.0,48.0,0.07
118,280.0,6.0,-0.11
119,281.0,62.0,0.03
120,296.0,0.0,0.07
121,297.0,56.0,-0.09
122,298.0,68.0,0.09
123,299.0,12.0,-0.09
124,300.0,22.0,-0.06
125,301.0,54.0,0.12
126,302.0,29.0,-0.07
127,303.0,78.0,0.09
128,304.0,90.0,0.11
129,305.0,24.0,0.01
130,320.0,82.0,-0.12
131,321.0,42.0,-0.03
132,322.0,2.0,0.09
133,323.0,67.0,-0.09
134,324.0,69.0,0.07
135,325.0,78.0,0.12
136,326.0,9.0,0.0
137,327.0,71.0,0.09
138,328.0,8.0,-0.08
139,329.0,59.0,-0.06
140,344.0,16.0,-0.05
141,345.0,13.0,0.08
142,346.0,24.0,0.06
143,347.0,47.0,0.11
144,348.0,24.0,-0.06
145,349.0,33.0,0.11
146,350.0,76.0,0.09
147,351.0,64.0,0.14
148,352.0,62.0,-0.14
149,353.0,36.0,0.05
150,368.0,44.0,0.13
151,369.0,3.0,-0.08
152,370.0,61.0,0.09
153,371.0,29.0,-0.01
154,372.0,36.0,-0.12
155,373.0,35.0,0.13
156,374.0,53.0,0.11
157,375.0,33.0,-0.01
158,376.0,24.0,0.12
159,377.0,70.0,-0.04
160,392.0,55.0,0.12
161,393.0,49.0,-0.07
162,394.0,40.0,0.07
163,395.0,39.0,0.07
164,396.0,75.0,-0.1
165,397.0,42.0,-0.14
166,398.0,80.0,0.08
167,399.0,90.0,0.09
168,400.0,27.0,-0.04
169,401.0,27.0,0.06
170,402.0,26.0,0.06
171,416.0,38.0,-0.04
172,417.0,43.0,0.07
173,418.0,15.0,-0.05
174,419.0,13.0,0.11
175,420.0,59.0,-0.06
176,421.0,87.0,-0.13
177,422.0,0.0,0.08
178,423.0,83.0,0.12
179,424.0,16.0,-0.07
180,425.0,39.0,-0.01
181,426.0,53.0,0.02
182,440.0,40.0,-0.08
183,441.0,28.0,-0.05
184,442.0,2.0,-0.12
185,443.0,32.0,0.08
186,444.0,50.0,-0.08
187,445.0,60.0,0.1
188,446.0,22.0,-0.11
189,447.0,90.0,-0.1
190,448.0,42.0,-0.09
191,449.0,4.0,-0.13
192,450.0,36.0,0.06
193,464.0,42.0,-0.09
194,465.0,60.0,0.1
195,466.0,74.0,0.11
196,467.0,7.0,-0.13
197,468.0,29.0,0.06
198,469.0,12.0,0.1
199,470.0,57.0,-0.13
200,471.0,58.0,0.09
201,472.0,13.0,0.1
202,473.0,18.0,0.1
203,474.0,53.0,0.07
204,488.0,46.0,0.14
205,489.0,59.0,-0.12
206,490.0,87.0,0.11
207,491.0,70.0,0.1
208,492.0,78.0,0.1
209,493.0,67.0,-0.14
210,494.0,26.0,-0.05
211,495.0,86.0,0.08
212,496.0,38.0,0.07
213,497.0,80.0,-0.14
214,498.0,21.0,-0.0
215,512.0,35.0,0.03
216,513.0,19.0,0.01
217,514.0,19.0,0.13
218,515.0,44.0,-0.09
219,516.0,15.0,0.1
220,517.0,19.0,0.13
221,518.0,0.0,0.08
222,519.0,88.0,0.11
223,520.0,86.0,0.13
224,521.0,36.0,-0.07
225,522.0,7.0,-0.03
226,536.0,20.0,-0.1
227,537.0,36.0,-0.02
228,538.0,54.0,0.09
229,539.0,59.0,0.05
230,540.0,14.0,-0.11
231,541.0,17.0,0.13
232,542.0,63.0,0.1
233,543.0,24.0,-0.03
234,544.0,90.0,-0.12
235,545.0,49.0,-0.01
236,546.0,12.0,-0.13
237,560.0,6.0,-0.11
238,561.0,35.0,-0.12
239,562.0,17.0,-0.05
240,563.0,31.0,-0.12
241,564.0,41.0,0.1
242,565.0,75.0,-0.1
243,566.0,11.0,0.12
244,567.0,0.0,0.08
245,568.0,63.0,-0.12
246,569.0,2.0,-0.11
247,570.0,28.0,-0.0
248,584.0,15.0,0.08
249,585.0,49.0,0.12
250,586.0,34.0,-0.05
251,587.0,34.0,0.1
252,588.0,45.0,0.05
253,589.0,0.0,-0.1
254,590.0,90.0,0.08
255,591.0,3.0,0.08
256,592.0,51.0,-0.02
257,593.0,90.0,-0.01
258,594.0,27.0,0.13
259,608.0,64.0,0.12
260,609.0,31.0,-0.09
261,610.0,53.0,-0.1
262,611.0,52.0,-0.08
263,612.0,37.0,-0.07
264,613.0,21.0,-0.07
265,614.0,47.0,-0.09
266,615.0,51.0,0.06
267,616.0,38.0,-0.02
268,617.0,11.0,0.01
269,618.0,31.0,0.13
270,632.0,31.0,-0.12
271,633.0,57.0,-0.12
272,634.0,70.0,-0.14
273,635.0,30.0,-0.09
274,636.0,57.0,0.07
275,637.0,6.0,0.05
276,638.0,50.0,-0.08
277,639.0,25.0,0.0
278,640.0,66.0,0.11
279,641.0,1.0,-0.04
280,642.0,80.0,-0.14
281,656.0,58.0,-0.12
282,657.0,53.0,-0.07
283,658.0,15.0,-0.08
284,659.0,45.0,0.05
285,660.0,17.0,0.09
286,661.0,41.0,0.1
287,662.0,36.0,0.07
288,663.0,28.0,0.13
289,664.0,31.0,-0.09
290,665.0,51.0,-0.05
291,666.0,17.0,-0.03
292,680.0,31.0,-0.06
293,681.0,49.0,-0.11
294,682.0,39.0,-0.09
295,683.0,44.0,-0.08
296,684.0,26.0,-0.03
297,685.0,75.0,0.09
298,686.0,72.0,0.08
299,687.0,7.0,-0.06
300,688.0,66.0,0.13
301,689.0,36.0,0.01
302,690.0,28.0,-0.03
303,704.0,27.0,-0.1
304,705.0,19.0,0.12
305,706.0,71.0,-0.1
306,707.0,31.0,-0.06
307,708.0,2.0,-0.11
308,709.0,89.0,0.13
309,710.0,32.0,-0.03
310,711.0,56.0,0.13
311,712.0,72.0,0.14
312,713.0,68.0,0.12
313,714.0,38.0,-0.11
314,728.0,72.0,-0.11
315,729.0,79.0,0.11
316,730.0,37.0,0.1
317,731.0,55.0,0.06
318,732.0,40.0,0.11
319,733.0,61.0,-0.11
320,734.0,10.0,-0.01
321,735.0,38.0,0.08
322,736.0,66.0,0.11
323,737.0,68.0,-0.06
324,738.0,29.0,-0.0
325,752.0,11.0,0.04
326,753.0,36.0,-0.03
327,754.0,11.0,0.08
328,755.0,66.0,-0.13
329,756.0,90.0,-0.12
330,757.0,17.0,0.09
331,758.0,47.0,-0.13
332,759.0,23.0,-0.14
333,760.0,8.0,-0.08
334,761.0,11.0,0.14
335,762.0,86.0,-0.14
336,776.0,45.0,-0.08
337,777.0,2.0,-0.08
338,778.0,5.0,0.11
339,779.0,46.0,-0.07
340,780.0,56.0,0.06
341,781.0,29.0,0.13
342,782.0,31.0,-0.07
343,783.0,72.0,0.13
344,784.0,9.0,-0.14
345,785.0,33.0,-0.04
346,786.0,61.0,-0.13
347,800.0,1.0,0.03
348,801.0,49.0,-0.12
349,802.0,30.0,-0.07
350,803.0,31.0,-0.12
351,804.0,13.0,0.09
352,805.0,44.0,0.05
353,806.0,90.0,-0.11
