Hoy,Azimuth,Altitude,Hor_Angle,Ver_Angle,I_direct,I_diffuse,sky_cover,max_irradiance,max_pv_generation
8,120.596635,10.780014,12.472756,20.509417,103.0,29.0,0.2,2240.886031857495,10756.252952915975
9,128.699259,22.146557,27.542384,33.062713,353.0,88.0,0.2,7141.72541184427,34280.28197685249
10,139.426949,32.114982,43.980069,39.568019,626.0,114.0,0.2,19406.946030279632,93153.34094534224
11,153.619988,39.793756,61.924042,42.91693,680.0,151.0,0.2,16065.006564257594,77112.03150843644
12,171.312678,44.005998,81.112272,44.336446,686.0,177.0,0.2,16252.305837363088,78011.06801934283
13,190.49774,43.78824,79.238121,44.271526,790.0,149.0,0.2,17979.82174767119,86303.14438882172
14,207.909843,39.197532,60.145247,42.702356,708.0,171.0,0.2,31446.086856014063,150941.2169088675
15,221.752991,31.256166,42.34802,39.1317,729.0,134.0,0.2,18429.376634009815,88461.0078432471
16,232.196943,21.122161,26.055302,32.221268,616.0,109.0,0.1,16821.264672493082,80742.07042796678
17,240.101948,9.658549,11.106794,18.851412,416.0,75.0,0.1,10941.37015341118,52518.57673637367
32,120.465809,10.730539,12.399726,20.493577,0.0,17.0,1.0,2.04,9.792
33,128.553987,22.115841,27.458762,33.10559,8.0,123.0,1.0,120.63286713124117,579.0377622299576
34,139.263889,32.110208,43.879908,39.631623,101.0,239.0,0.7,1840.8505253878436,8836.082521861648
35,153.444076,39.823399,61.80221,42.990622,273.0,295.0,0.4,3395.08567539265,16296.41124188472
36,171.146225,44.075737,80.967753,44.419059,280.0,352.0,0.2,2775.5359648680756,13322.572631366762
37,190.373179,43.893825,79.399765,44.365682,253.0,336.0,0.4,2265.5388895999804,10874.586670079905
38,207.840423,39.325464,60.314352,42.814184,115.0,317.0,0.6,3276.747493523064,15728.387968910705
39,221.728319,31.393464,42.515753,39.272354,202.0,311.0,0.8,160.60319987500722,770.8953594000346
40,232.201916,21.260994,26.216643,32.410254,115.0,213.0,0.5,1428.565749335097,6857.115596808466
41,240.126501,9.794572,11.259531,19.115833,51.0,121.0,0.3,42.03992429457584,201.79163661396402
56,120.329004,10.68576,12.331633,20.489608,7.0,30.0,0.6,125.2782105090875,601.3354104436199
57,128.403192,22.090561,27.380184,33.15931,76.0,97.0,0.9,1119.4573984462045,5373.3955125417815
58,139.096073,32.111663,43.784468,39.704414,257.0,263.0,0.7,5820.945485103495,27940.538328496776
59,153.264972,39.860012,61.684383,43.07262,509.0,201.0,0.4,9944.348220996288,47732.87146078218
60,170.979363,44.152835,80.826174,44.50929,487.0,279.0,0.2,10153.768532638322,48738.088956663945
61,190.251661,44.006449,79.560151,44.467304,459.0,296.0,0.3,6345.965506527094,30460.634431330047
62,207.776652,39.459437,60.483592,42.933646,300.0,318.0,0.4,9791.923569980654,47001.23313590714
63,221.710489,31.535554,42.68474,39.421049,344.0,264.0,0.5,3315.4454243753903,15914.138037001872
64,232.214067,21.403458,26.379893,32.607878,235.0,174.0,0.6,4448.889794378094,21354.67101301485
65,240.158297,9.933268,11.414404,19.388907,12.0,92.0,0.7,19.77053816566124,94.89858319517394
80,120.186304,10.645733,12.268534,20.497713,6.0,29.0,0.6,115.3415765180359,553.6395672865723
81,128.246961,22.070752,27.306552,33.223776,51.0,107.0,0.9,676.561747244119,3247.496386771771
82,138.923588,32.11936,43.693858,39.786499,161.0,183.0,0.7,4545.868567954833,21820.1691261832
83,153.082756,39.903585,61.570752,43.162775,510.0,210.0,0.5,9878.872563162784,47418.588303181365
84,170.812173,44.237264,80.68748,44.607103,380.0,252.0,0.3,9999.0601948125,47995.4889351
85,190.133282,44.126063,79.718966,44.576309,210.0,372.0,0.5,1460.0706643913525,7008.3391890784915
86,207.718633,39.599375,60.652797,43.060606,141.0,328.0,0.7,4127.858713303338,19813.72182385602
87,221.699583,31.682339,42.854755,39.577654,313.0,308.0,0.9,2150.2166034153925,10321.039696393884
