,vis,sd_angle,sd_position
0,91.304348,0.0,-0.14
1,91.304348,1.0,-0.14
2,91.304348,2.0,-0.14
3,91.304348,3.0,-0.14
4,91.304348,4.0,-0.14
5,91.304348,5.0,-0.14
6,91.304348,6.0,-0.14
7,91.304348,7.0,-0.14
8,91.304348,8.0,-0.14
9,91.304348,9.0,-0.14
10,91.304348,10.0,-0.14
11,91.304348,11.0,-0.14
12,91.304348,12.0,-0.14
13,91.304348,13.0,-0.14
14,91.304348,14.0,-0.14
15,91.304348,15.0,-0.14
16,91.304348,16.0,-0.14
17,91.304348,17.0,-0.14
18,91.304348,18.0,-0.14
19,91.304348,19.0,-0.14
20,91.304348,20.0,-0.14
21,91.304348,21.0,-0.14
22,91.304348,22.0,-0.14
23,91.304348,23.0,-0.14
24,91.304348,24.0,-0.14
25,91.304348,25.0,-0.14
26,91.304348,26.0,-0.14
27,91.304348,27.0,-0.14
28,91.304348,28.0,-0.14
29,91.304348,29.0,-0.14
30,91.304348,30.0,-0.14
31,91.304348,31.0,-0.14
32,91.304348,32.0,-0.14
33,91.304348,33.0,-0.14
34,91.304348,34.0,-0.14
35,91.304348,35.0,-0.14
36,91.304348,36.0,-0.14
37,91.304348,37.0,-0.14
38,91.304348,38.0,-0.14
39,91.304348,39.0,-0.14
40,91.304348,40.0,-0.14
41,91.304348,41.0,-0.14
42,91.304348,42.0,-0.14
43,91.304348,43.0,-0.14
44,91.304348,44.0,-0.14
45,91.304348,45.0,-0.14
46,91.304348,46.0,-0.14
47,91.304348,47.0,-0.14
48,91.304348,48.0,-0.14
49,91.304348,49.0,-0.14
50,91.304348,50.0,-0.14
51,91.304348,51.0,-0.14
52,91.304348,52.0,-0.14
53,91.304348,53.0,-0.14
54,91.304348,54.0,-0.14
55,91.304348,55.0,-0.14
56,91.304348,56.0,-0.14
57,91.304348,57.0,-0.14
58,91.304348,58.0,-0.14
59,91.304348,59.0,-0.14
60,91.304348,60.0,-0.14
61,91.304348,61.0,-0.14
62,91.304348,62.0,-0.14
63,91.304348,63.0,-0.14
64,91.304348,64.0,-0.14
65,91.304348,65.0,-0.14
66,91.304348,66.0,-0.14
67,91.304348,67.0,-0.14
68,91.304348,68.0,-0.14
69,91.304348,69.0,-0.14
70,91.304348,70.0,-0.14
71,91.304348,71.0,-0.14
72,91.304348,72.0,-0.14
73,91.304348,73.0,-0.14
74,91.304348,74.0,-0.14
75,91.304348,75.0,-0.14
76,91.304348,76.0,-0.14
77,91.304348,77.0,-0.14
78,91.304348,78.0,-0.14
79,91.304348,79.0,-0.14
80,91.304348,80.0,-0.14
81,91.304348,81.0,-0.14
82,91.304348,82.0,-0.14
83,91.304348,83.0,-0.14
84,91.304348,84.0,-0.14
85,91.304348,85.0,-0.14
86,91.304348,86.0,-0.14
87,91.304348,87.0,-0.14
88,91.304348,88.0,-0.14
89,91.304348,89.0,-0.14
90,95.652174,90.0,-0.14
91,86.956522,0.0,-0.13
92,86.956522,1.0,-0.13
93,86.956522,2.0,-0.13
94,82.608696,3.0,-0.13
95,82.608696,4.0,-0.13
96,82.608696,5.0,-0.13
97,82.608696,6.0,-0.13
98,82.608696,7.0,-0.13
99,82.608696,8.0,-0.13
100,82.608696,9.0,-0.13
101,82.608696,10.0,-0.13
102,82.608696,11.0,-0.13
103,82.608696,12.0,-0.13
104,82.608696,13.0,-0.13
105,82.608696,14.0,-0.13
106,82.608696,15.0,-0.13
107,82.608696,16.0,-0.13
108,82.608696,17.0,-0.13
109,82.608696,18.0,-0.13
110,82.608696,19.0,-0.13
111,82.608696,20.0,-0.13
112,82.608696,21.0,-0.13
113,82.608696,22.0,-0.13
114,82.608696,23.0,-0.13
115,82.608696,24.0,-0.13
116,82.608696,25.0,-0.13
117,82.608696,26.0,-0.13
118,82.608696,27.0,-0.13
119,82.608696,28.0,-0.13
120,82.608696,29.0,-0.13
121,82.608696,30.0,-0.13
122,82.608696,31.0,-0.13
123,82.608696,32.0,-0.13
124,82.608696,33.0,-0.13
125,82.608696,34.0,-0.13
126,82.608696,35.0,-0.13
127,82.608696,36.0,-0.13
128,82.608696,37.0,-0.13
129,82.608696,38.0,-0.13
130,82.608696,39.0,-0.13
131,82.608696,40.0,-0.13
132,82.608696,41.0,-0.13
133,82.608696,42.0,-0.13
134,82.608696,43.0,-0.13
135,82.608696,44.0,-0.13
136,82.608696,45.0,-0.13
137,82.608696,46.0,-0.13
138,82.608696,47.0,-0.13
139,82.608696,48.0,-0.13
140,82.608696,49.0,-0.13
141,82.608696,50.0,-0.13
142,82.608696,51.0,-0.13
143,82.608696,52.0,-0.13
144,82.608696,53.0,-0.13
145,82.608696,54.0,-0.13
146,82.608696,55.0,-0.13
147,82.608696,56.0,-0.13
148,82.608696,57.0,-0.13
149,82.608696,58.0,-0.13
150,82.608696,59.0,-0.13
151,82.608696,60.0,-0.13
152,82.608696,61.0,-0.13
153,82.608696,62.0,-0.13
154,82.608696,63.0,-0.13
155,82.608696,64.0,-0.13
156,86.956522,65.0,-0.13
157,86.956522,66.0,-0.13
158,86.956522,67.0,-0.13
159,86.956522,68.0,-0.13
160,86.956522,69.0,-0.13
161,86.956522,70.0,-0.13
162,86.956522,71.0,-0.13
163,86.956522,72.0,-0.13
164,86.956522,73.0,-0.13
165,86.956522,74.0,-0.13
166,86.956522,75.0,-0.13
167,86.956522,76.0,-0.13
168,86.956522,77.0,-0.13
169,86.956522,78.0,-0.13
170,86.956522,79.0,-0.13
171,86.956522,80.0,-0.13
172,86.956522,81.0,-0.13
173,86.956522,82.0,-0.13
174,86.956522,83.0,-0.13
175,86.956522,84.0,-0.13
176,86.956522,85.0,-0.13
177,86.956522,86.0,-0.13
178,86.956522,87.0,-0.13
179,86.956522,88.0,-0.13
180,86.956522,89.0,-0.13
181,86.956522,90.0,-0.13
182,78.26087,0.0,-0.12
183,78.26087,1.0,-0.12
184,78.26087,2.0,-0.12
185,78.26087,3.0,-0.12
186,78.26087,4.0,-0.12
187,78.26087,5.0,-0.12
188,78.26087,6.0,-0.12
189,78.26087,7.0,-0.12
190,78.26087,8.0,-0.12
191,78.26087,9.0,-0.12
192,78.26087,10.0,-0.12
193,78.26087,11.0,-0.12
194,78.26087,12.0,-0.12
195,78.26087,13.0,-0.12
196,78.26087,14.0,-0.12
197,78.26087,15.0,-0.12
198,78.26087,16.0,-0.12
199,78.26087,17.0,-0.12
200,78.26087,18.0,-0.12
201,78.26087,19.0,-0.12
202,78.26087,20.0,-0.12
203,78.26087,21.0,-0.12
204,78.26087,22.0,-0.12
205,78.26087,23.0,-0.12
206,78.26087,24.0,-0.12
207,78.26087,25.0,-0.12
208,78.26087,26.0,-0.12
209,78.26087,27.0,-0.12
210,78.26087,28.0,-0.12
211,78.26087,29.0,-0.12
212,78.26087,30.0,-0.12
213,78.26087,31.0,-0.12
214,78.26087,32.0,-0.12
215,78.26087,33.0,-0.12
216,78.26087,34.0,-0.12
217,78.26087,35.0,-0.12
218,78.26087,36.0,-0.12
219,78.26087,37.0,-0.12
220,78.26087,38.0,-0.12
221,78.26087,39.0,-0.12
222,78.26087,40.0,-0.12
223,78.26087,41.0,-0.12
224,78.26087,42.0,-0.12
225,78.26087,43.0,-0.12
226,78.26087,44.0,-0.12
227,78.26087,45.0,-0.12
228,78.26087,46.0,-0.12
229,78.26087,47.0,-0.12
230,78.26087,48.0,-0.12
231,78.26087,49.0,-0.12
232,78.26087,50.0,-0.12
233,78.26087,51.0,-0.12
234,78.26087,52.0,-0.12
235,78.26087,53.0,-0.12
236,78.26087,54.0,-0.12
237,78.26087,55.0,-0.12
238,78.26087,56.0,-0.12
239,78.26087,57.0,-0.12
240,78.26087,58.0,-0.12
241,78.26087,59.0,-0.12
242,78.26087,60.0,-0.12
243,78.26087,61.0,-0.12
244,78.26087,62.0,-0.12
245,78.26087,63.0,-0.12
246,78.26087,64.0,-0.12
247,78.26087,65.0,-0.12
248,78.26087,66.0,-0.12
249,78.26087,67.0,-0.12
250,78.26087,68.0,-0.12
251,78.26087,69.0,-0.12
252,78.26087,70.0,-0.12
253,78.26087,71.0,-0.12
254,78.26087,72.0,-0.12
255,78.26087,73.0,-0.12
256,78.26087,74.0,-0.12
257,78.26087,75.0,-0.12
258,78.26087,76.0,-0.12
259,78.26087,77.0,-0.12
260,78.26087,78.0,-0.12
261,78.26087,79.0,-0.12
262,78.26087,80.0,-0.12
263,78.26087,81.0,-0.12
264,78.26087,82.0,-0.12
265,78.26087,83.0,-0.12
266,78.26087,84.0,-0.12
267,82.608696,85.0,-0.12
268,82.608696,86.0,-0.12
269,82.608696,87.0,-0.12
270,82.608696,88.0,-0.12
271,82.608696,89.0,-0.12
