,Hoy,SD_Angle,SD_Position
0,2167.0,78.0,-0.01
1,2168.0,56.0,-0.03
2,2169.0,54.0,-0.01
3,2170.0,54.0,0.11
4,2171.0,11.0,0.14
5,2172.0,42.0,-0.05
6,2173.0,90.0,0.01
7,2174.0,0.0,-0.02
8,2175.0,30.0,0.14
9,2176.0,58.0,-0.13
10,2177.0,49.0,0.07
11,2178.0,3.0,0.05
12,2190.0,66.0,-0.09
13,2191.0,43.0,-0.04
14,2192.0,46.0,-0.07
15,2193.0,42.0,0.0
16,2194.0,33.0,-0.05
17,2195.0,32.0,-0.04
18,2196.0,0.0,-0.02
19,2197.0,38.0,0.11
20,2198.0,36.0,0.14
21,2199.0,87.0,0.13
22,2200.0,51.0,-0.06
23,2201.0,69.0,-0.05
24,2202.0,0.0,-0.08
25,2214.0,29.0,0.04
26,2215.0,3.0,0.05
27,2216.0,31.0,0.04
28,2217.0,28.0,-0.12
29,2218.0,88.0,0.04
30,2219.0,87.0,-0.12
31,2220.0,78.0,0.09
32,2221.0,0.0,-0.12
33,2222.0,4.0,0.0
34,2223.0,20.0,-0.08
35,2224.0,10.0,-0.04
36,2225.0,45.0,0.03
37,2226.0,4.0,0.14
38,2238.0,58.0,-0.02
39,2239.0,65.0,0.02
40,2240.0,48.0,-0.12
41,2241.0,53.0,-0.05
42,2242.0,0.0,0.13
43,2243.0,39.0,0.0
44,2244.0,26.0,-0.06
45,2245.0,2.0,-0.11
46,2246.0,9.0,0.09
47,2247.0,46.0,-0.02
48,2248.0,62.0,-0.02
49,2249.0,73.0,0.03
50,2250.0,0.0,-0.12
51,2262.0,67.0,-0.01
52,2263.0,55.0,-0.08
53,2264.0,60.0,-0.12
54,2265.0,15.0,-0.0
55,2266.0,85.0,0.12
56,2267.0,22.0,0.13
57,2268.0,72.0,0.08
58,2269.0,69.0,0.11
59,2270.0,10.0,-0.14
60,2271.0,6.0,-0.14
61,2272.0,6.0,-0.02
62,2273.0,75.0,-0.08
63,2274.0,12.0,-0.03
64,2286.0,15.0,-0.07
65,2287.0,0.0,-0.14
66,2288.0,55.0,0.02
67,2289.0,51.0,-0.08
68,2290.0,9.0,0.09
69,2291.0,55.0,0.12
70,2292.0,39.0,0.11
71,2293.0,6.0,0.1
72,2294.0,36.0,0.13
73,2295.0,31.0,-0.05
74,2296.0,57.0,0.02
75,2297.0,43.0,0.0
76,2298.0,9.0,0.08
77,2310.0,27.0,-0.02
78,2311.0,33.0,-0.02
79,2312.0,6.0,-0.11
80,2313.0,33.0,-0.03
81,2314.0,26.0,-0.01
82,2315.0,14.0,-0.13
83,2316.0,57.0,0.07
84,2317.0,36.0,0.08
85,2318.0,46.0,0.1
86,2319.0,45.0,-0.02
87,2320.0,16.0,0.05
88,2321.0,4.0,-0.01
89,2322.0,19.0,-0.06
90,2334.0,40.0,0.08
91,2335.0,9.0,0.06
92,2336.0,6.0,0.03
93,2337.0,79.0,0.12
94,2338.0,32.0,-0.14
95,2339.0,67.0,0.08
96,2340.0,31.0,-0.0
97,2341.0,75.0,0.06
98,2342.0,66.0,0.11
99,2343.0,47.0,-0.03
100,2344.0,71.0,-0.09
101,2345.0,53.0,-0.02
102,2346.0,0.0,-0.14
103,2358.0,4.0,-0.03
104,2359.0,50.0,-0.06
105,2360.0,32.0,-0.03
106,2361.0,76.0,-0.14
107,2362.0,33.0,0.14
108,2363.0,84.0,0.11
109,2364.0,64.0,-0.06
110,2365.0,35.0,-0.06
111,2366.0,8.0,-0.13
112,2367.0,38.0,0.02
113,2368.0,10.0,-0.09
114,2369.0,22.0,0.07
115,2370.0,14.0,-0.03
116,2382.0,50.0,-0.09
117,2383.0,18.0,0.05
118,2384.0,26.0,-0.09
119,2385.0,54.0,-0.14
120,2386.0,0.0,-0.01
