Time,ROOM_4_8151D354:SHENZHEN ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_4_8151D354:SHENZHEN ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_4_8151D354:SHENZHEN ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_4_8151D354:SHENZHEN ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_4_8151D354::Des Latent Heat Load [W],ROOM_4_8151D354::Des Latent Cool Load [W],ROOM_4_8151D354::Des Latent Heat Mass Flow [kg/s],ROOM_4_8151D354::Des Latent Cool Mass Flow [kg/s],ROOM_4_8151D354::Des Heat Load No DOAS [W],ROOM_4_8151D354::Des Sens Cool Load No DOAS [W],ROOM_4_8151D354::Des Latent Heat Load No DOAS [W],ROOM_4_8151D354::Des Latent Cool Load No DOAS [W],ROOM_4_8151D354:SHENZHEN ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],ROOM_4_8151D354:SHENZHEN ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],ROOM_4_8151D354:SHENZHEN ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],ROOM_4_8151D354:SHENZHEN ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
01:00:00,1.932849E+02,4.941556E+02,7.768224E-03,3.817070E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559950E+01,5.982583E+01,2.668413E+01,5.761349E+01
02:00:00,2.250545E+02,5.300909E+02,9.044425E-03,4.094658E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559777E+01,6.004786E+01,2.668410E+01,5.785788E+01
03:00:00,2.912931E+02,5.286833E+02,1.170604E-02,4.084019E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559702E+01,6.010221E+01,2.668337E+01,5.655700E+01
04:00:00,3.217152E+02,5.181251E+02,1.292846E-02,4.002132E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559676E+01,6.069223E+01,2.668441E+01,5.597584E+01
05:00:00,3.409988E+02,5.057794E+02,1.370337E-02,3.906509E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559672E+01,6.128233E+01,2.668526E+01,5.617171E+01
06:00:00,8.011203E+02,7.267436E+02,3.423252E-02,5.880441E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.722878E+01,5.725132E+01,2.608036E+01,5.691198E+01
07:00:00,1.026067E+03,8.883795E+02,4.811272E-02,7.696400E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.921507E+01,5.353457E+01,2.529984E+01,5.391790E+01
08:00:00,1.240059E+03,1.118652E+03,6.277323E-02,1.048198E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.066706E+01,5.063834E+01,2.444686E+01,5.046940E+01
09:00:00,1.013692E+03,1.062944E+03,5.231813E-02,1.040644E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099900E+01,5.036749E+01,2.400773E+01,4.996535E+01
10:00:00,9.330276E+02,1.061661E+03,4.815442E-02,1.040395E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099880E+01,5.031836E+01,2.399803E+01,4.958984E+01
11:00:00,8.795498E+02,1.066118E+03,4.539429E-02,1.045008E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099877E+01,5.026339E+01,2.399569E+01,4.985774E+01
12:00:00,8.596957E+02,1.082030E+03,4.436959E-02,1.060704E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099876E+01,5.016422E+01,2.399475E+01,4.990968E+01
13:00:00,8.488886E+02,1.099309E+03,4.381168E-02,1.077682E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099870E+01,5.012319E+01,2.399439E+01,4.978719E+01
14:00:00,8.412444E+02,1.126755E+03,4.341709E-02,1.104592E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099867E+01,5.011672E+01,2.399435E+01,4.968359E+01
15:00:00,8.349859E+02,1.151914E+03,4.309408E-02,1.129255E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099866E+01,5.011319E+01,2.399436E+01,4.959920E+01
16:00:00,8.294298E+02,1.164165E+03,4.280734E-02,1.141262E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099867E+01,5.010432E+01,2.399439E+01,4.951946E+01
17:00:00,8.242973E+02,1.161036E+03,4.254245E-02,1.138187E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099867E+01,5.009352E+01,2.399445E+01,4.947059E+01
18:00:00,8.194692E+02,1.141226E+03,4.229326E-02,1.118757E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099866E+01,5.008389E+01,2.399454E+01,4.947100E+01
19:00:00,1.094935E+03,1.105243E+03,5.651019E-02,1.083473E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099866E+01,5.007570E+01,2.399463E+01,4.952570E+01
20:00:00,1.090602E+03,1.076053E+03,5.628574E-02,1.054850E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099838E+01,4.874841E+01,2.399470E+01,4.963736E+01
