Hoy,Gen,Ind,Sd_A,Sd_L,Pvg,shade_percent,shade_rad,Val_Pvg,Optimizer,,,,,,,,
1932,0,0,26,-0.05,626.795,0.664,221.947,0.469,-0.469,,,,,,,,
1932,0,1,66,0.07,376.124,0.797,220.554,0.281,-0.281,,,,,,,,
1932,0,2,82,0.07,386.98,0.791,219.98,0.289,-0.289,,,,,,,,
1932,0,3,28,-0.05,611.262,0.672,221.888,0.457,-0.457,,,,,,,,
1932,0,4,6,-0.07,789.36,0.578,222.654,0.59,-0.59,,,,,,,,
1932,0,5,84,0.11,195.284,0.894,219.928,0.146,-0.146,,,,,,,,
1932,0,6,45,-0.09,306.889,0.835,221.293,0.229,-0.229,,,,,HOY,angle,site,best_fitness
1932,0,7,75,0.05,472.322,0.745,220.233,0.353,-0.353,,,,0,1928,0,0,-1.4
1932,0,8,37,-0.01,760.265,0.591,221.556,0.569,-0.569,,,,1,1929,0,0,-1.4
1932,0,9,46,0.05,504.578,0.728,221.239,0.377,-0.377,,,,2,1930,0,0,-1.4
1932,1,0,51,0.01,685.932,0.631,221.085,0.513,-0.513,,,,3,1931,0,0,-1.4
1932,1,1,60,0.02,614.729,0.668,220.758,0.46,-0.46,,,,4,1932,0,0,-1.4
1932,1,2,40,-0.05,528.347,0.716,221.445,0.395,-0.395,,,,5,1933,0,0,-1.4
1932,1,3,27,-0.12,187.37,0.899,221.928,0.14,-0.14,,,,6,1934,0,0,-1.4
1932,1,4,5,-0.03,1225.164,0.345,222.693,0.916,-0.916,,,,7,1935,0,0,-1.4
1932,1,5,39,-0.01,749.998,0.597,221.507,0.561,-0.561,,,,8,1936,0,0,-1.4
1932,1,6,7,0.03,1132.874,0.394,222.607,0.847,-0.847,,,,9,1937,0,0,-1.4
1932,1,7,67,0.02,608.732,0.671,220.507,0.455,-0.455,,,,10,4136,9,0,-1.398606
1932,1,8,39,0.03,644.496,0.654,221.512,0.482,-0.482,,,,11,4137,21,0,-1.394585
1932,1,9,66,0.02,608.917,0.671,220.532,0.455,-0.455,,,,12,4138,4,0,-1.399569
1932,2,0,20,-0.04,766.505,0.589,222.165,0.573,-0.573,,,,13,4139,19,0,-1.395119
1932,2,1,31,-0.05,585.626,0.686,221.778,0.438,-0.438,,,,14,4140,0,0,-1.4
1932,2,2,0,-0.01,1748.573,0.066,222.879,1.308,-1.308,,,,15,4141,6,0,-1.398499
1932,2,3,0,-0.09,753.5,0.598,222.879,0.563,-0.563,,,,16,4142,6,0,-1.399548
1932,2,4,25,-0.08,448.445,0.76,221.991,0.335,-0.335,,,,17,4143,6,0,-1.398361
1932,2,5,5,-0.04,1133.564,0.394,222.702,0.848,-0.848,,,,18,4144,14,0,-1.398336
1932,2,6,0,0.04,1376.706,0.265,222.879,1.029,-1.029,,,,19,4145,8,0,-1.397966
1932,2,7,78,0.11,191.322,0.897,220.114,0.143,-0.143,,,,20,6344,0,0,-1.4
1932,2,8,0,0.09,753.5,0.598,222.879,0.563,-0.563,,,,21,6345,0,0,-1.4
1932,2,9,62,0.07,378.061,0.796,220.693,0.283,-0.283,,,,22,6346,0,0,-1.4
1932,3,0,0,0.07,1003.297,0.464,222.879,0.75,-0.75,,,,23,6347,0,0,-1.4
1932,3,1,51,-0.02,636.738,0.657,221.078,0.476,-0.476,,,,24,6348,0,0,-1.4
1932,3,2,0,0.01,1748.573,0.066,222.879,1.308,-1.308,,,,25,6349,0,0,-1.4
1932,3,3,0,0.03,1500.833,0.198,222.879,1.122,-1.122,,,,26,6350,0,0,-1.4
1932,3,4,0,0.01,1748.573,0.066,222.879,1.308,-1.308,,,,27,6351,0,0,-1.4
1932,3,5,0,-0.06,1127.938,0.398,222.879,0.843,-0.843,,,,28,6352,0,0.01,-1.316589
1932,3,6,15,0.03,921.802,0.506,222.331,0.689,-0.689,,,,29,6353,0,0,-1.4
1932,3,7,38,-0.03,645.823,0.653,221.519,0.483,-0.483,,,,30,8528,60,0,-1.384519
1932,3,8,36,0,825.038,0.557,221.601,0.617,-0.617,,,,31,8529,0,0,-1.4
1932,3,9,24,0,962.011,0.484,222.006,0.719,-0.719,,,,32,8530,84,0,-1.377051
1932,4,0,29,-0.05,602.469,0.677,221.852,0.451,-0.451,,,,33,8531,90,-0.01,-1.375531
1932,4,1,6,0.01,1379.487,0.262,222.657,1.032,-1.032,,,,34,8532,89,0,-1.37586
1932,4,2,26,0,941.648,0.495,221.958,0.704,-0.704,,,,35,8533,90,0,-1.375536
1932,4,3,0,0.09,753.5,0.598,222.879,0.563,-0.563,,,,36,8534,0,0,-1.4
1932,4,4,0,0.09,753.5,0.598,222.879,0.563,-0.563,,,,37,8535,82,0.01,-1.377666
1932,4,5,0,-0.03,1500.833,0.198,222.879,1.122,-1.122,,,,38,8536,68,-0.01,-1.389179
1932,4,6,20,0.03,834.086,0.553,222.162,0.624,-0.624,,,,39,8537,44,0,-1.388309
1932,4,7,43,0.03,619.066,0.667,221.351,0.463,-0.463,,,,,,,,
1932,4,8,0,-0.01,1748.573,0.066,222.879,1.308,-1.308,,,,,,,,
1932,4,9,13,-0.03,971.512,0.48,222.41,0.726,-0.726,,,,,,,,
1932,5,0,0,0.04,1376.706,0.265,222.879,1.029,-1.029,,,,,,,,
1932,5,1,23,0.04,729.709,0.609,222.07,0.546,-0.546,,,,,,,,
1932,5,2,15,-0.06,693.277,0.629,222.333,0.518,-0.518,,,,,,,,
1932,5,3,27,-0.04,680.735,0.635,221.919,0.509,-0.509,,,,,,,,
1932,5,4,21,-0.06,619.886,0.668,222.141,0.464,-0.464,,,,,,,,
1932,5,5,16,0.06,673.443,0.639,222.286,0.504,-0.504,,,,,,,,
1932,5,6,6,0,1492.471,0.202,222.668,1.116,-1.116,,,,,,,,
1932,5,7,2,-0.06,1026.474,0.452,222.798,0.768,-0.768,,,,,,,,
1932,5,8,0,0.07,1003.297,0.464,222.879,0.75,-0.75,,,,,,,,
1932,5,9,0,-0.01,1748.573,0.066,222.879,1.308,-1.308,,,,,,,,
1932,6,0,21,-0.03,824.011,0.558,222.139,0.616,-0.616,,,,,,,,
1932,6,1,0,0,1872.186,0,222.879,1.4,-1.4,,,,,,,,
1932,6,2,0,-0.08,878.484,0.531,222.879,0.657,-0.657,,,,,,,,
1932,6,3,25,0.07,514.559,0.724,222.001,0.385,-0.385,,,,,,,,
1932,6,4,0,-0.07,1003.297,0.464,222.879,0.75,-0.75,,,,,,,,
1932,6,5,10,0.01,1208.249,0.354,222.499,0.904,-0.904,,,,,,,,
1932,6,6,0,-0.09,753.5,0.598,222.879,0.563,-0.563,,,,,,,,
1932,6,7,17,-0.05,737.899,0.605,222.265,0.552,-0.552,,,,,,,,
1932,6,8,0,-0.02,1624.789,0.132,222.879,1.215,-1.215,,,,,,,,
1932,6,9,22,0.07,536.074,0.713,222.087,0.401,-0.401,,,,,,,,
1932,7,0,0,0.09,743.83,0.603,222.869,0.556,-0.556,,,,,,,,
1932,7,1,0,-0.01,1748.573,0.066,222.879,1.308,-1.308,,,,,,,,
1932,7,2,29,0.03,718.835,0.614,221.841,0.538,-0.538,,,,,,,,
1932,7,3,0,0.05,1252.407,0.331,222.879,0.937,-0.937,,,,,,,,
1932,7,4,0,-0.05,1229.122,0.343,222.864,0.919,-0.919,,,,,,,,
1932,7,5,0,0.08,878.484,0.531,222.879,0.657,-0.657,,,,,,,,
1932,7,6,27,-0.02,805.511,0.568,221.925,0.602,-0.602,,,,,,,,
1932,7,7,4,-0.06,939.287,0.498,222.713,0.702,-0.702,,,,,,,,
1932,7,8,0,0.06,1127.938,0.398,222.879,0.843,-0.843,,,,,,,,
1932,7,9,0,0.06,1127.938,0.398,222.879,0.843,-0.843,,,,,,,,
1932,8,0,16,0.01,1056.765,0.434,222.306,0.79,-0.79,,,,,,,,
1932,8,1,0,-0.04,1376.706,0.265,222.879,1.029,-1.029,,,,,,,,
1932,8,2,32,0.06,522.378,0.72,221.751,0.391,-0.391,,,,,,,,
1932,8,3,0,-0.02,1624.789,0.132,222.879,1.215,-1.215,,,,,,,,
1932,8,4,23,-0.04,729.135,0.609,222.069,0.545,-0.545,,,,,,,,
1932,8,5,2,0.02,1492.617,0.202,222.807,1.116,-1.116,,,,,,,,
1932,8,6,0,0,1872.186,0,222.879,1.4,-1.4,,,,,,,,
1932,8,7,0,-0.01,1748.573,0.066,222.879,1.308,-1.308,,,,,,,,
1932,8,8,0,-0.04,1376.706,0.265,222.879,1.029,-1.029,,,,,,,,
1932,8,9,0,-0.03,1500.833,0.198,222.879,1.122,-1.122,,,,,,,,
1932,9,0,0,-0.07,1003.297,0.464,222.879,0.75,-0.75,,,,,,,,
1932,9,1,0,-0.07,1003.297,0.464,222.879,0.75,-0.75,,,,,,,,
1932,9,2,0,0.08,878.484,0.531,222.879,0.657,-0.657,,,,,,,,
1932,9,3,0,0.02,1624.789,0.132,222.879,1.215,-1.215,,,,,,,,
1932,9,4,0,-0.07,1003.297,0.464,222.879,0.75,-0.75,,,,,,,,
1932,9,5,0,0.04,1376.706,0.265,222.879,1.029,-1.029,,,,,,,,
1932,9,6,7,-0.02,1242.127,0.336,222.622,0.929,-0.929,,,,,,,,
1932,9,7,0,0.02,1624.789,0.132,222.879,1.215,-1.215,,,,,,,,
1932,9,8,0,-0.06,1127.938,0.398,222.879,0.843,-0.843,,,,,,,,
1932,9,9,0,0.01,1748.573,0.066,222.879,1.308,-1.308,,,,,,,,
1932,10,0,0,-0.08,878.484,0.531,222.879,0.657,-0.657,,,,,,,,
1932,10,1,0,0.07,1003.297,0.464,222.879,0.75,-0.75,,,,,,,,
1932,10,2,0,0.03,1500.833,0.198,222.879,1.122,-1.122,,,,,,,,
1932,10,3,19,-0.08,497.423,0.733,222.196,0.372,-0.372,,,,,,,,
1932,10,4,0,-0.03,1500.833,0.198,222.879,1.122,-1.122,,,,,,,,
1932,10,5,26,-0.11,252.862,0.864,221.957,0.189,-0.189,,,,,,,,
1932,10,6,4,-0.05,1063.562,0.432,222.733,0.795,-0.795,,,,,,,,
1932,10,7,0,0.09,753.5,0.598,222.879,0.563,-0.563,,,,,,,,
1932,10,8,26,-0.07,502.182,0.731,221.947,0.376,-0.376,,,,,,,,
1932,10,9,0,-0.07,1003.297,0.464,222.879,0.75,-0.75,,,,,,,,
