Hoy,Gen,Ind,Sd_A,Sd_L,SDGP,Val_SDGP,SUDI,Val_SUDI,Vis,Val_Vis,Pvg,shade_percent,shade_rad,Val_Pvg,Optimizer
1932,0,0,40,-0.04,0.973,0.0,0.722,0.0,0.261,0.261,581.129,0.688,221.447,0.0,-0.261
1932,0,1,75,-0.07,0.973,0.0,0.722,0.0,0.435,0.435,378.667,0.795,220.22,0.0,-0.435
1932,0,2,51,-0.03,0.973,0.0,0.722,0.0,0.174,0.174,586.758,0.684,221.062,0.0,-0.174
1932,0,3,14,0.02,0.973,0.0,0.722,0.0,0.087,0.087,1017.191,0.455,222.361,0.0,-0.087
1932,0,4,4,0.02,0.973,0.0,0.722,0.0,0.087,0.087,1346.705,0.28,222.709,0.0,-0.087
1932,0,5,3,0.06,0.975,0.0,0.724,0.0,0.348,0.348,977.569,0.478,222.753,0.0,-0.348
1932,0,6,6,-0.0,0.973,0.0,0.722,0.0,0.0,0.0,1490.263,0.203,222.666,0.0,-0.0
1932,0,7,50,-0.09,0.973,0.0,0.722,0.0,0.565,0.565,296.723,0.84,221.11,0.0,-0.565
1932,0,8,36,-0.01,0.973,0.0,0.722,0.0,0.043,0.043,768.608,0.587,221.592,0.0,-0.043
1932,0,9,48,-0.09,0.973,0.0,0.722,0.0,0.565,0.565,299.598,0.839,221.168,0.0,-0.565
1932,1,0,70,-0.07,0.973,0.0,0.722,0.0,0.435,0.435,375.939,0.797,220.416,0.0,-0.435
1932,1,1,72,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,141.707,0.923,220.336,0.0,-0.783
1932,1,2,64,-0.11,0.973,0.0,0.722,0.0,0.696,0.696,188.885,0.898,220.615,0.0,-0.696
1932,1,3,19,-0.1,0.973,0.0,0.722,0.0,0.652,0.652,353.135,0.811,222.183,0.0,-0.652
1932,1,4,49,-0.07,0.973,0.0,0.722,0.0,0.435,0.435,396.396,0.787,221.13,0.0,-0.435
1932,1,5,43,-0.06,0.973,0.0,0.722,0.0,0.391,0.391,465.354,0.75,221.352,0.0,-0.391
1932,1,6,24,-0.01,0.973,0.0,0.722,0.0,0.043,0.043,910.6,0.512,222.034,0.0,-0.043
1932,1,7,66,-0.09,0.973,0.0,0.722,0.0,0.565,0.565,282.479,0.848,220.555,0.0,-0.565
1932,1,8,15,-0.1,0.973,0.0,0.722,0.0,0.652,0.652,382.794,0.795,222.319,0.0,-0.652
1932,1,9,56,-0.07,0.973,0.0,0.722,0.0,0.435,0.435,384.783,0.793,220.912,0.0,-0.435
