Hoy,Gen,Ind,Sd_A,Sd_L,SDGP,SUDI,Vis,Pvg,Val_SDGP,Val_SUDI,Val_Vis,Val_Pvg,shade_percent,shade_rad,Optimizer
5094.0,0,0,36,-0.01,1.0,0.0,0.087,0.0,1.0,0.0,0.087,0.0,0.0,0.0,-1.087
5094.0,0,1,41,0.03,1.0,0.0,0.13,0.0,1.0,0.0,0.13,0.0,0.0,0.0,-1.13
5094.0,0,2,74,0.07,1.0,0.214,0.565,0.0,1.0,0.214,0.565,0.0,0.0,0.0,-1.779
5094.0,1,0,66,-0.06,1.0,0.114,0.391,0.0,1.0,0.114,0.391,0.0,0.0,0.0,-1.505
5094.0,1,1,72,0.13,1.0,0.48,0.87,0.0,1.0,0.48,0.87,0.0,0.145,0.0,-2.349
5094.0,1,2,68,0.13,1.0,0.48,0.87,0.0,1.0,0.48,0.87,0.0,0.163,0.0,-2.349
5094.0,2,0,87,-0.0,0.983,0.092,0.609,0.0,0.979,0.092,0.609,0.0,0.0,0.0,-1.68
5094.0,2,1,50,0.14,1.0,0.474,0.87,0.0,1.0,0.474,0.87,0.0,0.563,0.0,-2.343
5094.0,2,2,90,0.14,1.0,0.488,0.913,0.0,1.0,0.488,0.913,0.0,0.0,0.0,-2.401
5094.0,3,0,90,0.0,0.983,0.092,0.652,0.0,0.979,0.092,0.652,0.0,0.0,0.0,-1.723
5094.0,3,1,90,0.14,1.0,0.488,0.913,0.0,1.0,0.488,0.913,0.0,0.0,0.0,-2.401
5094.0,3,2,60,0.12,1.0,0.477,0.783,0.0,1.0,0.477,0.783,0.0,0.0,0.0,-2.259
5095.0,0,0,42,-0.01,1.0,0.0,0.13,2662.012,1.0,0.0,0.13,2.318,0.0,316.906,-3.449
5095.0,0,1,47,0.13,1.0,0.0,0.826,605.282,1.0,0.0,0.826,0.527,0.772,316.681,-2.353
5095.0,0,2,37,-0.03,1.0,0.078,0.217,2664.216,1.0,0.078,0.217,2.32,0.0,317.169,-3.615
5095.0,1,0,66,-0.08,1.0,0.134,0.522,2652.094,1.0,0.134,0.522,2.309,0.0,315.725,-3.965
5095.0,1,1,43,-0.01,1.0,0.0,0.13,2661.732,1.0,0.0,0.13,2.318,0.0,316.873,-3.448
