,Hoy,SD_Angle,SD_Position
0,5094.0,66.0,-0.06
1,5095.0,43.0,-0.01
2,5096.0,11.0,0.02
3,5097.0,16.0,0.05
4,5098.0,29.0,0.09
5,5099.0,90.0,0.11
6,5100.0,73.0,0.1
7,5101.0,34.0,0.1
8,5102.0,90.0,0.12
9,5103.0,62.0,0.09
10,5104.0,66.0,-0.13
11,5105.0,74.0,-0.07
12,5106.0,27.0,-0.02
13,5107.0,18.0,0.02
14,5118.0,13.0,-0.08
15,5119.0,0.0,-0.1
16,5120.0,56.0,-0.05
17,5121.0,64.0,0.12
18,5122.0,4.0,-0.09
19,5123.0,39.0,0.13
20,5124.0,20.0,-0.11
21,5125.0,18.0,-0.02
22,5126.0,79.0,-0.01
23,5127.0,32.0,-0.13
24,5128.0,12.0,0.11
25,5129.0,46.0,-0.01
26,5130.0,12.0,0.06
27,5131.0,32.0,-0.08
28,5142.0,40.0,0.12
29,5143.0,55.0,0.13
30,5144.0,10.0,-0.0
31,5145.0,51.0,-0.11
32,5146.0,84.0,0.1
33,5147.0,6.0,0.01
34,5148.0,86.0,-0.02
35,5149.0,7.0,-0.08
36,5150.0,68.0,0.07
37,5151.0,56.0,-0.0
38,5152.0,49.0,-0.01
39,5153.0,53.0,0.05
40,5154.0,44.0,-0.01
41,5155.0,25.0,0.05
42,5166.0,64.0,-0.05
43,5167.0,32.0,-0.01
44,5168.0,53.0,-0.07
45,5169.0,0.0,-0.06
46,5170.0,3.0,-0.04
47,5171.0,90.0,-0.1
48,5172.0,38.0,0.09
49,5173.0,28.0,0.02
50,5174.0,8.0,-0.1
51,5175.0,14.0,-0.13
52,5176.0,58.0,-0.08
53,5177.0,19.0,0.01
54,5178.0,71.0,0.14
55,5179.0,43.0,0.07
56,5190.0,19.0,-0.04
57,5191.0,36.0,0.02
58,5192.0,66.0,0.03
59,5193.0,45.0,0.01
60,5194.0,10.0,-0.06
61,5195.0,35.0,0.1
62,5196.0,64.0,-0.03
63,5197.0,39.0,0.05
64,5198.0,45.0,0.03
65,5199.0,8.0,-0.01
66,5200.0,62.0,-0.02
67,5201.0,44.0,-0.08
68,5202.0,40.0,-0.01
69,5203.0,89.0,0.02
70,5214.0,14.0,-0.05
71,5215.0,64.0,-0.04
72,5216.0,65.0,0.04
73,5217.0,60.0,0.08
74,5218.0,50.0,-0.11
75,5219.0,79.0,-0.12
76,5220.0,85.0,-0.13
77,5221.0,22.0,-0.1
78,5222.0,58.0,0.04
79,5223.0,31.0,-0.14
80,5224.0,45.0,0.02
81,5225.0,70.0,0.04
82,5226.0,19.0,-0.03
83,5227.0,52.0,0.05
84,5238.0,38.0,-0.07
85,5239.0,58.0,-0.07
86,5240.0,58.0,0.02
87,5241.0,13.0,-0.02
88,5242.0,31.0,-0.11
89,5243.0,52.0,-0.07
90,5244.0,59.0,-0.1
91,5245.0,29.0,0.14
92,5246.0,20.0,0.05
93,5247.0,18.0,0.04
94,5248.0,16.0,-0.01
95,5249.0,47.0,-0.08
96,5250.0,50.0,-0.03
97,5262.0,68.0,-0.08
98,5263.0,45.0,-0.12
99,5264.0,2.0,0.08
100,5265.0,18.0,0.04
101,5266.0,6.0,-0.01
102,5267.0,21.0,-0.05
103,5268.0,52.0,-0.0
104,5269.0,59.0,-0.09
105,5270.0,11.0,-0.11
106,5271.0,70.0,0.01
107,5272.0,64.0,-0.07
108,5273.0,61.0,-0.1
109,5274.0,43.0,-0.05
110,5286.0,5.0,-0.1
111,5287.0,75.0,0.13
112,5288.0,10.0,0.09
113,5289.0,4.0,0.0
114,5290.0,10.0,0.04
115,5291.0,25.0,-0.09
116,5292.0,45.0,-0.05
117,5293.0,58.0,0.02
118,5294.0,52.0,0.13
119,5295.0,71.0,-0.05
120,5296.0,21.0,0.02
121,5297.0,22.0,-0.07
122,5298.0,90.0,-0.09
123,5310.0,74.0,0.08
124,5311.0,50.0,-0.02
125,5312.0,47.0,0.06
126,5313.0,76.0,-0.11
127,5314.0,46.0,-0.14
128,5315.0,20.0,0.11
129,5316.0,55.0,-0.01
130,5317.0,34.0,0.03
131,5318.0,16.0,-0.14
132,5319.0,53.0,0.01
133,5320.0,31.0,0.09
134,5321.0,42.0,0.06
135,5322.0,43.0,0.01
136,5335.0,71.0,-0.0
137,5336.0,26.0,-0.12
138,5337.0,79.0,-0.14
139,5338.0,26.0,-0.11
140,5339.0,65.0,-0.12
141,5340.0,29.0,0.04
142,5341.0,55.0,0.1
143,5342.0,17.0,0.0
144,5343.0,56.0,0.04
145,5344.0,39.0,-0.08
146,5345.0,16.0,-0.1
147,5346.0,33.0,0.0
148,5359.0,49.0,-0.01
149,5360.0,4.0,-0.06
150,5361.0,26.0,-0.01
151,5362.0,73.0,-0.08
152,5363.0,23.0,0.11
153,5364.0,65.0,0.09
154,5365.0,90.0,0.1
155,5366.0,80.0,-0.08
156,5367.0,33.0,0.14
157,5368.0,6.0,-0.08
158,5369.0,44.0,0.02
159,5370.0,64.0,-0.14
160,5383.0,20.0,0.09
161,5384.0,8.0,0.1
162,5385.0,35.0,-0.03
163,5386.0,63.0,0.12
164,5387.0,60.0,-0.05
165,5388.0,33.0,0.03
166,5389.0,29.0,-0.1
167,5390.0,63.0,0.11
168,5391.0,89.0,0.14
169,5392.0,9.0,-0.02
170,5393.0,5.0,-0.03
171,5394.0,51.0,0.06
172,5407.0,6.0,-0.12
173,5408.0,79.0,0.01
174,5409.0,8.0,-0.07
175,5410.0,28.0,-0.13
176,5411.0,17.0,-0.11
177,5412.0,41.0,0.01
178,5413.0,61.0,-0.01
179,5414.0,47.0,-0.1
180,5415.0,75.0,0.04
181,5416.0,31.0,-0.02
182,5417.0,73.0,0.0
183,5418.0,82.0,0.0
