Hoy,Gen,Ind,Sd_A,Sd_L,SDGP,SUDI,Vis,Pvg,Val_SDGP,Val_SUDI,Val_Vis,Val_Pvg,shade_percent,shade_rad,Optimizer
1423.0,0,0,2,0.07,1.0,0.0,0.391,1.491,1.0,0.0,0.391,2.07,0.113,0.2,-3.462
1423.0,0,1,34,0.1,1.0,0.0,0.609,1.094,1.0,0.0,0.609,1.52,0.349,0.2,-3.128
1423.0,0,2,12,0.08,1.0,0.0,0.478,1.371,1.0,0.0,0.478,1.904,0.184,0.2,-3.382
1423.0,1,0,33,0.08,1.0,0.0,0.478,1.381,1.0,0.0,0.478,1.918,0.178,0.2,-3.396
1423.0,1,1,0,0.0,1.0,0.0,0.0,1.68,1.0,0.0,0.0,2.333,0.0,0.2,-3.333
1423.0,1,2,13,0.01,1.0,0.0,0.0,1.68,1.0,0.0,0.0,2.333,0.0,0.2,-3.333
1423.0,2,0,4,0.14,1.0,0.0,0.87,0.259,1.0,0.0,0.87,0.36,0.846,0.2,-2.229
1423.0,2,1,0,-0.05,1.0,0.0,0.304,1.653,1.0,0.0,0.304,2.296,0.016,0.2,-3.601
1423.0,2,2,0,0.02,1.0,0.0,0.087,1.68,1.0,0.0,0.087,2.333,0.0,0.2,-3.42
1423.0,3,0,0,-0.07,1.0,0.0,0.435,1.493,1.0,0.0,0.435,2.074,0.111,0.2,-3.509
1423.0,3,1,0,-0.1,1.0,0.0,0.652,1.093,1.0,0.0,0.652,1.519,0.349,0.2,-3.171
1423.0,3,2,22,0.0,1.0,0.0,0.043,1.68,1.0,0.0,0.043,2.333,0.0,0.2,-3.377
1424.0,0,0,41,-0.11,0.958,0.0,0.696,288.897,0.948,0.0,0.696,0.543,0.766,146.948,-2.186
1424.0,0,1,2,-0.11,0.958,0.0,0.739,374.98,0.948,0.0,0.739,0.704,0.698,147.857,-2.391
1424.0,0,2,73,0.01,0.948,0.044,0.304,947.74,0.935,0.044,0.304,1.78,0.228,146.205,-3.063
1424.0,1,0,64,-0.03,1.0,0.006,0.261,800.969,1.0,0.006,0.261,1.504,0.349,146.413,-2.771
1424.0,1,1,47,-0.09,0.958,0.0,0.565,420.748,0.948,0.0,0.565,0.79,0.659,146.805,-2.303
1424.0,1,2,49,0.05,0.997,0.0,0.261,666.03,0.996,0.0,0.261,1.251,0.46,146.759,-2.508
1424.0,2,0,65,-0.07,0.958,0.0,0.478,566.906,0.948,0.0,0.478,1.065,0.539,146.378,-2.491
1424.0,2,1,47,0.03,0.999,0.0,0.174,777.777,0.999,0.0,0.174,1.461,0.369,146.805,-2.633
1424.0,2,2,80,-0.06,0.973,0.161,0.522,691.419,0.966,0.161,0.522,1.298,0.436,146.024,-2.947
1424.0,3,0,67,0.07,0.991,0.0,0.478,570.161,0.988,0.0,0.478,1.071,0.536,146.347,-2.537
1424.0,3,1,81,0.02,0.957,0.155,0.478,947.248,0.946,0.155,0.478,1.779,0.228,146.013,-3.358
1424.0,3,2,55,-0.06,0.984,0.0,0.391,611.436,0.98,0.0,0.391,1.148,0.504,146.611,-2.519
1425.0,0,0,65,-0.11,0.798,0.71,0.739,646.224,0.747,0.71,0.739,0.424,0.817,420.599,-2.62
1425.0,0,1,9,-0.08,0.812,0.537,0.522,1468.836,0.766,0.537,0.522,0.964,0.587,423.025,-2.788
1425.0,0,2,68,-0.13,0.771,0.689,0.87,331.128,0.714,0.689,0.87,0.217,0.906,420.437,-2.49
1425.0,1,0,26,-0.04,1.0,0.22,0.261,1869.127,1.0,0.22,0.261,1.226,0.473,422.315,-2.707
1425.0,1,1,30,-0.1,0.817,0.669,0.652,857.226,0.771,0.669,0.652,0.562,0.758,422.117,-2.654
1425.0,1,2,65,-0.11,0.798,0.71,0.739,647.669,0.747,0.71,0.739,0.425,0.817,420.562,-2.621
1425.0,2,0,0,0.04,0.954,0.593,0.217,2690.156,0.943,0.593,0.217,1.765,0.244,423.465,-3.518
1425.0,2,1,28,0.04,0.954,0.64,0.217,1832.001,0.943,0.64,0.217,1.202,0.483,422.199,-3.001
1425.0,2,2,50,0.03,1.0,0.661,0.174,1816.478,1.0,0.661,0.174,1.192,0.487,421.225,-3.027
1425.0,3,0,45,0.06,1.0,0.812,0.348,1406.106,1.0,0.812,0.348,0.922,0.603,421.483,-3.082
1425.0,3,1,32,0.14,0.735,0.647,0.87,173.651,0.669,0.647,0.87,0.114,0.951,422.019,-2.3
1425.0,3,2,28,-0.01,1.0,0.004,0.087,2294.142,1.0,0.004,0.087,1.505,0.353,422.232,-2.595
1426.0,0,0,10,-0.11,0.743,0.637,0.696,201.214,0.679,0.637,0.696,0.517,0.778,107.937,-2.528
1426.0,0,1,2,-0.04,1.0,0.199,0.261,644.795,1.0,0.199,0.261,1.657,0.29,108.067,-3.117
1426.0,0,2,55,0.0,0.991,0.403,0.217,509.41,0.989,0.403,0.217,1.309,0.435,107.3,-2.918
1426.0,1,0,0,-0.13,0.784,0.591,0.87,128.134,0.73,0.591,0.87,0.329,0.859,108.096,-2.52
1426.0,1,1,32,-0.14,0.776,0.543,0.913,39.573,0.719,0.543,0.913,0.102,0.956,107.634,-2.277
1426.0,1,2,45,0.03,0.993,0.569,0.174,421.13,0.991,0.569,0.174,1.082,0.533,107.437,-2.816
1426.0,2,0,24,-0.07,0.862,0.42,0.435,327.753,0.827,0.42,0.435,0.842,0.638,107.736,-2.524
1426.0,2,1,43,0.08,0.838,0.68,0.478,252.682,0.798,0.68,0.478,0.649,0.72,107.466,-2.606
1426.0,2,2,50,-0.06,0.904,0.407,0.391,315.898,0.881,0.407,0.391,0.812,0.65,107.374,-2.49
1426.0,3,0,36,0.03,0.997,0.401,0.13,440.095,0.997,0.401,0.13,1.131,0.513,107.57,-2.659
1426.0,3,1,34,0.08,0.838,0.711,0.478,265.812,0.798,0.711,0.478,0.683,0.706,107.601,-2.67
1426.0,3,2,10,-0.03,1.0,0.143,0.174,589.729,1.0,0.143,0.174,1.515,0.35,107.946,-2.832
1427.0,0,0,80,-0.07,0.8,0.687,0.478,1286.91,0.75,0.687,0.478,0.709,0.694,500.707,-2.624
1427.0,0,1,51,0.02,1.0,0.881,0.174,1960.904,1.0,0.881,0.174,1.08,0.535,502.03,-3.135
1427.0,0,2,46,0.05,1.0,0.726,0.261,1542.945,1.0,0.726,0.261,0.85,0.634,502.273,-2.837
1427.0,1,0,78,0.07,0.802,0.542,0.609,1272.011,0.752,0.542,0.609,0.7,0.698,500.8,-2.604
1427.0,1,1,65,-0.04,0.942,0.745,0.348,1660.331,0.928,0.745,0.348,0.914,0.606,501.396,-2.935
