,Hoy,SD_Angle,SD_Position
0,1423.0,0.0,0.0
1,1424.0,2.0,-0.11
2,1425.0,65.0,-0.11
3,1426.0,10.0,-0.11
4,1427.0,80.0,-0.07
5,1428.0,66.0,-0.08
6,1429.0,38.0,-0.01
7,1430.0,48.0,-0.04
8,1431.0,57.0,0.08
9,1432.0,73.0,-0.04
10,1433.0,29.0,0.03
11,1434.0,12.0,-0.05
12,1447.0,66.0,0.1
13,1448.0,36.0,0.07
14,1449.0,57.0,-0.02
15,1450.0,24.0,0.08
16,1451.0,43.0,0.01
17,1452.0,23.0,0.07
18,1453.0,17.0,0.06
19,1454.0,28.0,-0.05
20,1455.0,36.0,0.04
21,1456.0,66.0,0.01
22,1457.0,18.0,0.05
23,1458.0,17.0,0.03
24,1471.0,28.0,-0.02
25,1472.0,61.0,0.02
26,1473.0,88.0,0.11
27,1474.0,5.0,0.1
28,1475.0,4.0,-0.12
29,1476.0,17.0,-0.03
30,1477.0,27.0,-0.08
31,1478.0,24.0,-0.01
32,1479.0,6.0,0.1
33,1480.0,86.0,-0.13
34,1481.0,90.0,0.06
35,1482.0,15.0,-0.04
36,1495.0,59.0,0.09
37,1496.0,65.0,-0.03
38,1497.0,40.0,0.0
39,1498.0,41.0,-0.03
40,1499.0,26.0,-0.01
41,1500.0,21.0,-0.09
42,1501.0,26.0,-0.03
43,1502.0,25.0,0.09
44,1503.0,0.0,-0.09
45,1504.0,27.0,-0.09
46,1505.0,62.0,-0.09
47,1506.0,57.0,0.14
48,1519.0,62.0,0.09
49,1520.0,21.0,-0.08
50,1521.0,25.0,-0.07
51,1522.0,26.0,-0.11
52,1523.0,80.0,-0.09
53,1524.0,30.0,0.05
54,1525.0,68.0,-0.05
55,1526.0,87.0,0.09
56,1527.0,0.0,-0.13
57,1528.0,68.0,0.07
58,1529.0,74.0,0.08
59,1530.0,56.0,-0.12
60,1543.0,1.0,-0.0
61,1544.0,84.0,-0.1
62,1545.0,24.0,-0.02
63,1546.0,34.0,0.09
64,1547.0,63.0,0.09
65,1548.0,37.0,-0.01
66,1549.0,86.0,0.13
67,1550.0,73.0,-0.13
68,1551.0,31.0,0.08
69,1552.0,83.0,0.14
70,1553.0,57.0,-0.14
71,1554.0,50.0,0.02
72,1567.0,0.0,-0.05
73,1568.0,29.0,0.04
74,1569.0,72.0,0.09
75,1570.0,41.0,0.01
76,1571.0,42.0,-0.07
77,1572.0,90.0,-0.07
78,1573.0,46.0,0.1
79,1574.0,42.0,-0.03
80,1575.0,68.0,0.01
81,1576.0,79.0,-0.1
82,1577.0,68.0,-0.05
83,1578.0,42.0,0.05
84,1591.0,52.0,0.06
85,1592.0,62.0,-0.02
86,1593.0,2.0,-0.06
87,1594.0,29.0,-0.08
88,1595.0,58.0,-0.01
89,1596.0,19.0,-0.11
90,1597.0,13.0,0.08
91,1598.0,36.0,-0.11
92,1599.0,81.0,-0.03
93,1600.0,55.0,0.02
94,1601.0,6.0,0.06
95,1602.0,79.0,0.07
96,1615.0,14.0,0.03
97,1616.0,71.0,-0.04
98,1617.0,8.0,0.06
99,1618.0,78.0,-0.08
100,1619.0,20.0,-0.09
101,1620.0,36.0,-0.03
102,1621.0,73.0,-0.09
103,1622.0,57.0,0.05
104,1623.0,44.0,0.01
105,1624.0,44.0,0.07
106,1625.0,43.0,-0.02
107,1626.0,43.0,0.04
108,1639.0,9.0,0.01
109,1640.0,46.0,0.01
110,1641.0,16.0,0.04
111,1642.0,90.0,-0.06
112,1643.0,68.0,0.09
113,1644.0,88.0,0.04
114,1645.0,35.0,-0.02
115,1646.0,84.0,-0.06
116,1647.0,54.0,-0.11
117,1648.0,75.0,-0.11
118,1649.0,32.0,-0.01
119,1650.0,44.0,-0.06
120,1663.0,22.0,0.02
121,1664.0,80.0,0.06
122,1665.0,82.0,0.11
123,1666.0,33.0,0.11
124,1667.0,51.0,-0.04
125,1668.0,56.0,0.13
126,1669.0,73.0,-0.03
127,1670.0,19.0,-0.02
128,1671.0,68.0,0.07
129,1672.0,80.0,-0.06
130,1673.0,34.0,-0.05
131,1674.0,41.0,-0.04
132,1687.0,70.0,0.14
133,1688.0,52.0,-0.02
134,1689.0,27.0,0.12
135,1690.0,49.0,0.13
136,1691.0,39.0,0.04
137,1692.0,17.0,0.04
138,1693.0,48.0,0.1
139,1694.0,28.0,0.0
140,1695.0,56.0,0.08
141,1696.0,23.0,-0.12
142,1697.0,28.0,0.01
143,1698.0,37.0,0.06
144,1711.0,59.0,0.04
145,1712.0,39.0,-0.13
146,1713.0,29.0,-0.11
147,1714.0,21.0,-0.14
148,1715.0,75.0,-0.05
149,1716.0,26.0,0.12
150,1717.0,35.0,0.03
151,1718.0,32.0,0.02
152,1719.0,10.0,-0.13
153,1720.0,62.0,0.07
154,1721.0,59.0,0.01
155,1722.0,69.0,0.04
156,1735.0,44.0,-0.05
157,1736.0,48.0,0.05
158,1737.0,33.0,0.08
159,1738.0,31.0,-0.04
160,1739.0,13.0,-0.08
161,1740.0,47.0,-0.08
162,1741.0,31.0,0.04
163,1742.0,73.0,-0.1
164,1743.0,44.0,-0.0
165,1744.0,44.0,0.05
166,1745.0,35.0,-0.04
167,1746.0,86.0,0.1
168,1759.0,35.0,0.11
169,1760.0,33.0,-0.12
170,1761.0,3.0,0.13
171,1762.0,24.0,0.06
172,1763.0,38.0,-0.03
173,1764.0,23.0,0.03
174,1765.0,28.0,-0.04
175,1766.0,90.0,0.03
176,1767.0,74.0,0.08
177,1768.0,68.0,-0.01
178,1769.0,49.0,-0.03
179,1770.0,32.0,0.02
180,1783.0,46.0,0.03
181,1784.0,18.0,-0.05
182,1785.0,56.0,0.13
183,1786.0,20.0,0.06
184,1787.0,4.0,-0.05
185,1788.0,74.0,0.01
186,1789.0,44.0,0.02
187,1790.0,46.0,-0.08
188,1791.0,23.0,-0.01
189,1792.0,35.0,-0.12
190,1793.0,52.0,0.04
191,1794.0,38.0,-0.04
192,1807.0,13.0,0.11
193,1808.0,14.0,0.08
194,1809.0,24.0,0.04
195,1810.0,78.0,0.09
196,1811.0,66.0,0.03
197,1812.0,62.0,0.06
198,1813.0,44.0,-0.08
199,1814.0,11.0,-0.06
200,1815.0,44.0,-0.02
201,1816.0,43.0,0.03
202,1817.0,81.0,0.05
203,1818.0,36.0,-0.05
204,1831.0,29.0,0.06
205,1832.0,32.0,0.07
206,1833.0,86.0,-0.04
207,1834.0,57.0,0.04
208,1835.0,70.0,-0.12
209,1836.0,47.0,-0.07
210,1837.0,37.0,-0.06
211,1838.0,6.0,-0.08
212,1839.0,55.0,-0.03
213,1840.0,4.0,0.02
214,1841.0,57.0,-0.11
215,1842.0,69.0,0.07
216,1855.0,55.0,-0.07
217,1856.0,67.0,-0.05
218,1857.0,60.0,-0.11
219,1858.0,6.0,0.13
220,1859.0,55.0,-0.06
221,1860.0,89.0,0.11
222,1861.0,75.0,0.04
223,1862.0,77.0,0.04
224,1863.0,57.0,-0.07
225,1864.0,33.0,-0.05
226,1865.0,40.0,-0.02
227,1866.0,57.0,0.04
228,1879.0,77.0,-0.08
229,1880.0,89.0,-0.09
230,1881.0,56.0,-0.03
231,1882.0,2.0,-0.06
232,1883.0,31.0,0.0
233,1884.0,0.0,-0.01
234,1885.0,90.0,-0.07
235,1886.0,65.0,0.0
236,1887.0,27.0,-0.05
237,1888.0,56.0,-0.14
238,1889.0,55.0,0.03
239,1890.0,81.0,-0.07
240,1903.0,77.0,0.11
241,1904.0,51.0,0.03
242,1905.0,24.0,-0.08
243,1906.0,53.0,0.13
244,1907.0,38.0,-0.04
245,1908.0,34.0,-0.11
246,1909.0,30.0,-0.01
247,1910.0,53.0,0.09
248,1911.0,46.0,0.13
249,1912.0,71.0,0.04
250,1913.0,20.0,0.05
251,1914.0,67.0,-0.07
252,1927.0,41.0,-0.09
253,1928.0,39.0,-0.06
254,1929.0,19.0,-0.0
255,1930.0,86.0,-0.08
256,1931.0,59.0,-0.13
257,1932.0,85.0,0.11
258,1933.0,49.0,-0.02
259,1934.0,75.0,0.06
260,1935.0,62.0,-0.02
261,1936.0,83.0,0.07
262,1937.0,18.0,-0.1
263,1938.0,40.0,0.04
