,Hoy,SD_Angle,SD_Position
0,6559.0,47.0,0.08
1,6560.0,17.0,-0.14
2,6561.0,12.0,0.11
3,6562.0,38.0,0.0
4,6563.0,37.0,0.14
5,6564.0,29.0,0.09
6,6565.0,60.0,0.1
7,6566.0,26.0,-0.05
8,6567.0,49.0,-0.03
9,6568.0,23.0,-0.03
10,6569.0,9.0,-0.05
11,6583.0,12.0,0.04
12,6584.0,73.0,-0.07
13,6585.0,51.0,-0.11
14,6586.0,46.0,-0.12
15,6587.0,4.0,-0.02
16,6588.0,38.0,0.1
17,6589.0,76.0,0.08
18,6590.0,37.0,-0.1
19,6591.0,0.0,-0.13
20,6592.0,50.0,0.04
21,6593.0,4.0,0.1
22,6607.0,19.0,0.02
23,6608.0,90.0,-0.05
24,6609.0,14.0,-0.11
25,6610.0,66.0,0.12
26,6611.0,26.0,-0.01
27,6612.0,4.0,-0.01
28,6613.0,0.0,0.13
29,6614.0,37.0,-0.02
30,6615.0,48.0,0.03
31,6616.0,16.0,-0.11
32,6617.0,40.0,-0.03
33,6631.0,17.0,-0.13
34,6632.0,47.0,0.11
35,6633.0,66.0,-0.13
36,6634.0,7.0,-0.01
37,6635.0,4.0,-0.14
38,6636.0,16.0,0.11
39,6637.0,27.0,0.13
40,6638.0,52.0,0.09
41,6639.0,11.0,-0.13
42,6640.0,6.0,0.05
43,6641.0,12.0,0.05
44,6655.0,70.0,-0.02
45,6656.0,0.0,-0.06
46,6657.0,18.0,0.11
47,6658.0,55.0,0.12
48,6659.0,90.0,-0.13
49,6660.0,31.0,0.14
50,6661.0,86.0,-0.11
51,6662.0,37.0,-0.14
52,6663.0,25.0,0.02
53,6664.0,21.0,0.04
54,6665.0,80.0,-0.0
55,6679.0,33.0,0.04
56,6680.0,18.0,-0.12
57,6681.0,70.0,-0.06
58,6682.0,81.0,0.04
59,6683.0,9.0,0.14
60,6684.0,15.0,0.11
61,6685.0,85.0,0.09
62,6686.0,4.0,-0.12
63,6687.0,33.0,-0.03
64,6688.0,52.0,-0.07
65,6689.0,0.0,-0.03
66,6703.0,5.0,-0.01
67,6704.0,53.0,-0.01
68,6705.0,6.0,-0.02
69,6706.0,11.0,0.11
70,6707.0,17.0,0.13
71,6708.0,82.0,0.05
72,6709.0,42.0,0.11
73,6710.0,39.0,0.13
74,6711.0,38.0,0.03
75,6712.0,37.0,-0.09
76,6713.0,22.0,-0.01
77,6727.0,79.0,-0.05
78,6728.0,11.0,-0.02
79,6729.0,60.0,-0.07
80,6730.0,75.0,0.07
81,6731.0,40.0,0.1
82,6732.0,21.0,-0.09
83,6733.0,37.0,0.1
84,6734.0,48.0,-0.03
85,6735.0,33.0,-0.07
86,6736.0,78.0,-0.1
87,6737.0,1.0,0.14
88,6751.0,90.0,-0.12
89,6752.0,24.0,-0.05
90,6753.0,46.0,0.12
91,6754.0,54.0,0.11
92,6755.0,10.0,-0.1
93,6756.0,38.0,-0.03
94,6757.0,30.0,0.1
95,6758.0,25.0,-0.12
96,6759.0,16.0,0.12
97,6760.0,88.0,-0.07
98,6761.0,0.0,-0.07
99,6775.0,87.0,-0.13
100,6776.0,49.0,0.01
101,6777.0,52.0,-0.14
102,6778.0,90.0,0.14
103,6779.0,83.0,0.06
104,6780.0,88.0,0.03
105,6781.0,88.0,0.09
106,6782.0,9.0,-0.04
