Hoy,Gen,Ind,Sd_A,Sd_L,SDGP,SUDI,Vis,Pvg,Val_SDGP,Val_SUDI,Val_Vis,Val_Pvg,shade_percent,shade_rad,Optimizer
5094.0,0,0,42,0.07,1.0,0.047,0.391,48.704,1.0,0.047,0.0,0.0,0.49,46.996,-1.047
5094.0,0,1,85,-0.01,1.0,0.009,0.478,96.413,1.0,0.009,0.0,0.0,0.0,47.451,-1.009
5094.0,0,2,81,-0.09,1.0,0.174,0.609,64.722,1.0,0.174,0.0,0.0,0.328,47.409,-1.174
5094.0,0,3,4,-0.04,1.0,0.103,0.261,67.187,1.0,0.103,0.0,0.0,0.29,46.604,-1.103
5094.0,0,4,81,-0.05,1.0,0.103,0.348,96.329,1.0,0.103,0.0,0.0,0.0,47.41,-1.103
5094.0,0,5,80,-0.13,0.985,0.172,0.87,20.815,0.982,0.172,0.0,0.0,0.784,47.395,-1.154
5094.0,0,6,12,-0.12,0.989,0.187,0.783,17.638,0.986,0.187,0.0,0.0,0.814,46.689,-1.172
5094.0,0,7,38,-0.01,1.0,0.0,0.087,83.808,1.0,0.0,0.0,0.0,0.122,46.962,-1.0
5094.0,0,8,44,-0.13,0.995,0.174,0.826,12.379,0.993,0.174,0.0,0.0,0.87,47.023,-1.167
5094.0,0,9,24,-0.12,0.989,0.187,0.783,17.328,0.986,0.187,0.0,0.0,0.818,46.815,-1.172
5094.0,1,0,75,-0.07,1.0,0.107,0.478,74.168,1.0,0.107,0.0,0.0,0.229,47.344,-1.107
5094.0,1,1,61,-0.03,1.0,0.019,0.217,87.628,1.0,0.019,0.0,0.0,0.086,47.199,-1.019
5094.0,1,2,54,-0.14,0.986,0.175,0.913,6.713,0.983,0.175,0.0,0.0,0.93,47.124,-1.158
5094.0,1,3,16,-0.1,0.998,0.144,0.652,29.105,0.997,0.144,0.0,0.0,0.693,46.727,-1.141
5094.0,1,4,63,-0.02,1.0,0.0,0.261,95.939,1.0,0.0,0.0,0.0,0.0,47.217,-1.0
5094.0,1,5,35,-0.06,1.0,0.086,0.391,53.044,1.0,0.086,0.0,0.0,0.444,46.923,-1.086
5094.0,1,6,46,-0.14,0.995,0.175,0.913,6.28,0.993,0.175,0.0,0.0,0.934,47.045,-1.168
5094.0,1,7,55,-0.06,1.0,0.083,0.391,61.176,1.0,0.083,0.0,0.0,0.361,47.136,-1.083
5094.0,1,8,0,-0.14,0.99,0.175,0.913,6.306,0.988,0.175,0.0,0.0,0.933,46.555,-1.163
5094.0,1,9,51,-0.14,0.986,0.175,0.913,6.535,0.983,0.175,0.0,0.0,0.932,47.095,-1.158
5094.0,2,0,90,-0.05,1.0,0.103,0.435,96.509,1.0,0.103,0.0,0.0,0.0,47.498,-1.103
5094.0,2,1,42,-0.08,1.0,0.109,0.522,42.77,1.0,0.109,0.0,0.0,0.552,47.002,-1.109
5094.0,2,2,36,-0.14,0.99,0.174,0.913,5.924,0.987,0.174,0.0,0.0,0.938,46.937,-1.161
5094.0,2,3,61,0.02,1.0,0.0,0.217,94.824,1.0,0.0,0.0,0.0,0.011,47.198,-1.0
