WALL_69E0654A:Surface Outside Face Sunlit Fraction [](Hourly),WINDOW_C6660828
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0.5249
1,0.3745
1,0.3242
1,0.2668
1,0.1474
1,0.7561
1,0.405
1,0.4848
1,0.8841
1,1
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0.7744
1,0.6829
1,0.1885
1,0.8613
1,0.4446
1,0.5935
1,0.2266
1,0.9919
1,0.7099
1,1
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0.6047
1,0.8841
1,0.2271
1,0.3262
1,0.2464
1,0.5325
1,0.8211
1,0.7541
1,0.7576
1,0.5483
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0.6748
1,0.7099
1,0.4004
1,0.94
1,0.5437
1,0.2475
1,0.6428
1,0.9919
1,0.5361
1,0.6611
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0.4924
1,0.5025
1,0.6905
1,0.2668
1,0.3852
1,0.7967
1,0.7998
1,0.7022
1,0.8227
1,0.7175
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0.3984
1,0.811
1,0.2271
1,0.6199
1,0.5041
1,0.3496
1,0.9797
1,0.4649
1,0.5945
1,0.6326
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0.3902
1,0.6474
1,0.6855
1,0.9207
1,0.7022
1,0.6748
1,0.9202
1,0.8084
1,0.7632
1,0.717
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0.6052
1,0.9756
1,0.5168
1,0.6428
1,0.5041
1,0.3699
1,0.8608
1,0.9009
1,0.376
1,0.499
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0.718
1,0.9029
1,0.6824
1,0.2073
1,0.1474
1,0.3699
1,0.9202
1,0.7226
1,0.4492
1,0.5264
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0.814
1,0.7581
1,0.3425
1,0.6199
1,0.8806
1,0.939
1,0.8806
1,0.7922
1,0.8841
1,0.6829
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0.7251
1,0.3222
1,0.8257
1,0.5833
1,0.5041
