,Hoy,SD_Angle,SD_Position,vis,Shaded_Ratio,Unshaded_Ratio
0,8,52,-0.08,0.52173913,0.5249,0.4751
1,9,89,-0.06,0.56521739,0.3745,0.6255
2,10,6,-0.12,0.7826087,0.3242,0.6758
3,11,1,0.12,0.73913043,0.2668,0.7332
4,12,33,0.14,0.86956522,0.1474,0.8526
5,13,59,-0.04,0.26086957,0.7561,0.2439
6,14,17,-0.1,0.65217391,0.405,0.595
7,15,7,-0.09,0.56521739,0.4848,0.5152
8,16,0,-0.02,0.13043478,0.8841,0.1159
9,32,5,0.04,0.2173913,0.7744,0.2256
10,33,74,0,0.39130435,0.6829,0.3171
11,34,7,0.14,0.86956522,0.1885,0.8115
12,35,37,0.02,0.13043478,0.8613,0.1387
13,36,54,0.09,0.60869565,0.4446,0.5554
14,37,85,-0.02,0.52173913,0.5935,0.4065
15,38,40,-0.13,0.82608696,0.2266,0.7734
16,39,50,0,0.17391304,0.9919,0.0081
17,40,46,0.05,0.26086957,0.7099,0.2901
18,56,26,-0.07,0.43478261,0.6047,0.3953
19,57,16,0.02,0.08695652,0.8841,0.1159
20,58,32,0.13,0.82608696,0.2271,0.7729
21,59,5,0.11,0.69565217,0.3262,0.6738
22,60,89,0.12,0.91304348,0.2464,0.7536
23,61,90,0.03,0.65217391,0.5325,0.4675
24,62,37,-0.03,0.2173913,0.8211,0.1789
25,63,60,-0.04,0.30434783,0.7541,0.2459
26,64,59,-0.04,0.26086957,0.7576,0.2424
27,65,27,0.08,0.47826087,0.5483,0.4517
28,80,66,-0.05,0.34782609,0.6748,0.3252
29,81,42,-0.05,0.34782609,0.7099,0.2901
30,82,67,-0.1,0.65217391,0.4004,0.5996
31,83,46,-0.01,0.13043478,0.94,0.06
32,84,86,-0.07,0.47826087,0.5437,0.4563
33,85,84,0.12,0.82608696,0.2475,0.7525
34,86,0,-0.06,0.39130435,0.6428,0.3572
35,87,59,0,0.26086957,0.9919,0.0081
36,88,38,-0.08,0.52173913,0.5361,0.4639
37,89,32,0.06,0.34782609,0.6611,0.3389
38,104,0,-0.09,0.60869565,0.4924,0.5076
39,105,83,0.03,0.52173913,0.5025,0.4975
40,106,49,-0.05,0.34782609,0.6905,0.3095
41,107,34,0.12,0.73913043,0.2668,0.7332
42,108,8,0.1,0.60869565,0.3852,0.6148
43,109,23,0.03,0.13043478,0.7967,0.2033
44,110,70,-0.03,0.30434783,0.7998,0.2002
45,111,43,0.05,0.26086957,0.7022,0.2978
46,112,36,0.03,0.13043478,0.8227,0.1773
47,113,34,-0.05,0.34782609,0.7175,0.2825
48,128,72,0,0.34782609,0.3984,0.6016
49,129,53,-0.03,0.2173913,0.811,0.189
50,130,29,0.13,0.82608696,0.2271,0.7729
51,131,75,-0.06,0.47826087,0.6199,0.3801
52,132,4,0.08,0.47826087,0.5041,0.4959
53,133,87,0,0.60869565,0.3496,0.6504
54,134,34,0,0.13043478,0.9797,0.0203
55,135,0,-0.09,0.60869565,0.4649,0.5351
56,136,26,-0.07,0.43478261,0.5945,0.4055
57,137,50,0.06,0.34782609,0.6326,0.3674
58,152,78,-0.05,0.34782609,0.3902,0.6098
59,153,44,-0.06,0.39130435,0.6474,0.3526
60,154,76,-0.02,0.34782609,0.6855,0.3145
61,155,47,0.01,0.08695652,0.9207,0.0793
62,156,41,-0.05,0.34782609,0.7022,0.2978
63,157,59,0.05,0.47826087,0.6748,0.3252
64,158,7,0.01,0,0.9202,0.0798
65,159,67,0.02,0.30434783,0.8084,0.1916
66,160,42,0.04,0.2173913,0.7632,0.2368
67,161,37,0.05,0.26086957,0.717,0.283
68,176,19,-0.07,0.43478261,0.6052,0.3948
69,177,63,0,0.30434783,0.9756,0.0244
70,178,60,-0.08,0.52173913,0.5168,0.4832
71,179,53,-0.06,0.39130435,0.6428,0.3572
72,180,70,-0.08,0.52173913,0.5041,0.4959
73,181,28,0.1,0.60869565,0.3699,0.6301
74,182,34,0.02,0.08695652,0.8608,0.1392
75,183,18,-0.02,0.13043478,0.9009,0.0991
76,184,86,-0.09,0.60869565,0.376,0.624
77,185,66,-0.04,0.34782609,0.499,0.501
78,200,7,0.05,0.26086957,0.718,0.282
79,201,18,-0.02,0.13043478,0.9029,0.0971
80,202,65,-0.05,0.34782609,0.6824,0.3176
81,203,42,0.13,0.82608696,0.2073,0.7927
82,204,68,0.14,0.91304348,0.1474,0.8526
83,205,77,0.1,0.73913043,0.3699,0.6301
84,206,35,0.01,0.04347826,0.9202,0.0798
85,207,8,-0.05,0.30434783,0.7226,0.2774
86,208,84,-0.08,0.56521739,0.4492,0.5508
87,209,49,0.08,0.47826087,0.5264,0.4736
88,224,44,-0.03,0.2173913,0.814,0.186
89,225,50,-0.04,0.26086957,0.7581,0.2419
90,226,77,0.11,0.73913043,0.3425,0.6575
91,227,74,-0.06,0.43478261,0.6199,0.3801
92,228,36,-0.02,0.13043478,0.8806,0.1194
93,229,44,-0.01,0.13043478,0.939,0.061
94,230,15,-0.02,0.13043478,0.8806,0.1194
95,231,56,-0.03,0.2173913,0.7922,0.2078
96,232,21,-0.02,0.13043478,0.8841,0.1159
97,233,52,0,0.2173913,0.6829,0.3171
98,248,45,-0.05,0.34782609,0.7251,0.2749
99,249,53,0.12,0.7826087,0.3222,0.6778
100,250,38,-0.03,0.2173913,0.8257,0.1743
101,251,53,-0.07,0.47826087,0.5833,0.4167
102,252,46,0.08,0.47826087,0.5041,0.4959
103,253,20,-0.05,0.30434783,0.6951,0.3049
104,254,50,-0.03,0.2173913,0.8211,0.1789
105,255,47,0.03,0.17391304,0.7937,0.2063
106,256,16,-0.04,0.26086957,0.7683,0.2317
107,257,67,0.04,0.30434783,0.499,0.501
108,272,68,-0.1,0.65217391,0.4319,0.5681
109,273,64,-0.12,0.7826087,0.3227,0.6773
110,274,48,-0.06,0.39130435,0.6514,0.3486
111,275,84,-0.12,0.7826087,0.2663,0.7337
112,276,22,-0.12,0.7826087,0.2861,0.7139
113,277,5,-0.04,0.26086957,0.7561,0.2439
114,278,50,0.14,0.86956522,0.1474,0.8526
115,279,14,-0.04,0.26086957,0.782,0.218
116,280,36,-0.04,0.26086957,0.7663,0.2337
117,281,24,-0.07,0.43478261,0.6052,0.3948
118,296,75,-0.05,0.34782609,0.4146,0.5854
119,297,74,-0.09,0.60869565,0.4736,0.5264
120,298,38,-0.04,0.26086957,0.7678,0.2322
121,299,39,0.01,0.04347826,0.9207,0.0793
122,300,21,0.11,0.69565217,0.3257,0.6743
123,301,27,0.12,0.73913043,0.248,0.752
124,302,32,0.13,0.82608696,0.2068,0.7932
125,303,33,0.05,0.26086957,0.6829,0.3171
126,304,74,0.03,0.39130435,0.6204,0.3796
127,305,36,0.09,0.56521739,0.4914,0.5086
128,320,56,0.01,0.17391304,0.6977,0.3023
129,321,29,-0.04,0.26086957,0.7932,0.2068
130,322,24,0.03,0.13043478,0.8064,0.1936
131,323,16,-0.13,0.82608696,0.2271,0.7729
132,324,48,-0.03,0.2173913,0.8211,0.1789
133,325,14,0.02,0.08695652,0.8577,0.1423
134,326,48,-0.07,0.47826087,0.5833,0.4167
135,327,67,0.04,0.30434783,0.7312,0.2688
136,328,22,0.06,0.34782609,0.6524,0.3476
137,329,10,0.02,0.08695652,0.8872,0.1128
138,344,20,-0.07,0.43478261,0.6159,0.3841
139,345,49,-0.05,0.34782609,0.718,0.282
140,346,26,-0.02,0.13043478,0.8836,0.1164
141,347,48,0,0.17391304,0.9726,0.0274
142,348,73,0.06,0.52173913,0.623,0.377
143,349,27,0.14,0.86956522,0.126,0.874
144,350,2,-0.12,0.7826087,0.2861,0.7139
145,351,65,0.02,0.30434783,0.7891,0.2109
146,352,44,-0.06,0.39130435,0.6504,0.3496
147,353,20,0.05,0.26086957,0.718,0.282
148,368,49,-0.03,0.2173913,0.7546,0.2454
149,369,33,0.01,0.04347826,0.9431,0.0569
150,370,31,0.12,0.73913043,0.2851,0.7149
151,371,46,0,0.17391304,0.9726,0.0274
152,372,90,0.09,0.86956522,0.4248,0.5752
153,373,14,-0.05,0.30434783,0.6951,0.3049
154,374,43,-0.11,0.69565217,0.3455,0.6545
155,375,48,-0.06,0.39130435,0.6392,0.3608
156,376,34,0.02,0.08695652,0.8811,0.1189
157,377,56,0.07,0.43478261,0.5793,0.4207
158,392,17,0.01,0,0.9451,0.0549
159,393,39,-0.04,0.26086957,0.7744,0.2256
160,394,43,-0.09,0.56521739,0.4776,0.5224
161,395,3,-0.06,0.39130435,0.6433,0.3567
162,396,64,0.08,0.52173913,0.5041,0.4959
163,397,4,0.13,0.82608696,0.187,0.813
164,398,16,-0.06,0.39130435,0.6428,0.3572
