Hoy,Gen,Ind,Sd_A,Sd_L,SDGP,SUDI,Vis,Pvg,Val_SDGP,Val_SUDI,Val_Vis,Val_Pvg,shade_percent,shade_rad,Optimizer
5838.0,0,0,34,0.05,1.0,0.017,0.261,0.338,1.0,0.017,0.261,0.006,0.335,35.417,-1.285
5838.0,0,1,31,-0.09,1.0,0.138,0.565,0.2,1.0,0.138,0.565,0.004,0.605,35.403,-1.707
5838.0,0,2,77,-0.07,1.0,0.115,0.478,0.512,1.0,0.115,0.478,0.01,0.0,35.685,-1.603
5838.0,0,3,32,0.08,1.0,0.087,0.478,0.235,1.0,0.087,0.478,0.004,0.538,35.407,-1.569
5838.0,0,4,12,-0.0,1.0,0.0,0.0,0.484,1.0,0.0,0.0,0.009,0.042,35.284,-1.009
5838.0,0,5,51,0.09,1.0,0.161,0.565,0.234,1.0,0.161,0.565,0.004,0.541,35.52,-1.731
5838.0,0,6,9,-0.07,1.0,0.094,0.435,0.26,1.0,0.094,0.435,0.005,0.486,35.264,-1.534
5838.0,0,7,55,0.14,1.0,0.26,0.913,0.041,1.0,0.26,0.913,0.001,0.919,35.55,-2.174
5838.0,0,8,86,0.08,1.0,0.145,0.739,0.512,1.0,0.145,0.739,0.01,0.0,35.739,-1.894
5838.0,0,9,6,-0.13,1.0,0.199,0.826,0.066,1.0,0.199,0.826,0.001,0.87,35.244,-2.026
5838.0,1,0,0,-0.07,1.0,0.095,0.435,0.269,1.0,0.095,0.435,0.005,0.467,35.206,-1.535
5838.0,1,1,27,-0.14,1.0,0.209,0.913,0.033,1.0,0.209,0.913,0.001,0.935,35.373,-2.123
5838.0,1,2,32,-0.14,1.0,0.216,0.913,0.034,1.0,0.216,0.913,0.001,0.934,35.408,-2.13
5838.0,1,3,23,-0.06,1.0,0.087,0.391,0.292,1.0,0.087,0.391,0.006,0.424,35.349,-1.484
5838.0,1,4,47,-0.08,1.0,0.11,0.522,0.263,1.0,0.11,0.522,0.005,0.483,35.5,-1.637
5838.0,1,5,66,0.14,1.0,0.264,0.913,0.049,1.0,0.264,0.913,0.001,0.903,35.614,-2.178
5838.0,1,6,39,0.07,1.0,0.126,0.391,0.279,1.0,0.126,0.391,0.005,0.45,35.449,-1.522
5838.0,1,7,64,0.05,1.0,0.025,0.565,0.479,1.0,0.025,0.565,0.009,0.062,35.604,-1.6
5838.0,1,8,84,0.14,1.0,0.257,0.913,0.082,1.0,0.257,0.913,0.002,0.839,35.723,-2.171
5838.0,1,9,51,0.01,1.0,0.0,0.13,0.509,1.0,0.0,0.13,0.01,0.0,35.521,-1.14
5838.0,2,0,45,0.07,1.0,0.126,0.391,0.292,1.0,0.126,0.391,0.006,0.425,35.483,-1.522
5838.0,2,1,20,-0.12,1.0,0.156,0.783,0.097,1.0,0.156,0.783,0.002,0.809,35.335,-1.94
5838.0,2,2,30,-0.11,1.0,0.164,0.696,0.133,1.0,0.164,0.696,0.003,0.739,35.394,-1.862
5838.0,2,3,48,0.07,1.0,0.131,0.391,0.302,1.0,0.131,0.391,0.006,0.407,35.503,-1.528
5838.0,2,4,42,-0.11,1.0,0.164,0.696,0.143,1.0,0.164,0.696,0.003,0.718,35.47,-1.863
5838.0,2,5,55,0.14,1.0,0.26,0.913,0.041,1.0,0.26,0.913,0.001,0.919,35.546,-2.174
5838.0,2,6,54,0.03,1.0,0.001,0.217,0.488,1.0,0.001,0.217,0.009,0.043,35.541,-1.227
5838.0,2,7,88,0.14,1.0,0.252,0.913,0.103,1.0,0.252,0.913,0.002,0.798,35.753,-2.167
5838.0,2,8,57,0.13,1.0,0.26,0.87,0.085,1.0,0.26,0.87,0.002,0.833,35.561,-2.131
5838.0,2,9,22,0.01,1.0,0.0,0.0,0.453,1.0,0.0,0.0,0.009,0.106,35.342,-1.009
5838.0,3,0,45,0.07,1.0,0.126,0.391,0.292,1.0,0.126,0.391,0.006,0.425,35.483,-1.522
5838.0,3,1,58,-0.14,1.0,0.217,0.913,0.043,1.0,0.217,0.913,0.001,0.915,35.568,-2.13
5838.0,3,2,74,-0.14,1.0,0.241,0.913,0.06,1.0,0.241,0.913,0.001,0.883,35.663,-2.156
5838.0,3,3,47,0.14,1.0,0.252,0.87,0.037,1.0,0.252,0.87,0.001,0.927,35.497,-2.122
5838.0,3,4,69,0.03,1.0,0.045,0.304,0.511,1.0,0.045,0.304,0.01,0.0,35.631,-1.359
5838.0,3,5,84,0.14,1.0,0.257,0.913,0.084,1.0,0.257,0.913,0.002,0.836,35.726,-2.171
5838.0,3,6,40,0.07,1.0,0.126,0.391,0.282,1.0,0.126,0.391,0.005,0.445,35.457,-1.522
5838.0,3,7,84,0.12,1.0,0.269,0.826,0.255,1.0,0.269,0.826,0.005,0.503,35.727,-2.1
5838.0,3,8,54,0.14,1.0,0.26,0.913,0.041,1.0,0.26,0.913,0.001,0.92,35.543,-2.174
5838.0,3,9,51,-0.14,1.0,0.217,0.913,0.039,1.0,0.217,0.913,0.001,0.923,35.521,-2.13
5838.0,4,0,22,-0.04,1.0,0.103,0.261,0.356,1.0,0.103,0.261,0.007,0.297,35.347,-1.371
5838.0,4,1,90,-0.14,1.0,0.243,0.957,0.109,1.0,0.243,0.957,0.002,0.786,35.759,-2.201
5838.0,4,2,90,-0.14,1.0,0.243,0.957,0.109,1.0,0.243,0.957,0.002,0.786,35.759,-2.201
5838.0,4,3,62,0.14,1.0,0.264,0.913,0.046,1.0,0.264,0.913,0.001,0.909,35.593,-2.178
5838.0,4,4,19,-0.14,1.0,0.209,0.913,0.032,1.0,0.209,0.913,0.001,0.936,35.324,-2.123
5838.0,4,5,44,0.14,1.0,0.252,0.87,0.036,1.0,0.252,0.87,0.001,0.929,35.479,-2.122
5838.0,4,6,0,0.07,1.0,0.104,0.391,0.269,1.0,0.104,0.391,0.005,0.467,35.206,-1.5
5838.0,4,7,68,0.11,1.0,0.253,0.739,0.207,1.0,0.253,0.739,0.004,0.594,35.627,-1.996
5838.0,4,8,72,0.14,1.0,0.264,0.913,0.057,1.0,0.264,0.913,0.001,0.889,35.652,-2.178
5838.0,4,9,51,-0.06,1.0,0.087,0.391,0.352,1.0,0.087,0.391,0.007,0.309,35.522,-1.485
5838.0,5,0,4,0.0,1.0,0.0,0.0,0.495,1.0,0.0,0.0,0.009,0.021,35.234,-1.009
5838.0,5,1,70,-0.14,1.0,0.237,0.913,0.055,1.0,0.237,0.913,0.001,0.893,35.642,-2.151
5838.0,5,2,79,-0.1,1.0,0.166,0.696,0.352,1.0,0.166,0.696,0.007,0.313,35.697,-1.868
5838.0,5,3,67,0.0,1.0,0.023,0.304,0.511,1.0,0.023,0.304,0.01,0.0,35.621,-1.337
5838.0,5,4,64,-0.14,1.0,0.237,0.913,0.048,1.0,0.237,0.913,0.001,0.907,35.601,-2.151
5838.0,5,5,73,0.14,1.0,0.257,0.913,0.058,1.0,0.257,0.913,0.001,0.886,35.657,-2.171
5838.0,5,6,54,0.01,1.0,0.0,0.174,0.51,1.0,0.0,0.174,0.01,0.0,35.541,-1.184
5838.0,5,7,53,0.14,1.0,0.26,0.913,0.04,1.0,0.26,0.913,0.001,0.922,35.533,-2.174
5838.0,5,8,86,0.13,1.0,0.261,0.87,0.186,1.0,0.261,0.87,0.004,0.637,35.74,-2.134
5838.0,5,9,61,-0.14,1.0,0.217,0.913,0.045,1.0,0.217,0.913,0.001,0.912,35.582,-2.13
5838.0,6,0,45,0.01,1.0,0.0,0.087,0.509,1.0,0.0,0.087,0.01,0.0,35.483,-1.097
5838.0,6,1,90,-0.14,1.0,0.243,0.957,0.109,1.0,0.243,0.957,0.002,0.786,35.759,-2.201
