Hoy,Gen,Ind,Sd_A,Sd_L,SDGP,SUDI,Vis,Pvg,Val_SDGP,Val_SUDI,Val_Vis,Val_Pvg,shade_percent,shade_rad,Optimizer
5838.0,0,0,65,-0.11,1.0,0.161,0.739,0.195,1.0,0.161,0.739,0.004,0.617,35.61,-1.904
5838.0,0,1,5,0.01,1.0,0.0,0.0,0.461,1.0,0.0,0.0,0.009,0.088,35.237,-1.009
5838.0,0,2,25,-0.08,1.0,0.113,0.522,0.228,1.0,0.113,0.522,0.004,0.55,35.365,-1.64
5838.0,0,3,9,-0.01,1.0,0.0,0.043,0.454,1.0,0.0,0.043,0.009,0.101,35.266,-1.052
5838.0,0,4,67,0.03,1.0,0.045,0.304,0.511,1.0,0.045,0.304,0.01,0.0,35.623,-1.359
5838.0,0,5,49,-0.13,1.0,0.203,0.826,0.076,1.0,0.203,0.826,0.001,0.85,35.508,-2.03
5838.0,0,6,20,0.02,1.0,0.0,0.087,0.42,1.0,0.0,0.087,0.008,0.171,35.335,-1.095
5838.0,0,7,63,-0.01,1.0,0.015,0.261,0.51,1.0,0.015,0.261,0.01,0.0,35.598,-1.286
5838.0,0,8,60,0.11,1.0,0.253,0.739,0.177,1.0,0.253,0.739,0.003,0.652,35.577,-1.996
5838.0,0,9,19,0.1,1.0,0.223,0.609,0.161,1.0,0.223,0.609,0.003,0.682,35.324,-1.835
5838.0,1,0,30,0.03,1.0,0.001,0.13,0.398,1.0,0.001,0.13,0.008,0.215,35.396,-1.139
5838.0,1,1,50,-0.06,1.0,0.087,0.391,0.347,1.0,0.087,0.391,0.007,0.319,35.514,-1.484
5838.0,1,2,0,-0.13,1.0,0.199,0.87,0.067,1.0,0.199,0.87,0.001,0.867,35.206,-2.07
5838.0,1,3,24,-0.12,1.0,0.155,0.783,0.098,1.0,0.155,0.783,0.002,0.807,35.359,-1.939
5838.0,1,4,22,-0.11,1.0,0.164,0.696,0.13,1.0,0.164,0.696,0.002,0.744,35.346,-1.863
5838.0,1,5,24,-0.14,1.0,0.209,0.913,0.033,1.0,0.209,0.913,0.001,0.936,35.357,-2.123
5838.0,1,6,9,-0.06,1.0,0.087,0.391,0.292,1.0,0.087,0.391,0.006,0.422,35.267,-1.484
5838.0,1,7,42,-0.14,1.0,0.217,0.913,0.036,1.0,0.217,0.913,0.001,0.93,35.465,-2.131
5838.0,1,8,67,-0.03,1.0,0.038,0.261,0.511,1.0,0.038,0.261,0.01,0.0,35.62,-1.308
5838.0,1,9,64,-0.04,1.0,0.081,0.348,0.51,1.0,0.081,0.348,0.01,0.0,35.601,-1.439
5838.0,2,0,29,-0.14,1.0,0.216,0.913,0.033,1.0,0.216,0.913,0.001,0.935,35.387,-2.13
5838.0,2,1,14,-0.09,1.0,0.136,0.565,0.193,1.0,0.136,0.565,0.004,0.618,35.296,-1.705
5838.0,2,2,39,-0.1,1.0,0.154,0.652,0.175,1.0,0.154,0.652,0.003,0.656,35.45,-1.81
5838.0,2,3,0,-0.14,1.0,0.211,0.913,0.034,1.0,0.211,0.913,0.001,0.933,35.206,-2.125
5838.0,2,4,30,-0.14,1.0,0.216,0.913,0.033,1.0,0.216,0.913,0.001,0.935,35.392,-2.13
5838.0,2,5,37,-0.14,1.0,0.216,0.913,0.034,1.0,0.216,0.913,0.001,0.932,35.437,-2.13
5838.0,2,6,38,-0.12,1.0,0.155,0.783,0.104,1.0,0.155,0.783,0.002,0.795,35.444,-1.94
5838.0,2,7,11,-0.07,1.0,0.094,0.435,0.259,1.0,0.094,0.435,0.005,0.489,35.28,-1.534
5838.0,2,8,61,-0.03,1.0,0.025,0.217,0.51,1.0,0.025,0.217,0.01,0.0,35.587,-1.252
5838.0,2,9,64,-0.04,1.0,0.081,0.348,0.51,1.0,0.081,0.348,0.01,0.0,35.601,-1.439
5838.0,3,0,7,-0.1,1.0,0.154,0.652,0.163,1.0,0.154,0.652,0.003,0.677,35.251,-1.809
5838.0,3,1,5,-0.14,1.0,0.211,0.913,0.033,1.0,0.211,0.913,0.001,0.935,35.242,-2.125
5838.0,3,2,4,-0.1,1.0,0.15,0.652,0.165,1.0,0.15,0.652,0.003,0.674,35.235,-1.805
5838.0,3,3,22,-0.13,1.0,0.197,0.826,0.065,1.0,0.197,0.826,0.001,0.872,35.347,-2.024
5838.0,3,4,47,-0.14,1.0,0.217,0.913,0.037,1.0,0.217,0.913,0.001,0.926,35.498,-2.131
5838.0,3,5,66,-0.12,1.0,0.155,0.783,0.148,1.0,0.155,0.783,0.003,0.711,35.612,-1.94
5838.0,3,6,15,-0.14,1.0,0.211,0.913,0.032,1.0,0.211,0.913,0.001,0.936,35.299,-2.125
5838.0,3,7,21,-0.06,1.0,0.087,0.391,0.291,1.0,0.087,0.391,0.006,0.426,35.337,-1.484
5838.0,3,8,15,0.08,1.0,0.08,0.478,0.226,1.0,0.08,0.478,0.004,0.554,35.3,-1.563
5838.0,3,9,11,0.0,1.0,0.0,0.0,0.485,1.0,0.0,0.0,0.009,0.04,35.275,-1.009
5838.0,4,0,16,-0.1,1.0,0.154,0.652,0.161,1.0,0.154,0.652,0.003,0.682,35.31,-1.809
5838.0,4,1,13,-0.05,1.0,0.08,0.304,0.323,1.0,0.08,0.304,0.006,0.362,35.289,-1.39
5838.0,4,2,45,-0.14,1.0,0.217,0.913,0.037,1.0,0.217,0.913,0.001,0.928,35.483,-2.131
5838.0,4,3,44,-0.11,1.0,0.164,0.696,0.145,1.0,0.164,0.696,0.003,0.715,35.478,-1.863
5838.0,4,4,26,-0.06,1.0,0.087,0.391,0.294,1.0,0.087,0.391,0.006,0.42,35.367,-1.484
5838.0,4,5,14,-0.09,1.0,0.136,0.565,0.193,1.0,0.136,0.565,0.004,0.618,35.293,-1.705
5838.0,4,6,16,-0.14,1.0,0.211,0.913,0.032,1.0,0.211,0.913,0.001,0.936,35.306,-2.125
5838.0,4,7,67,-0.14,1.0,0.237,0.913,0.051,1.0,0.237,0.913,0.001,0.901,35.621,-2.151
5838.0,4,8,89,-0.03,1.0,0.057,0.565,0.513,1.0,0.057,0.565,0.01,0.0,35.758,-1.632
5838.0,4,9,64,-0.04,1.0,0.081,0.348,0.51,1.0,0.081,0.348,0.01,0.0,35.601,-1.439
5838.0,5,0,36,-0.14,1.0,0.216,0.913,0.034,1.0,0.216,0.913,0.001,0.932,35.433,-2.13
5838.0,5,1,17,-0.14,1.0,0.209,0.913,0.032,1.0,0.209,0.913,0.001,0.936,35.313,-2.123
5838.0,5,2,64,-0.14,1.0,0.237,0.913,0.048,1.0,0.237,0.913,0.001,0.906,35.605,-2.151
5838.0,5,3,20,-0.14,1.0,0.209,0.913,0.032,1.0,0.209,0.913,0.001,0.936,35.33,-2.123
5838.0,5,4,30,-0.14,1.0,0.216,0.913,0.033,1.0,0.216,0.913,0.001,0.935,35.393,-2.13
5838.0,5,5,23,-0.14,1.0,0.209,0.913,0.032,1.0,0.209,0.913,0.001,0.936,35.353,-2.123
5838.0,5,6,35,-0.11,1.0,0.165,0.696,0.136,1.0,0.165,0.696,0.003,0.732,35.425,-1.863
5838.0,5,7,61,-0.09,1.0,0.141,0.609,0.27,1.0,0.141,0.609,0.005,0.472,35.582,-1.755
5838.0,5,8,81,-0.03,1.0,0.058,0.435,0.512,1.0,0.058,0.435,0.01,0.0,35.707,-1.503
5838.0,5,9,42,-0.04,1.0,0.103,0.261,0.394,1.0,0.103,0.261,0.007,0.225,35.469,-1.372
5838.0,6,0,81,-0.07,1.0,0.115,0.478,0.512,1.0,0.115,0.478,0.01,0.0,35.71,-1.603
5838.0,6,1,31,-0.14,1.0,0.216,0.913,0.033,1.0,0.216,0.913,0.001,0.934,35.402,-2.13
5838.0,6,2,60,-0.04,1.0,0.092,0.304,0.49,1.0,0.092,0.304,0.009,0.039,35.579,-1.406
5838.0,6,3,45,-0.05,1.0,0.08,0.348,0.365,1.0,0.08,0.348,0.007,0.282,35.483,-1.434
5838.0,6,4,61,-0.12,1.0,0.155,0.783,0.136,1.0,0.155,0.783,0.003,0.734,35.585,-1.94
5838.0,6,5,60,-0.14,1.0,0.217,0.913,0.044,1.0,0.217,0.913,0.001,0.913,35.578,-2.13
5838.0,6,6,60,-0.06,1.0,0.087,0.391,0.398,1.0,0.087,0.391,0.008,0.219,35.576,-1.485
5838.0,6,7,77,-0.09,1.0,0.155,0.609,0.392,1.0,0.155,0.609,0.007,0.234,35.682,-1.772
5838.0,6,8,62,-0.03,1.0,0.038,0.261,0.51,1.0,0.038,0.261,0.01,0.0,35.592,-1.308
5838.0,6,9,56,0.09,1.0,0.161,0.609,0.252,1.0,0.161,0.609,0.005,0.505,35.556,-1.774
5838.0,7,0,10,-0.12,1.0,0.156,0.783,0.097,1.0,0.156,0.783,0.002,0.808,35.269,-1.94
5838.0,7,1,54,-0.14,1.0,0.217,0.913,0.041,1.0,0.217,0.913,0.001,0.92,35.54,-2.13
5838.0,7,2,75,-0.14,1.0,0.241,0.913,0.062,1.0,0.241,0.913,0.001,0.879,35.671,-2.156
5838.0,7,3,2,-0.14,1.0,0.211,0.913,0.033,1.0,0.211,0.913,0.001,0.934,35.222,-2.125
5838.0,7,4,90,-0.05,1.0,0.097,0.435,0.513,1.0,0.097,0.435,0.01,0.0,35.759,-1.541
5838.0,7,5,65,-0.14,1.0,0.237,0.913,0.049,1.0,0.237,0.913,0.001,0.905,35.609,-2.151
5838.0,7,6,48,-0.11,1.0,0.164,0.696,0.151,1.0,0.164,0.696,0.003,0.703,35.503,-1.863
5838.0,7,7,68,-0.13,1.0,0.224,0.87,0.103,1.0,0.224,0.87,0.002,0.798,35.626,-2.096
5838.0,7,8,83,-0.03,1.0,0.058,0.478,0.512,1.0,0.058,0.478,0.01,0.0,35.722,-1.546
5838.0,7,9,24,-0.04,1.0,0.103,0.261,0.358,1.0,0.103,0.261,0.007,0.294,35.36,-1.371
5838.0,8,0,69,-0.14,1.0,0.237,0.913,0.053,1.0,0.237,0.913,0.001,0.896,35.634,-2.151
5838.0,8,1,42,-0.14,1.0,0.217,0.913,0.036,1.0,0.217,0.913,0.001,0.93,35.468,-2.131
5838.0,8,2,63,-0.14,1.0,0.237,0.913,0.047,1.0,0.237,0.913,0.001,0.909,35.595,-2.151
5838.0,8,3,45,-0.14,1.0,0.217,0.913,0.037,1.0,0.217,0.913,0.001,0.928,35.483,-2.131
5838.0,8,4,77,-0.14,1.0,0.241,0.913,0.065,1.0,0.241,0.913,0.001,0.874,35.68,-2.156
5838.0,8,5,90,-0.08,1.0,0.129,0.565,0.513,1.0,0.129,0.565,0.01,0.0,35.759,-1.704
5838.0,8,6,60,-0.14,1.0,0.217,0.913,0.044,1.0,0.217,0.913,0.001,0.913,35.576,-2.13
5838.0,8,7,81,-0.08,1.0,0.119,0.565,0.512,1.0,0.119,0.565,0.01,0.0,35.707,-1.694
5838.0,8,8,71,-0.0,1.0,0.023,0.348,0.511,1.0,0.023,0.348,0.01,0.0,35.648,-1.38
5838.0,8,9,39,0.11,1.0,0.256,0.696,0.14,1.0,0.256,0.696,0.003,0.725,35.45,-1.954
5838.0,9,0,90,-0.14,1.0,0.243,0.957,0.109,1.0,0.243,0.957,0.002,0.786,35.759,-2.201
5838.0,9,1,87,-0.14,1.0,0.243,0.913,0.097,1.0,0.243,0.913,0.002,0.811,35.745,-2.157
5838.0,9,2,90,-0.14,1.0,0.243,0.957,0.109,1.0,0.243,0.957,0.002,0.786,35.759,-2.201
5838.0,9,3,90,-0.08,1.0,0.129,0.565,0.513,1.0,0.129,0.565,0.01,0.0,35.759,-1.704
5838.0,9,4,90,-0.13,1.0,0.23,0.87,0.219,1.0,0.23,0.87,0.004,0.573,35.759,-2.104
5838.0,9,5,84,-0.14,1.0,0.241,0.913,0.083,1.0,0.241,0.913,0.002,0.838,35.723,-2.156
5838.0,9,6,90,-0.14,1.0,0.243,0.957,0.109,1.0,0.243,0.957,0.002,0.786,35.759,-2.201
