Hoy,Gen,Ind,Sd_A,Sd_L,SDGP,SUDI,Vis,Pvg,Val_SDGP,Val_SUDI,Val_Vis,Val_Pvg,shade_percent,shade_rad,Optimizer
8.0,0,0,7,-0.08,0.842,0.247,0.522,0.749,0.802,0.247,0.522,0.007,0.522,97.667,-1.578
8.0,0,1,88,0.08,0.83,0.792,0.739,0.0,0.787,0.792,0.739,0.0,1.0,98.089,-2.318
8.0,0,2,11,-0.01,0.998,0.0,0.043,1.525,0.998,0.0,0.043,0.015,0.028,97.687,-1.056
8.0,0,3,51,-0.14,0.783,0.63,0.913,0.191,0.729,0.63,0.913,0.002,0.879,97.898,-2.274
8.0,0,4,19,0.1,1.0,0.791,0.609,0.577,1.0,0.791,0.609,0.006,0.632,97.732,-2.405
8.0,0,5,88,0.06,0.844,0.803,0.783,0.0,0.804,0.803,0.783,0.0,1.0,98.088,-2.39
8.0,0,6,67,0.04,0.973,0.486,0.304,1.573,0.967,0.486,0.304,0.016,0.0,97.985,-1.773
8.0,0,7,25,0.12,0.818,0.599,0.739,0.365,0.772,0.599,0.739,0.004,0.768,97.762,-2.114
8.0,0,8,88,0.05,0.822,0.813,0.783,0.0,0.778,0.813,0.783,0.0,1.0,98.087,-2.373
8.0,0,9,38,-0.06,0.824,0.188,0.391,1.319,0.78,0.188,0.391,0.013,0.16,97.834,-1.373
8.0,1,0,52,-0.08,0.783,0.347,0.522,1.397,0.729,0.347,0.522,0.014,0.111,97.907,-1.612
8.0,1,1,71,-0.06,0.804,0.159,0.435,1.573,0.755,0.159,0.435,0.016,0.0,98.001,-1.365
8.0,1,2,54,0.13,0.779,0.632,0.87,0.418,0.724,0.632,0.87,0.004,0.734,97.915,-2.23
8.0,1,3,53,-0.03,0.962,0.098,0.217,1.572,0.952,0.098,0.217,0.016,0.0,97.913,-1.283
8.0,1,4,6,0.14,0.838,0.558,0.87,0.106,0.797,0.558,0.87,0.001,0.932,97.658,-2.225
8.0,1,5,62,0.14,0.779,0.613,0.913,0.277,0.724,0.613,0.913,0.003,0.824,97.955,-2.253
8.0,1,6,80,0.08,0.919,0.756,0.696,1.574,0.899,0.756,0.696,0.016,0.0,98.048,-2.366
8.0,1,7,58,0.09,0.991,0.826,0.609,1.461,0.989,0.826,0.609,0.015,0.07,97.938,-2.438
8.0,1,8,47,0.11,0.946,0.697,0.696,0.69,0.932,0.697,0.696,0.007,0.561,97.877,-2.332
8.0,1,9,56,0.08,0.992,0.71,0.522,1.567,0.99,0.71,0.522,0.016,0.003,97.926,-2.238
8.0,2,0,89,-0.01,0.8,0.715,0.652,0.0,0.75,0.715,0.652,0.0,1.0,98.095,-2.118
8.0,2,1,43,-0.06,0.824,0.182,0.391,1.439,0.78,0.182,0.391,0.014,0.084,97.859,-1.368
8.0,2,2,37,0.04,1.0,0.31,0.217,1.57,1.0,0.31,0.217,0.016,0.0,97.826,-1.543
8.0,2,3,44,0.0,0.959,0.013,0.174,1.571,0.949,0.013,0.174,0.016,0.0,97.862,-1.151
8.0,2,4,64,0.05,0.853,0.63,0.565,1.573,0.816,0.63,0.565,0.016,0.0,97.969,-2.027
8.0,2,5,90,0.07,0.84,0.809,0.783,0.0,0.8,0.809,0.783,0.0,1.0,98.096,-2.392
8.0,2,6,81,0.14,0.779,0.622,0.913,1.574,0.724,0.622,0.913,0.016,0.0,98.052,-2.275
8.0,2,7,90,0.04,0.785,0.683,0.652,0.0,0.731,0.683,0.652,0.0,1.0,98.096,-2.067
8.0,2,8,74,0.14,0.779,0.622,0.913,0.601,0.724,0.622,0.913,0.006,0.618,98.017,-2.265
8.0,2,9,81,0.14,0.779,0.622,0.913,1.574,0.724,0.622,0.913,0.016,0.0,98.056,-2.275
8.0,3,0,86,-0.06,0.788,0.395,0.565,0.0,0.735,0.395,0.565,0.0,1.0,98.08,-1.696
