,Hoy,SD_Angle,SD_Position
0,2167.0,70.0,0.04
1,2168.0,51.0,0.01
2,2169.0,24.0,-0.06
3,2170.0,60.0,-0.01
4,2171.0,7.0,0.08
5,2172.0,90.0,0.14
6,2173.0,8.0,-0.04
7,2174.0,80.0,-0.07
8,2175.0,5.0,0.02
9,2176.0,69.0,-0.02
10,2177.0,54.0,-0.07
11,2178.0,17.0,-0.07
12,2190.0,58.0,0.03
13,2191.0,48.0,0.05
14,2192.0,71.0,-0.07
15,2193.0,57.0,-0.02
16,2194.0,35.0,-0.03
17,2195.0,60.0,-0.06
18,2196.0,24.0,0.11
19,2197.0,22.0,-0.06
20,2198.0,10.0,-0.03
21,2199.0,13.0,-0.07
22,2200.0,27.0,0.03
23,2201.0,30.0,0.0
24,2202.0,46.0,-0.04
25,2214.0,66.0,0.07
26,2215.0,50.0,0.0
27,2216.0,55.0,0.07
28,2217.0,90.0,0.14
29,2218.0,0.0,-0.03
30,2219.0,28.0,0.11
31,2220.0,21.0,-0.06
32,2221.0,37.0,0.13
33,2222.0,41.0,0.01
34,2223.0,77.0,-0.02
35,2224.0,38.0,-0.09
36,2225.0,21.0,0.02
37,2226.0,11.0,-0.07
38,2238.0,42.0,0.06
39,2239.0,17.0,-0.08
40,2240.0,33.0,-0.05
41,2241.0,29.0,-0.07
42,2242.0,27.0,0.14
43,2243.0,29.0,-0.03
44,2244.0,13.0,0.07
45,2245.0,27.0,0.09
46,2246.0,0.0,-0.07
47,2247.0,62.0,-0.07
48,2248.0,41.0,-0.08
49,2249.0,73.0,-0.01
50,2250.0,23.0,-0.01
51,2262.0,16.0,-0.02
52,2263.0,44.0,0.02
53,2264.0,53.0,0.03
54,2265.0,53.0,0.01
55,2266.0,33.0,-0.05
56,2267.0,19.0,0.1
57,2268.0,55.0,-0.01
58,2269.0,39.0,0.1
59,2270.0,56.0,0.13
60,2271.0,13.0,0.12
61,2272.0,25.0,-0.06
62,2273.0,60.0,0.04
63,2274.0,42.0,0.04
64,2286.0,57.0,0.07
65,2287.0,19.0,0.07
66,2288.0,53.0,0.01
67,2289.0,24.0,-0.06
68,2290.0,55.0,-0.05
69,2291.0,46.0,0.12
70,2292.0,54.0,-0.02
71,2293.0,47.0,0.12
72,2294.0,34.0,0.02
73,2295.0,48.0,-0.09
74,2296.0,0.0,0.07
75,2297.0,9.0,-0.02
76,2298.0,18.0,-0.09
77,2310.0,40.0,0.0
78,2311.0,19.0,0.07
79,2312.0,48.0,-0.04
80,2313.0,53.0,-0.07
81,2314.0,0.0,-0.06
82,2315.0,41.0,-0.02
83,2316.0,28.0,0.11
