,Hoy,SD_Angle,SD_Position
0,5838.0,9.0,-0.06
1,5839.0,35.0,-0.06
2,5840.0,41.0,0.11
3,5841.0,87.0,0.12
4,5842.0,41.0,-0.05
5,5843.0,40.0,-0.13
6,5844.0,75.0,0.09
7,5845.0,9.0,0.01
8,5846.0,67.0,0.12
9,5847.0,53.0,-0.04
10,5848.0,59.0,0.0
11,5849.0,16.0,-0.09
12,5850.0,22.0,-0.06
13,5862.0,72.0,-0.06
14,5863.0,79.0,-0.04
15,5864.0,36.0,-0.02
16,5865.0,57.0,-0.06
17,5866.0,13.0,0.01
18,5867.0,55.0,-0.05
19,5868.0,90.0,0.12
20,5869.0,58.0,0.11
21,5870.0,7.0,0.04
22,5871.0,0.0,-0.06
23,5872.0,0.0,-0.09
24,5873.0,35.0,0.04
25,5874.0,54.0,0.06
26,5886.0,53.0,-0.01
27,5887.0,46.0,0.08
28,5888.0,64.0,-0.03
29,5889.0,54.0,-0.01
30,5890.0,2.0,-0.06
31,5891.0,48.0,-0.02
32,5892.0,36.0,0.1
33,5893.0,12.0,0.03
34,5894.0,60.0,-0.04
35,5895.0,74.0,-0.06
36,5896.0,61.0,0.01
37,5897.0,0.0,0.08
38,5898.0,52.0,0.05
39,5910.0,33.0,-0.07
40,5911.0,14.0,0.05
41,5912.0,32.0,0.04
42,5913.0,52.0,0.12
43,5914.0,90.0,0.14
44,5915.0,18.0,0.09
45,5916.0,0.0,-0.04
46,5917.0,76.0,0.1
47,5918.0,20.0,-0.09
48,5919.0,65.0,-0.08
49,5920.0,4.0,-0.09
50,5921.0,10.0,0.01
51,5922.0,27.0,-0.04
52,5934.0,44.0,-0.05
53,5935.0,42.0,-0.04
54,5936.0,3.0,0.03
55,5937.0,80.0,-0.05
56,5938.0,6.0,0.11
57,5939.0,50.0,0.0
58,5940.0,26.0,0.02
59,5941.0,10.0,0.12
60,5942.0,12.0,-0.05
61,5943.0,21.0,0.03
62,5944.0,65.0,0.06
63,5945.0,52.0,0.05
64,5946.0,73.0,-0.04
65,5958.0,67.0,-0.0
66,5959.0,65.0,0.07
67,5960.0,49.0,0.0
68,5961.0,0.0,0.05
69,5962.0,24.0,0.14
70,5963.0,41.0,0.13
71,5964.0,53.0,0.09
72,5965.0,14.0,-0.06
73,5966.0,6.0,-0.08
74,5967.0,38.0,-0.08
75,5968.0,56.0,0.01
76,5969.0,5.0,-0.07
77,5970.0,8.0,0.08
78,5982.0,67.0,-0.04
79,5983.0,35.0,-0.03
80,5984.0,37.0,-0.06
81,5985.0,50.0,0.1
82,5986.0,78.0,-0.06
83,5987.0,45.0,0.12
84,5988.0,1.0,0.12
85,5989.0,11.0,-0.06
86,5990.0,27.0,-0.07
87,5991.0,31.0,0.02
88,5992.0,58.0,0.03
89,5993.0,64.0,-0.06
90,5994.0,50.0,0.02
91,6006.0,74.0,0.06
92,6007.0,76.0,0.0
93,6008.0,66.0,-0.06
94,6009.0,30.0,-0.07
95,6010.0,47.0,0.02
96,6011.0,46.0,-0.01
97,6012.0,70.0,0.1
98,6013.0,56.0,-0.06
99,6014.0,26.0,-0.07
100,6015.0,56.0,0.03
101,6016.0,71.0,-0.02
102,6017.0,58.0,0.0
103,6018.0,61.0,0.07
104,6030.0,44.0,-0.08
105,6031.0,34.0,-0.04
106,6032.0,41.0,-0.03
107,6033.0,53.0,-0.02
108,6034.0,37.0,-0.04
109,6035.0,53.0,0.09
110,6036.0,85.0,0.04
111,6037.0,21.0,0.08
112,6038.0,44.0,-0.0
113,6039.0,16.0,0.02
114,6040.0,74.0,0.04
115,6041.0,54.0,0.05
116,6042.0,42.0,0.06
117,6054.0,24.0,-0.07
118,6055.0,0.0,-0.03
119,6056.0,7.0,-0.04
120,6057.0,21.0,-0.1
121,6058.0,54.0,0.0
122,6059.0,0.0,-0.06
123,6060.0,31.0,-0.02
124,6061.0,59.0,0.07
125,6062.0,79.0,0.13
126,6063.0,0.0,0.03
127,6064.0,25.0,-0.03
128,6065.0,38.0,-0.04
129,6066.0,41.0,0.08
130,6078.0,62.0,0.08
131,6079.0,41.0,0.0
132,6080.0,57.0,0.02
133,6081.0,11.0,-0.06
134,6082.0,32.0,-0.04
135,6083.0,48.0,-0.01
136,6084.0,16.0,0.13
137,6085.0,2.0,0.02
138,6086.0,65.0,-0.1
139,6087.0,60.0,-0.07
140,6088.0,30.0,0.04
141,6089.0,66.0,0.06
142,6090.0,35.0,-0.0
143,6102.0,35.0,-0.03
144,6103.0,4.0,-0.09
145,6104.0,45.0,-0.03
146,6105.0,20.0,-0.04
147,6106.0,35.0,0.14
148,6107.0,27.0,0.12
149,6108.0,76.0,0.04
150,6109.0,39.0,-0.01
151,6110.0,1.0,-0.07
152,6111.0,62.0,-0.03
153,6112.0,8.0,-0.05
154,6113.0,36.0,0.06
155,6114.0,29.0,0.05
156,6126.0,8.0,0.04
157,6127.0,19.0,-0.03
158,6128.0,0.0,0.02
159,6129.0,5.0,0.05
160,6130.0,62.0,0.11
161,6131.0,49.0,0.08
162,6132.0,6.0,0.1
163,6133.0,34.0,-0.04
164,6134.0,10.0,0.14
165,6135.0,50.0,0.01
166,6136.0,39.0,0.06
167,6137.0,77.0,0.01
168,6138.0,6.0,0.06
169,6150.0,48.0,0.03
170,6151.0,15.0,0.07
171,6152.0,52.0,0.05
172,6153.0,38.0,0.11
173,6154.0,4.0,0.1
174,6155.0,90.0,0.09
175,6156.0,2.0,0.1
176,6157.0,10.0,0.13
177,6158.0,47.0,-0.05
178,6159.0,1.0,-0.09
179,6160.0,67.0,-0.06
180,6161.0,21.0,0.06
181,6162.0,49.0,0.04
182,6174.0,40.0,-0.05
183,6175.0,67.0,0.04
184,6176.0,54.0,0.02
185,6177.0,30.0,-0.06
186,6178.0,61.0,0.1
187,6179.0,56.0,0.14
188,6180.0,52.0,0.13
189,6181.0,34.0,-0.02
190,6182.0,13.0,0.01
191,6183.0,22.0,-0.05
192,6184.0,81.0,-0.05
193,6185.0,5.0,-0.01
194,6186.0,74.0,-0.06
195,6198.0,10.0,0.05
196,6199.0,86.0,-0.07
197,6200.0,71.0,-0.03
198,6201.0,42.0,0.14
199,6202.0,41.0,-0.01
200,6203.0,30.0,0.02
201,6204.0,28.0,0.12
202,6205.0,61.0,0.14
203,6206.0,13.0,0.01
204,6207.0,32.0,-0.05
205,6208.0,19.0,-0.12
206,6209.0,49.0,-0.04
207,6210.0,37.0,0.05
208,6222.0,51.0,-0.03
209,6223.0,30.0,-0.08
