,Hoy,SD_Angle,SD_Position
0,6559.0,77.0,-0.04
1,6560.0,63.0,-0.0
2,6561.0,52.0,-0.05
3,6562.0,90.0,0.1
4,6563.0,55.0,0.13
5,6564.0,39.0,0.11
6,6565.0,7.0,0.04
7,6566.0,42.0,-0.04
8,6567.0,24.0,-0.04
9,6568.0,68.0,0.04
10,6569.0,0.0,0.04
11,6583.0,51.0,0.0
12,6584.0,0.0,-0.05
13,6585.0,48.0,0.07
14,6586.0,76.0,0.12
15,6587.0,16.0,-0.12
16,6588.0,45.0,0.02
17,6589.0,36.0,-0.06
18,6590.0,54.0,-0.04
19,6591.0,2.0,-0.06
20,6592.0,23.0,0.06
21,6593.0,45.0,0.05
22,6607.0,68.0,-0.07
23,6608.0,27.0,-0.1
24,6609.0,31.0,-0.05
25,6610.0,70.0,0.1
26,6611.0,7.0,0.14
27,6612.0,86.0,0.13
28,6613.0,46.0,-0.02
29,6614.0,47.0,0.01
30,6615.0,41.0,-0.09
31,6616.0,62.0,-0.01
32,6617.0,60.0,0.07
33,6631.0,83.0,-0.01
34,6632.0,3.0,0.04
35,6633.0,42.0,0.11
36,6634.0,35.0,-0.04
37,6635.0,84.0,0.09
38,6636.0,53.0,0.14
39,6637.0,49.0,-0.1
40,6638.0,56.0,0.11
41,6639.0,59.0,-0.06
42,6640.0,36.0,0.06
43,6641.0,65.0,-0.03
44,6655.0,46.0,0.02
45,6656.0,86.0,-0.04
46,6657.0,68.0,0.13
47,6658.0,40.0,-0.07
48,6659.0,24.0,-0.02
49,6660.0,83.0,0.1
50,6661.0,84.0,0.02
51,6662.0,2.0,-0.04
52,6663.0,69.0,-0.09
53,6664.0,60.0,-0.1
54,6665.0,50.0,0.08
55,6679.0,81.0,-0.02
56,6680.0,4.0,-0.03
57,6681.0,56.0,-0.07
58,6682.0,84.0,0.09
59,6683.0,47.0,0.09
60,6684.0,63.0,-0.14
61,6685.0,0.0,0.13
62,6686.0,17.0,0.12
63,6687.0,71.0,-0.03
64,6688.0,65.0,-0.06
65,6689.0,63.0,-0.02
66,6703.0,57.0,0.05
67,6704.0,43.0,-0.04
68,6705.0,7.0,-0.07
69,6706.0,73.0,-0.14
70,6707.0,0.0,-0.03
71,6708.0,21.0,-0.01
72,6709.0,39.0,0.0
73,6710.0,71.0,0.11
74,6711.0,29.0,0.05
75,6712.0,64.0,0.02
76,6713.0,24.0,0.03
77,6727.0,53.0,-0.04
78,6728.0,49.0,0.08
79,6729.0,43.0,0.01
80,6730.0,85.0,-0.09
81,6731.0,68.0,0.08
82,6732.0,83.0,0.13
83,6733.0,67.0,0.14
84,6734.0,16.0,0.03
85,6735.0,24.0,-0.03
86,6736.0,66.0,-0.01
87,6737.0,2.0,0.02
88,6751.0,14.0,-0.01
89,6752.0,36.0,-0.05
90,6753.0,34.0,-0.01
91,6754.0,15.0,-0.03
92,6755.0,47.0,0.12
93,6756.0,1.0,-0.02
94,6757.0,11.0,0.09
95,6758.0,73.0,0.1
96,6759.0,34.0,-0.07
97,6760.0,42.0,0.06
98,6761.0,73.0,0.06
99,6775.0,52.0,-0.06
100,6776.0,64.0,0.02
101,6777.0,15.0,-0.07
102,6778.0,29.0,-0.11
103,6779.0,75.0,0.04
104,6780.0,55.0,0.14
105,6781.0,9.0,0.11
106,6782.0,22.0,-0.06
107,6783.0,37.0,-0.1
108,6784.0,62.0,-0.02
109,6785.0,70.0,0.08
110,6799.0,3.0,-0.05
111,6800.0,54.0,-0.04
112,6801.0,19.0,-0.09
113,6802.0,54.0,0.11
114,6803.0,90.0,0.02
115,6804.0,59.0,-0.03
116,6805.0,38.0,-0.03
117,6806.0,10.0,-0.04
118,6807.0,14.0,-0.03
119,6808.0,67.0,-0.08
120,6809.0,9.0,-0.03
121,6823.0,73.0,0.01
122,6824.0,37.0,-0.11
123,6825.0,6.0,0.14
124,6826.0,15.0,0.14
125,6827.0,23.0,0.05
126,6828.0,38.0,-0.13
127,6829.0,48.0,0.14
128,6830.0,86.0,0.0
129,6831.0,82.0,-0.07
130,6832.0,46.0,-0.05
131,6833.0,3.0,-0.04
132,6847.0,75.0,0.03
133,6848.0,38.0,0.04
134,6849.0,75.0,0.12
135,6850.0,28.0,0.14
136,6851.0,25.0,0.13
137,6852.0,43.0,-0.14
138,6853.0,31.0,0.14
139,6854.0,2.0,0.09
140,6855.0,40.0,-0.1
141,6856.0,79.0,-0.03
142,6857.0,47.0,-0.04
143,6871.0,39.0,-0.0
144,6872.0,47.0,-0.09
145,6873.0,87.0,-0.02
146,6874.0,72.0,0.11
147,6875.0,19.0,0.08
148,6876.0,59.0,0.14
149,6877.0,16.0,-0.04
150,6878.0,62.0,0.1
151,6879.0,76.0,-0.1
152,6880.0,29.0,-0.04
153,6881.0,80.0,0.01
154,6895.0,65.0,0.04
155,6896.0,36.0,-0.03
156,6897.0,75.0,-0.04
157,6898.0,23.0,-0.03
158,6899.0,45.0,-0.05
159,6900.0,27.0,0.1
160,6901.0,8.0,-0.1
161,6902.0,42.0,-0.13
162,6903.0,0.0,0.03
163,6904.0,30.0,0.06
164,6905.0,32.0,-0.04
165,6919.0,28.0,-0.06
166,6920.0,34.0,0.12
167,6921.0,77.0,0.11
168,6922.0,2.0,-0.06
169,6923.0,26.0,-0.02
170,6924.0,31.0,0.07
171,6925.0,66.0,-0.11
172,6926.0,51.0,-0.03
173,6927.0,29.0,0.12
174,6928.0,33.0,0.04
175,6929.0,46.0,0.03
176,6943.0,40.0,-0.06
177,6944.0,53.0,-0.03
178,6945.0,62.0,0.02
179,6946.0,39.0,-0.04
180,6947.0,65.0,0.09
181,6948.0,6.0,0.02
182,6949.0,39.0,-0.14
183,6950.0,37.0,-0.07
184,6951.0,23.0,-0.08
185,6952.0,68.0,-0.06
186,6953.0,49.0,-0.02
187,6967.0,42.0,0.07
188,6968.0,1.0,0.03
189,6969.0,30.0,-0.04
190,6970.0,48.0,0.07
191,6971.0,4.0,0.09
192,6972.0,20.0,-0.04
193,6973.0,86.0,0.13
194,6974.0,69.0,0.11
195,6975.0,51.0,-0.06
196,6976.0,22.0,-0.06
197,6977.0,64.0,-0.02
198,6991.0,17.0,-0.07
199,6992.0,28.0,-0.02
200,6993.0,5.0,0.03
201,6994.0,52.0,0.13
202,6995.0,89.0,0.14
203,6996.0,23.0,-0.1
204,6997.0,1.0,0.1
205,6998.0,86.0,-0.12
206,6999.0,14.0,-0.04
207,7000.0,45.0,-0.05
208,7001.0,25.0,0.03
209,7015.0,6.0,0.03
210,7016.0,82.0,-0.04
211,7017.0,2.0,-0.06
212,7018.0,22.0,0.13
213,7019.0,52.0,0.1
214,7020.0,24.0,-0.12
215,7021.0,28.0,-0.05
216,7022.0,1.0,-0.04
217,7023.0,53.0,-0.06
218,7024.0,30.0,0.05
219,7025.0,90.0,-0.05
220,7039.0,57.0,-0.05
221,7040.0,90.0,-0.07
222,7041.0,58.0,-0.01
223,7042.0,56.0,0.09
224,7043.0,0.0,-0.07
225,7044.0,86.0,0.13
226,7045.0,36.0,0.05
227,7046.0,34.0,0.12
228,7047.0,65.0,-0.03
229,7048.0,47.0,-0.05
230,7049.0,31.0,0.01
231,7063.0,24.0,-0.04
232,7064.0,30.0,0.02
233,7065.0,52.0,-0.03
234,7066.0,21.0,0.11
235,7067.0,0.0,0.01
236,7068.0,46.0,0.08
237,7069.0,51.0,0.06
238,7070.0,49.0,0.02
239,7071.0,50.0,-0.1
240,7072.0,5.0,0.04
241,7073.0,21.0,-0.07
242,7087.0,6.0,0.02
243,7088.0,54.0,-0.09
244,7089.0,29.0,-0.06
245,7090.0,52.0,0.14
246,7091.0,90.0,0.11
247,7092.0,31.0,-0.03
248,7093.0,35.0,0.14
249,7094.0,48.0,-0.12
250,7095.0,25.0,0.03
251,7096.0,42.0,0.05
252,7097.0,49.0,0.03
253,7111.0,45.0,-0.05
254,7112.0,42.0,-0.08
255,7113.0,82.0,0.14
256,7114.0,55.0,0.08
257,7115.0,36.0,0.14
258,7116.0,61.0,0.11
259,7117.0,86.0,0.12
260,7118.0,81.0,0.12
261,7119.0,38.0,-0.05
262,7120.0,66.0,-0.09
263,7121.0,67.0,-0.01
264,7135.0,64.0,-0.0
265,7136.0,44.0,-0.06
266,7137.0,68.0,-0.05
267,7138.0,78.0,-0.0
268,7139.0,87.0,0.12
269,7140.0,34.0,-0.02
270,7141.0,18.0,-0.03
271,7142.0,26.0,-0.11
272,7143.0,29.0,-0.04
273,7144.0,0.0,0.07
274,7145.0,37.0,-0.01
275,7159.0,27.0,-0.03
276,7160.0,58.0,-0.0
277,7161.0,38.0,-0.02
278,7162.0,34.0,0.1
279,7163.0,54.0,0.07
280,7164.0,33.0,-0.05
281,7165.0,58.0,0.1
282,7166.0,41.0,0.04
283,7167.0,43.0,0.06
284,7168.0,5.0,0.03
285,7169.0,53.0,-0.06
286,7183.0,30.0,-0.04
287,7184.0,16.0,-0.07
288,7185.0,36.0,-0.08
289,7186.0,73.0,0.14
290,7187.0,45.0,-0.11
291,7188.0,68.0,-0.12
292,7189.0,43.0,-0.05
293,7190.0,38.0,0.0
294,7191.0,34.0,0.05
295,7192.0,24.0,0.03
296,7193.0,62.0,-0.06
297,7207.0,61.0,-0.08
298,7208.0,5.0,-0.09
299,7209.0,47.0,-0.01
300,7210.0,82.0,-0.14
301,7211.0,17.0,0.13
302,7212.0,75.0,-0.13
303,7213.0,47.0,0.07
304,7214.0,87.0,0.01
305,7215.0,4.0,-0.03
306,7216.0,38.0,0.04
307,7217.0,78.0,0.01
308,7231.0,56.0,0.03
309,7232.0,41.0,-0.09
310,7233.0,60.0,-0.05
311,7234.0,28.0,-0.03
312,7235.0,86.0,0.03
313,7236.0,24.0,-0.05
314,7237.0,20.0,0.11
315,7238.0,55.0,0.13
316,7239.0,83.0,-0.01
317,7240.0,60.0,0.06
318,7241.0,34.0,0.04
319,7255.0,58.0,0.06
320,7256.0,4.0,0.05
321,7257.0,45.0,0.02
322,7258.0,31.0,0.09
323,7259.0,85.0,-0.02
324,7260.0,8.0,0.13
325,7261.0,24.0,0.13
326,7262.0,28.0,-0.09
327,7263.0,16.0,-0.1
328,7264.0,33.0,-0.02
329,7265.0,59.0,-0.04
330,7279.0,0.0,-0.01
331,7280.0,46.0,-0.02
332,7281.0,75.0,-0.05
333,7282.0,52.0,0.13
334,7283.0,77.0,0.06
335,7284.0,30.0,0.03
336,7285.0,90.0,0.09
337,7286.0,84.0,0.11
338,7287.0,30.0,-0.07
339,7288.0,40.0,0.02
340,7289.0,67.0,0.02
341,7303.0,9.0,-0.11
342,7304.0,42.0,0.05
343,7305.0,14.0,0.03
344,7306.0,48.0,0.11
345,7307.0,90.0,0.1
346,7308.0,30.0,-0.06
347,7309.0,9.0,0.13
348,7310.0,6.0,-0.08
349,7311.0,84.0,-0.01
350,7312.0,25.0,-0.06
351,7313.0,44.0,0.08
352,7327.0,51.0,-0.09
353,7328.0,46.0,-0.11
354,7329.0,56.0,-0.0
355,7330.0,62.0,-0.14
356,7331.0,15.0,-0.02
357,7332.0,58.0,0.09
358,7333.0,47.0,0.14
359,7334.0,56.0,0.12
360,7335.0,18.0,0.03
361,7336.0,55.0,0.01
362,7337.0,73.0,0.03
363,7351.0,37.0,0.03
364,7352.0,73.0,0.04
365,7353.0,46.0,-0.06
366,7354.0,25.0,-0.09
367,7355.0,47.0,-0.02
368,7356.0,24.0,-0.01
369,7357.0,47.0,0.1
370,7358.0,79.0,0.09
371,7359.0,29.0,-0.04
372,7360.0,50.0,0.05
373,7361.0,22.0,-0.06
374,7375.0,49.0,0.01
375,7376.0,21.0,-0.02
376,7377.0,0.0,0.11
377,7378.0,0.0,-0.06
378,7379.0,7.0,-0.03
379,7380.0,21.0,-0.05
380,7381.0,45.0,-0.05
381,7382.0,62.0,0.07
382,7383.0,53.0,0.01
383,7384.0,70.0,-0.02
384,7385.0,38.0,0.05
385,7399.0,78.0,-0.11
386,7400.0,54.0,0.04
387,7401.0,40.0,0.02
388,7402.0,13.0,0.13
389,7403.0,3.0,-0.03
390,7404.0,34.0,-0.01
391,7405.0,69.0,0.14
392,7406.0,48.0,0.1
393,7407.0,63.0,0.01
394,7408.0,58.0,-0.05
395,7409.0,0.0,0.07
396,7423.0,32.0,-0.1
397,7424.0,65.0,-0.09
