,Hoy,SD_Angle,SD_Position
0,5094.0,50.0,-0.05
1,5095.0,13.0,-0.06
2,5096.0,23.0,-0.06
3,5097.0,45.0,-0.09
4,5098.0,1.0,-0.12
5,5099.0,10.0,0.14
6,5100.0,52.0,-0.06
7,5101.0,51.0,-0.05
8,5102.0,56.0,-0.06
9,5103.0,53.0,-0.07
10,5104.0,41.0,0.05
11,5105.0,66.0,-0.02
12,5106.0,28.0,-0.06
13,5107.0,54.0,0.07
14,5118.0,35.0,0.08
15,5119.0,70.0,-0.07
16,5120.0,28.0,-0.08
17,5121.0,49.0,0.02
18,5122.0,0.0,0.1
19,5123.0,22.0,0.03
20,5124.0,58.0,0.0
21,5125.0,7.0,-0.06
22,5126.0,63.0,-0.08
23,5127.0,8.0,-0.12
24,5128.0,84.0,-0.05
25,5129.0,18.0,-0.02
26,5130.0,56.0,-0.03
27,5131.0,30.0,-0.06
28,5142.0,9.0,-0.1
29,5143.0,40.0,-0.05
30,5144.0,49.0,-0.06
31,5145.0,46.0,-0.05
32,5146.0,0.0,-0.08
33,5147.0,10.0,-0.06
34,5148.0,20.0,-0.07
35,5149.0,34.0,0.05
36,5150.0,29.0,0.04
37,5151.0,44.0,0.1
38,5152.0,51.0,-0.06
39,5153.0,19.0,-0.06
40,5154.0,77.0,0.02
41,5155.0,51.0,-0.04
42,5166.0,21.0,0.09
43,5167.0,45.0,-0.05
44,5168.0,9.0,0.07
45,5169.0,20.0,-0.02
46,5170.0,70.0,-0.04
47,5171.0,22.0,-0.06
48,5172.0,1.0,-0.09
49,5173.0,48.0,-0.07
50,5174.0,31.0,-0.05
51,5175.0,4.0,0.02
52,5176.0,33.0,0.06
53,5177.0,43.0,-0.0
54,5178.0,22.0,-0.03
55,5179.0,25.0,-0.06
56,5190.0,54.0,-0.03
57,5191.0,48.0,0.03
58,5192.0,57.0,0.02
59,5193.0,41.0,-0.03
60,5194.0,12.0,0.04
61,5195.0,79.0,0.04
62,5196.0,49.0,0.01
63,5197.0,40.0,0.11
64,5198.0,45.0,0.01
65,5199.0,8.0,-0.13
66,5200.0,66.0,0.04
67,5201.0,78.0,-0.05
68,5202.0,52.0,0.1
69,5203.0,45.0,0.03
70,5214.0,35.0,-0.03
71,5215.0,51.0,0.07
72,5216.0,41.0,0.05
73,5217.0,73.0,-0.05
74,5218.0,54.0,-0.07
75,5219.0,49.0,0.01
76,5220.0,29.0,-0.04
77,5221.0,21.0,0.06
78,5222.0,34.0,-0.02
79,5223.0,17.0,-0.05
80,5224.0,15.0,0.02
81,5225.0,39.0,-0.05
82,5226.0,85.0,-0.05
83,5227.0,79.0,-0.03
84,5238.0,38.0,-0.08
85,5239.0,2.0,-0.09
86,5240.0,45.0,-0.09
87,5241.0,56.0,0.13
88,5242.0,55.0,0.13
89,5243.0,58.0,-0.04
90,5244.0,46.0,-0.07
91,5245.0,21.0,0.1
92,5246.0,21.0,0.12
93,5247.0,47.0,0.02
94,5248.0,0.0,0.05
95,5249.0,47.0,-0.05
96,5250.0,33.0,-0.04
97,5251.0,47.0,-0.06
98,5262.0,52.0,-0.0
99,5263.0,52.0,0.04
100,5264.0,6.0,-0.11
101,5265.0,42.0,0.03
102,5266.0,39.0,0.11
103,5267.0,24.0,-0.08
104,5268.0,34.0,-0.05
105,5269.0,56.0,-0.06
106,5270.0,48.0,-0.07
107,5271.0,48.0,-0.05
108,5272.0,4.0,-0.11
109,5273.0,42.0,0.02
110,5274.0,68.0,0.08
111,5275.0,41.0,0.04
112,5286.0,67.0,0.02
113,5287.0,68.0,-0.05
114,5288.0,20.0,-0.09
115,5289.0,9.0,0.03
116,5290.0,54.0,0.01
117,5291.0,14.0,0.08
118,5292.0,31.0,0.01
119,5293.0,51.0,0.08
120,5294.0,16.0,-0.09
121,5295.0,40.0,-0.08
122,5296.0,63.0,-0.08
123,5297.0,31.0,-0.08
124,5298.0,38.0,0.05
125,5299.0,51.0,0.05
126,5310.0,35.0,0.04
127,5311.0,8.0,-0.03
128,5312.0,46.0,-0.02
129,5313.0,61.0,-0.01
130,5314.0,74.0,0.13
131,5315.0,2.0,-0.12
132,5316.0,5.0,0.02
133,5317.0,46.0,-0.05
134,5318.0,14.0,0.08
135,5319.0,76.0,0.12
136,5320.0,29.0,0.02
137,5321.0,0.0,0.07
138,5322.0,77.0,0.0
139,5323.0,1.0,-0.05
140,5334.0,20.0,-0.01
141,5335.0,57.0,0.04
142,5336.0,9.0,0.03
143,5337.0,59.0,-0.08
144,5338.0,45.0,-0.02
145,5339.0,48.0,-0.05
146,5340.0,9.0,0.12
147,5341.0,7.0,0.09
148,5342.0,36.0,0.06
149,5343.0,67.0,-0.03
150,5344.0,11.0,0.04
151,5345.0,37.0,0.0
152,5346.0,37.0,0.09
153,5347.0,59.0,-0.01
154,5358.0,13.0,0.07
155,5359.0,55.0,0.06
156,5360.0,38.0,-0.03
157,5361.0,70.0,-0.03
158,5362.0,34.0,-0.03
159,5363.0,20.0,-0.08
160,5364.0,47.0,-0.01
161,5365.0,35.0,-0.08
162,5366.0,22.0,-0.09
163,5367.0,66.0,-0.02
164,5368.0,45.0,0.05
165,5369.0,23.0,-0.08
166,5370.0,67.0,0.07
167,5371.0,45.0,-0.0
168,5382.0,16.0,0.09
169,5383.0,30.0,0.06
170,5384.0,90.0,-0.04
171,5385.0,14.0,0.04
172,5386.0,14.0,0.03
173,5387.0,49.0,-0.05
174,5388.0,28.0,0.04
175,5389.0,47.0,0.01
176,5390.0,3.0,0.07
177,5391.0,78.0,-0.06
178,5392.0,44.0,-0.01
179,5393.0,55.0,-0.05
180,5394.0,60.0,0.03
181,5395.0,59.0,-0.07
182,5406.0,90.0,-0.02
183,5407.0,70.0,0.04
184,5408.0,7.0,0.03
185,5409.0,30.0,-0.01
186,5410.0,20.0,-0.04
187,5411.0,17.0,0.05
188,5412.0,73.0,-0.05
189,5413.0,50.0,-0.04
190,5414.0,13.0,-0.1
191,5415.0,63.0,-0.07
192,5416.0,37.0,-0.02
193,5417.0,15.0,0.06
194,5418.0,23.0,0.03
195,5419.0,44.0,-0.0
196,5430.0,52.0,0.05
197,5431.0,0.0,-0.04
198,5432.0,52.0,-0.09
199,5433.0,62.0,0.03
200,5434.0,13.0,-0.04
201,5435.0,47.0,0.04
202,5436.0,49.0,-0.05
203,5437.0,54.0,-0.02
204,5438.0,37.0,0.12
205,5439.0,44.0,-0.04
206,5440.0,21.0,0.03
207,5441.0,45.0,0.05
208,5442.0,0.0,0.03
209,5443.0,14.0,0.07
210,5454.0,58.0,0.08
211,5455.0,4.0,0.02
212,5456.0,47.0,0.04
213,5457.0,44.0,0.05
214,5458.0,2.0,0.12
215,5459.0,4.0,0.03
216,5460.0,0.0,0.14
217,5461.0,51.0,0.08
218,5462.0,20.0,0.01
219,5463.0,46.0,-0.04
220,5464.0,34.0,-0.07
221,5465.0,0.0,0.02
222,5466.0,55.0,-0.06
223,5467.0,20.0,0.06
224,5478.0,57.0,0.0
225,5479.0,29.0,-0.04
226,5480.0,66.0,-0.05
227,5481.0,42.0,0.02
228,5482.0,43.0,0.14
229,5483.0,4.0,0.09
230,5484.0,70.0,0.08
231,5485.0,75.0,0.13
232,5486.0,10.0,-0.03
233,5487.0,11.0,0.03
234,5488.0,40.0,-0.01
235,5489.0,27.0,-0.06
236,5490.0,68.0,-0.04
237,5491.0,88.0,0.01
238,5502.0,39.0,-0.07
239,5503.0,12.0,-0.09
240,5504.0,27.0,-0.09
241,5505.0,88.0,-0.08
242,5506.0,24.0,-0.06
243,5507.0,37.0,0.14
244,5508.0,74.0,0.13
245,5509.0,74.0,0.04
246,5510.0,21.0,0.07
247,5511.0,64.0,-0.03
248,5512.0,39.0,0.04
249,5513.0,71.0,-0.01
250,5514.0,18.0,-0.02
251,5515.0,18.0,-0.07
252,5526.0,66.0,0.03
253,5527.0,67.0,-0.07
254,5528.0,45.0,0.05
255,5529.0,3.0,-0.1
256,5530.0,0.0,0.03
257,5531.0,56.0,0.1
258,5532.0,61.0,0.08
259,5533.0,19.0,0.03
260,5534.0,39.0,0.11
261,5535.0,60.0,-0.05
262,5536.0,90.0,-0.05
263,5537.0,8.0,-0.04
264,5538.0,90.0,-0.05
265,5539.0,47.0,-0.05
266,5550.0,33.0,0.05
267,5551.0,7.0,-0.03
268,5552.0,13.0,0.02
269,5553.0,37.0,0.03
270,5554.0,51.0,-0.03
271,5555.0,36.0,-0.05
272,5556.0,25.0,0.02
273,5557.0,64.0,0.1
