,Hoy,SD_Angle,SD_Position
0,5838.0,9.0,-0.07
1,5839.0,1.0,0.0
2,5840.0,79.0,-0.01
3,5841.0,48.0,-0.03
4,5842.0,26.0,-0.03
5,5843.0,43.0,-0.01
6,5844.0,26.0,0.08
7,5845.0,0.0,-0.06
8,5846.0,20.0,0.11
9,5847.0,4.0,-0.04
10,5848.0,0.0,0.04
11,5849.0,41.0,0.04
12,5850.0,8.0,-0.02
13,5862.0,72.0,-0.03
14,5863.0,57.0,-0.02
15,5864.0,44.0,0.08
16,5865.0,30.0,0.03
17,5866.0,35.0,-0.04
18,5867.0,55.0,0.09
19,5868.0,39.0,-0.02
20,5869.0,0.0,-0.06
21,5870.0,43.0,0.12
22,5871.0,42.0,0.11
23,5872.0,51.0,-0.05
24,5873.0,44.0,-0.03
25,5874.0,70.0,-0.02
26,5886.0,69.0,0.03
27,5887.0,12.0,-0.09
28,5888.0,49.0,-0.07
29,5889.0,50.0,-0.03
30,5890.0,69.0,0.1
31,5891.0,48.0,0.11
32,5892.0,48.0,-0.02
33,5893.0,32.0,-0.06
34,5894.0,88.0,0.09
35,5895.0,11.0,-0.1
36,5896.0,76.0,-0.04
37,5897.0,54.0,-0.05
38,5898.0,24.0,0.07
39,5910.0,30.0,0.01
40,5911.0,20.0,-0.03
41,5912.0,5.0,0.02
42,5913.0,11.0,0.04
43,5914.0,4.0,0.02
44,5915.0,22.0,0.08
45,5916.0,45.0,-0.05
46,5917.0,43.0,-0.04
47,5918.0,50.0,0.01
48,5919.0,59.0,0.12
49,5920.0,23.0,-0.07
50,5921.0,18.0,0.03
51,5922.0,28.0,0.05
52,5934.0,50.0,-0.09
53,5935.0,1.0,0.05
54,5936.0,36.0,-0.07
55,5937.0,38.0,0.0
56,5938.0,38.0,-0.07
57,5939.0,0.0,-0.04
58,5940.0,51.0,-0.05
59,5941.0,40.0,0.11
60,5942.0,51.0,0.13
61,5943.0,47.0,0.04
62,5944.0,48.0,-0.09
63,5945.0,74.0,-0.03
64,5946.0,14.0,0.03
65,5958.0,61.0,-0.02
66,5959.0,12.0,0.08
67,5960.0,16.0,-0.12
68,5961.0,90.0,-0.05
69,5962.0,46.0,0.13
70,5963.0,74.0,0.09
71,5964.0,33.0,-0.05
72,5965.0,15.0,0.11
73,5966.0,8.0,0.03
74,5967.0,40.0,-0.02
75,5968.0,0.0,-0.03
76,5969.0,14.0,-0.06
77,5970.0,20.0,-0.01
78,5982.0,0.0,-0.0
79,5983.0,27.0,-0.03
80,5984.0,22.0,-0.02
81,5985.0,70.0,-0.04
82,5986.0,45.0,0.01
83,5987.0,35.0,-0.03
84,5988.0,45.0,-0.0
85,5989.0,70.0,0.09
86,5990.0,36.0,-0.04
87,5991.0,62.0,-0.07
88,5992.0,53.0,-0.1
89,5993.0,38.0,0.08
90,5994.0,83.0,0.03
91,6006.0,8.0,-0.03
92,6007.0,66.0,-0.01
93,6008.0,82.0,-0.01
94,6009.0,45.0,-0.06
95,6010.0,43.0,-0.07
96,6011.0,3.0,0.11
97,6012.0,58.0,0.09
98,6013.0,12.0,0.03
99,6014.0,75.0,0.1
100,6015.0,55.0,0.03
101,6016.0,27.0,-0.09
102,6017.0,52.0,0.0
103,6018.0,57.0,-0.01
104,6030.0,23.0,0.04
105,6031.0,53.0,0.06
106,6032.0,89.0,-0.05
107,6033.0,68.0,-0.04
108,6034.0,50.0,-0.06
109,6035.0,21.0,0.01
110,6036.0,26.0,0.09
111,6037.0,11.0,-0.03
112,6038.0,41.0,0.11
113,6039.0,37.0,0.06
114,6040.0,10.0,-0.09
115,6041.0,57.0,0.07
116,6042.0,64.0,-0.08
117,6054.0,0.0,-0.01
118,6055.0,68.0,-0.01
119,6056.0,50.0,0.0
120,6057.0,61.0,0.14
121,6058.0,56.0,0.12
122,6059.0,43.0,-0.05
123,6060.0,52.0,0.12
124,6061.0,52.0,0.11
125,6062.0,16.0,-0.08
126,6063.0,35.0,0.03
127,6064.0,70.0,-0.02
128,6065.0,73.0,0.06
129,6066.0,59.0,0.03
130,6078.0,55.0,0.08
131,6079.0,5.0,0.06
132,6080.0,62.0,-0.06
133,6081.0,70.0,0.11
134,6082.0,48.0,-0.05
135,6083.0,50.0,0.11
136,6084.0,44.0,0.13
137,6085.0,14.0,-0.06
138,6086.0,65.0,-0.08
139,6087.0,0.0,0.03
140,6088.0,21.0,-0.03
141,6089.0,57.0,-0.01
142,6090.0,0.0,0.07
143,6102.0,78.0,0.03
144,6103.0,60.0,-0.07
145,6104.0,76.0,-0.09
146,6105.0,6.0,0.11
147,6106.0,28.0,0.13
148,6107.0,80.0,0.06
149,6108.0,11.0,0.03
150,6109.0,61.0,0.14
151,6110.0,47.0,0.13
152,6111.0,66.0,-0.02
153,6112.0,45.0,-0.04
154,6113.0,30.0,-0.03
155,6114.0,50.0,0.06
156,6126.0,64.0,-0.04
157,6127.0,37.0,-0.06
158,6128.0,47.0,0.01
159,6129.0,46.0,-0.08
160,6130.0,50.0,-0.04
161,6131.0,90.0,0.03
162,6132.0,8.0,0.13
163,6133.0,30.0,-0.06
164,6134.0,48.0,-0.07
165,6135.0,69.0,-0.07
166,6136.0,0.0,-0.08
167,6137.0,89.0,-0.09
168,6138.0,13.0,0.04
169,6150.0,42.0,0.08
170,6151.0,55.0,-0.04
171,6152.0,49.0,-0.01
172,6153.0,3.0,-0.1
173,6154.0,57.0,0.12
174,6155.0,47.0,-0.0
175,6156.0,21.0,-0.04
176,6157.0,52.0,0.14
177,6158.0,59.0,0.13
178,6159.0,51.0,0.05
179,6160.0,67.0,-0.03
180,6161.0,24.0,0.08
181,6162.0,62.0,0.07
182,6174.0,82.0,0.02
183,6175.0,40.0,0.05
184,6176.0,38.0,0.03
185,6177.0,75.0,0.01
186,6178.0,27.0,-0.04
187,6179.0,89.0,0.07
188,6180.0,84.0,0.08
189,6181.0,31.0,-0.04
190,6182.0,67.0,-0.05
191,6183.0,80.0,-0.07
192,6184.0,24.0,-0.06
193,6185.0,78.0,0.09
194,6186.0,53.0,0.06
195,6198.0,21.0,0.04
196,6199.0,69.0,-0.03
197,6200.0,61.0,0.01
198,6201.0,7.0,-0.08
199,6202.0,12.0,-0.08
200,6203.0,77.0,0.14
201,6204.0,31.0,-0.02
202,6205.0,19.0,0.09
203,6206.0,22.0,-0.05
204,6207.0,44.0,-0.11
205,6208.0,40.0,0.02
206,6209.0,8.0,-0.03
207,6210.0,81.0,-0.03
208,6222.0,2.0,0.07
209,6223.0,57.0,-0.07
210,6224.0,51.0,-0.01
211,6225.0,25.0,-0.11
212,6226.0,59.0,0.12
213,6227.0,28.0,-0.0
214,6228.0,90.0,-0.0
215,6229.0,43.0,-0.01
216,6230.0,19.0,-0.03
217,6231.0,21.0,-0.0
218,6232.0,45.0,0.0
219,6233.0,59.0,0.02
220,6234.0,8.0,-0.05
221,6246.0,56.0,0.03
222,6247.0,29.0,0.06
223,6248.0,26.0,-0.05
224,6249.0,27.0,-0.04
225,6250.0,64.0,0.1
226,6251.0,33.0,-0.05
227,6252.0,57.0,0.08
228,6253.0,44.0,-0.04
229,6254.0,72.0,0.12
230,6255.0,80.0,0.12
231,6256.0,41.0,-0.11
232,6257.0,47.0,0.06
233,6258.0,9.0,0.08
234,6271.0,48.0,-0.07
235,6272.0,36.0,-0.06
236,6273.0,77.0,-0.05
237,6274.0,22.0,0.13
238,6275.0,82.0,0.11
239,6276.0,31.0,0.09
240,6277.0,10.0,0.02
241,6278.0,47.0,0.11
242,6279.0,45.0,0.04
243,6280.0,0.0,-0.03
244,6281.0,5.0,0.07
245,6282.0,71.0,-0.07
246,6295.0,22.0,-0.08
247,6296.0,78.0,0.01
248,6297.0,50.0,-0.03
249,6298.0,36.0,-0.06
250,6299.0,78.0,0.14
251,6300.0,8.0,-0.06
252,6301.0,40.0,-0.05
253,6302.0,7.0,-0.04
254,6303.0,56.0,-0.07
255,6304.0,51.0,-0.08
256,6305.0,10.0,-0.04
257,6306.0,28.0,-0.04
258,6319.0,11.0,-0.05
259,6320.0,1.0,0.02
260,6321.0,53.0,-0.05
261,6322.0,9.0,-0.08
262,6323.0,13.0,0.12
263,6324.0,48.0,0.14
264,6325.0,7.0,0.1
265,6326.0,53.0,-0.03
266,6327.0,68.0,0.01
267,6328.0,55.0,0.02
268,6329.0,11.0,-0.05
269,6330.0,68.0,0.08
270,6343.0,60.0,0.04
271,6344.0,0.0,-0.08
272,6345.0,36.0,-0.05
273,6346.0,20.0,0.05
274,6347.0,83.0,0.14
275,6348.0,40.0,0.14
276,6349.0,21.0,0.11
277,6350.0,78.0,-0.05
278,6351.0,7.0,0.06
279,6352.0,42.0,-0.03
280,6353.0,1.0,-0.01
281,6354.0,38.0,0.03
282,6367.0,24.0,-0.11
283,6368.0,76.0,-0.0
284,6369.0,24.0,0.1
285,6370.0,50.0,0.14
286,6371.0,33.0,0.09
287,6372.0,82.0,0.04
288,6373.0,59.0,0.11
289,6374.0,47.0,-0.06
290,6375.0,37.0,-0.09
291,6376.0,1.0,-0.05
292,6377.0,0.0,0.06
293,6378.0,72.0,-0.05
294,6391.0,80.0,0.06
295,6392.0,21.0,-0.0
296,6393.0,71.0,0.11
297,6394.0,88.0,0.01
298,6395.0,24.0,0.12
299,6396.0,63.0,0.14
300,6397.0,19.0,-0.05
301,6398.0,48.0,-0.04
302,6399.0,5.0,0.14
303,6400.0,79.0,-0.03
