,Hoy,SD_Angle,SD_Position
0,8.0,11.0,-0.1
1,9.0,85.0,-0.0
2,10.0,26.0,-0.1
3,11.0,27.0,0.11
4,12.0,17.0,-0.1
5,13.0,59.0,-0.14
6,14.0,36.0,0.07
7,15.0,90.0,0.1
8,16.0,57.0,0.08
9,17.0,0.0,-0.12
10,32.0,10.0,0.11
11,33.0,77.0,0.06
12,34.0,70.0,0.1
13,35.0,13.0,0.07
14,36.0,79.0,0.06
15,37.0,81.0,-0.08
16,38.0,16.0,0.1
17,39.0,41.0,-0.08
18,40.0,10.0,0.13
19,41.0,9.0,0.11
20,56.0,74.0,-0.11
21,57.0,5.0,0.05
22,58.0,41.0,0.11
23,59.0,86.0,-0.09
24,60.0,82.0,-0.06
25,61.0,0.0,0.1
26,62.0,79.0,-0.12
27,63.0,29.0,-0.08
28,64.0,83.0,0.01
29,65.0,12.0,-0.08
30,80.0,18.0,-0.12
31,81.0,43.0,-0.07
32,82.0,71.0,-0.08
33,83.0,13.0,0.04
34,84.0,74.0,0.11
35,85.0,75.0,0.1
36,86.0,90.0,0.14
37,87.0,73.0,-0.0
38,88.0,61.0,-0.12
39,89.0,2.0,0.05
40,104.0,39.0,0.11
41,105.0,22.0,-0.08
42,106.0,52.0,0.12
43,107.0,30.0,-0.07
44,108.0,80.0,-0.07
45,109.0,17.0,-0.07
46,110.0,27.0,-0.11
47,111.0,50.0,0.14
48,112.0,90.0,0.02
49,113.0,0.0,0.06
50,128.0,12.0,0.07
51,129.0,56.0,0.1
52,130.0,86.0,-0.01
53,131.0,33.0,-0.07
54,132.0,89.0,-0.02
55,133.0,48.0,-0.1
56,134.0,41.0,0.13
57,135.0,41.0,0.09
58,136.0,50.0,0.14
59,137.0,2.0,0.06
60,152.0,20.0,-0.1
61,153.0,30.0,0.1
62,154.0,37.0,0.13
63,155.0,88.0,0.1
64,156.0,0.0,0.14
65,157.0,67.0,0.04
66,158.0,63.0,0.12
67,159.0,90.0,-0.03
68,160.0,64.0,0.13
69,161.0,18.0,-0.06
70,176.0,84.0,-0.02
71,177.0,11.0,0.07
72,178.0,79.0,0.1
73,179.0,38.0,-0.14
74,180.0,34.0,0.14
75,181.0,15.0,0.11
76,182.0,58.0,-0.09
77,183.0,17.0,-0.12
78,184.0,49.0,-0.14
79,185.0,0.0,0.12
80,200.0,27.0,-0.1
81,201.0,26.0,0.08
82,202.0,66.0,0.11
83,203.0,8.0,-0.05
84,204.0,8.0,0.1
85,205.0,34.0,0.13
86,206.0,25.0,0.1
87,207.0,51.0,0.08
88,208.0,54.0,0.11
89,209.0,9.0,0.0
90,224.0,81.0,0.09
91,225.0,39.0,-0.07
92,226.0,31.0,-0.08
93,227.0,41.0,0.14
94,228.0,21.0,0.03
95,229.0,79.0,0.06
96,230.0,44.0,-0.11
97,231.0,82.0,-0.14
98,232.0,82.0,-0.09
99,233.0,15.0,-0.12
100,248.0,50.0,0.13
101,249.0,0.0,-0.12
102,250.0,7.0,0.11
103,251.0,89.0,0.05
104,252.0,59.0,0.09
