,Hoy,SD_Angle,SD_Position
0,5094.0,52.0,-0.01
1,5095.0,4.0,-0.02
2,5096.0,43.0,-0.03
3,5097.0,64.0,0.13
4,5098.0,11.0,-0.01
5,5099.0,25.0,0.12
6,5100.0,12.0,-0.12
7,5101.0,15.0,-0.11
8,5102.0,89.0,0.12
9,5103.0,0.0,0.11
10,5104.0,6.0,-0.12
11,5105.0,48.0,0.0
12,5106.0,58.0,-0.07
13,5107.0,13.0,0.02
14,5118.0,6.0,0.07
15,5119.0,37.0,-0.02
16,5120.0,69.0,-0.02
17,5121.0,8.0,-0.06
18,5122.0,19.0,-0.04
19,5123.0,13.0,0.09
20,5124.0,44.0,0.12
21,5125.0,12.0,0.01
22,5126.0,9.0,-0.05
23,5127.0,35.0,-0.14
24,5128.0,25.0,-0.09
25,5129.0,24.0,-0.1
26,5130.0,9.0,0.07
27,5131.0,0.0,-0.14
28,5142.0,36.0,0.05
29,5143.0,55.0,0.02
30,5144.0,43.0,0.03
31,5145.0,54.0,-0.03
32,5146.0,63.0,0.14
33,5147.0,78.0,0.1
34,5148.0,90.0,0.11
35,5149.0,26.0,-0.04
36,5150.0,45.0,-0.02
37,5151.0,49.0,-0.05
38,5152.0,52.0,-0.1
39,5153.0,50.0,0.04
40,5154.0,88.0,0.11
41,5155.0,24.0,0.1
42,5166.0,11.0,0.05
43,5167.0,75.0,0.06
44,5168.0,7.0,-0.07
45,5169.0,23.0,-0.0
46,5170.0,20.0,-0.02
47,5171.0,43.0,-0.1
48,5172.0,79.0,0.1
49,5173.0,63.0,0.14
50,5174.0,34.0,-0.03
51,5175.0,44.0,0.12
52,5176.0,71.0,-0.03
53,5177.0,63.0,0.02
54,5178.0,74.0,-0.02
55,5179.0,2.0,0.01
56,5190.0,90.0,0.05
57,5191.0,10.0,-0.02
58,5192.0,45.0,0.14
59,5193.0,8.0,-0.03
60,5194.0,23.0,0.12
61,5195.0,38.0,0.11
62,5196.0,30.0,-0.09
63,5197.0,20.0,-0.02
64,5198.0,59.0,-0.04
65,5199.0,8.0,-0.11
66,5200.0,13.0,-0.09
67,5201.0,43.0,-0.12
68,5202.0,8.0,0.09
69,5203.0,0.0,-0.03
70,5214.0,39.0,-0.08
71,5215.0,7.0,0.14
72,5216.0,35.0,-0.07
73,5217.0,44.0,-0.03
74,5218.0,67.0,0.12
75,5219.0,82.0,0.08
76,5220.0,83.0,-0.11
77,5221.0,25.0,-0.05
78,5222.0,70.0,-0.05
79,5223.0,41.0,0.13
80,5224.0,58.0,-0.05
81,5225.0,57.0,-0.06
82,5226.0,17.0,0.0
83,5227.0,8.0,-0.09
84,5238.0,20.0,0.04
85,5239.0,47.0,-0.07
86,5240.0,2.0,-0.0
87,5241.0,11.0,-0.13
88,5242.0,56.0,-0.04
89,5243.0,70.0,0.14
90,5244.0,78.0,0.09
91,5245.0,62.0,-0.12
92,5246.0,57.0,-0.1
93,5247.0,14.0,0.02
94,5248.0,13.0,-0.07
95,5249.0,59.0,-0.06
96,5250.0,54.0,-0.01
97,5251.0,13.0,-0.02
98,5262.0,41.0,0.05
99,5263.0,45.0,-0.08
100,5264.0,49.0,-0.06
101,5265.0,13.0,-0.03
102,5266.0,67.0,0.11
103,5267.0,11.0,0.12
104,5268.0,57.0,-0.04
105,5269.0,43.0,-0.14
106,5270.0,7.0,-0.11
107,5271.0,33.0,-0.02
108,5272.0,37.0,0.02
109,5273.0,15.0,0.06
110,5274.0,0.0,-0.04
111,5275.0,0.0,0.14
112,5286.0,19.0,-0.03
113,5287.0,38.0,0.04
114,5288.0,9.0,-0.14
115,5289.0,50.0,-0.03
116,5290.0,9.0,0.02
117,5291.0,66.0,0.1
118,5292.0,7.0,-0.02
119,5293.0,0.0,-0.11
120,5294.0,2.0,-0.06
121,5295.0,40.0,-0.06
122,5296.0,30.0,-0.02
123,5297.0,37.0,-0.06
124,5298.0,56.0,0.02
125,5299.0,3.0,-0.08
126,5310.0,0.0,0.02
127,5311.0,7.0,-0.09
128,5312.0,52.0,-0.07
129,5313.0,30.0,0.02
130,5314.0,54.0,0.14
131,5315.0,20.0,-0.06
132,5316.0,47.0,0.08
133,5317.0,68.0,0.09
134,5318.0,62.0,0.09
135,5319.0,27.0,-0.14
136,5320.0,8.0,-0.04
137,5321.0,25.0,0.06
138,5322.0,19.0,-0.02
139,5323.0,0.0,-0.02
140,5334.0,88.0,0.04
141,5335.0,51.0,-0.1
142,5336.0,1.0,0.02
143,5337.0,66.0,-0.06
144,5338.0,54.0,-0.05
145,5339.0,84.0,0.13
146,5340.0,0.0,-0.04
147,5341.0,73.0,0.11
148,5342.0,69.0,0.1
149,5343.0,44.0,0.12
150,5344.0,79.0,-0.03
151,5345.0,72.0,0.03
152,5346.0,4.0,-0.02
153,5347.0,0.0,0.07
154,5358.0,28.0,0.06
155,5359.0,34.0,-0.08
156,5360.0,69.0,-0.09
157,5361.0,10.0,-0.11
158,5362.0,28.0,0.12
159,5363.0,42.0,-0.01
160,5364.0,78.0,0.12
161,5365.0,73.0,-0.07
162,5366.0,72.0,-0.14
163,5367.0,5.0,-0.14
164,5368.0,71.0,-0.06
165,5369.0,38.0,0.06
166,5370.0,44.0,-0.04
167,5371.0,3.0,-0.04
168,5382.0,0.0,0.02
169,5383.0,53.0,-0.01
170,5384.0,48.0,0.04
171,5385.0,55.0,-0.06
172,5386.0,33.0,-0.04
173,5387.0,1.0,-0.07
174,5388.0,80.0,-0.06
175,5389.0,19.0,-0.1
176,5390.0,90.0,0.11
177,5391.0,76.0,-0.14
178,5392.0,54.0,-0.09
179,5393.0,7.0,0.07
180,5394.0,43.0,-0.05
181,5395.0,1.0,-0.02
182,5406.0,18.0,-0.03
183,5407.0,32.0,0.0
184,5408.0,53.0,-0.09
185,5409.0,13.0,0.14
186,5410.0,66.0,-0.1
187,5411.0,6.0,-0.13
188,5412.0,5.0,-0.05
189,5413.0,53.0,-0.07
190,5414.0,38.0,-0.05
191,5415.0,12.0,0.14
192,5416.0,59.0,0.03
193,5417.0,33.0,-0.1
194,5418.0,43.0,-0.05
195,5419.0,0.0,-0.08
196,5430.0,54.0,0.01
197,5431.0,32.0,0.01
198,5432.0,61.0,0.0
199,5433.0,4.0,-0.05
200,5434.0,7.0,-0.06
201,5435.0,12.0,0.01
202,5436.0,0.0,0.02
203,5437.0,83.0,0.12
204,5438.0,2.0,-0.11
205,5439.0,61.0,-0.06
206,5440.0,43.0,-0.13
207,5441.0,40.0,-0.03
208,5442.0,25.0,-0.02
209,5443.0,4.0,-0.11
210,5454.0,52.0,0.04
211,5455.0,63.0,0.05
212,5456.0,69.0,0.02
213,5457.0,22.0,-0.14
214,5458.0,15.0,0.13
215,5459.0,0.0,-0.0
216,5460.0,51.0,0.12
217,5461.0,50.0,0.08
218,5462.0,7.0,0.09
219,5463.0,56.0,-0.04
220,5464.0,51.0,-0.02
221,5465.0,81.0,0.01
222,5466.0,0.0,0.12
223,5467.0,0.0,-0.08
224,5478.0,13.0,-0.02
225,5479.0,5.0,0.0
226,5480.0,73.0,0.14
227,5481.0,29.0,-0.07
228,5482.0,63.0,-0.07
229,5483.0,62.0,0.12
230,5484.0,87.0,-0.11
231,5485.0,34.0,-0.02
232,5486.0,42.0,-0.06
233,5487.0,3.0,-0.11
234,5488.0,50.0,0.01
235,5489.0,34.0,-0.08
