Hoy,Gen,Ind,Sd_A,Sd_L,SDGP,SUDI,Vis,Pvg,Val_SDGP,Val_SUDI,Val_Vis,Val_Pvg,shade_percent,shade_rad,Optimizer
752.0,0,0,31,0.1,0.875,0.625,0.609,0.101,0.844,0.625,0.609,0.004,0.627,17.868,-2.081
752.0,0,1,58,0.03,1.0,0.625,0.261,0.24,1.0,0.625,0.261,0.009,0.114,17.955,-1.895
752.0,0,2,47,0.11,0.875,0.625,0.696,0.086,0.844,0.625,0.696,0.003,0.682,17.918,-2.168
752.0,0,3,33,-0.13,0.864,0.625,0.826,0.043,0.83,0.625,0.826,0.002,0.843,17.875,-2.282
752.0,0,4,7,-0.04,1.0,0.625,0.261,0.206,1.0,0.625,0.261,0.008,0.235,17.793,-1.894
752.0,0,5,46,-0.09,0.875,0.625,0.565,0.124,0.844,0.625,0.565,0.005,0.541,17.916,-2.039
752.0,0,6,36,-0.09,0.875,0.625,0.565,0.12,0.844,0.625,0.565,0.005,0.556,17.883,-2.039
752.0,0,7,50,0.12,0.875,0.625,0.739,0.067,0.844,0.625,0.739,0.003,0.753,17.928,-2.21
752.0,0,8,30,0.07,1.0,0.625,0.391,0.153,1.0,0.625,0.391,0.006,0.433,17.864,-2.022
752.0,0,9,45,0.07,1.0,0.625,0.391,0.159,1.0,0.625,0.391,0.006,0.412,17.912,-2.022
752.0,1,0,66,0.14,0.875,0.625,0.913,0.026,0.844,0.625,0.913,0.001,0.903,17.978,-2.383
752.0,1,1,90,0.14,0.857,0.625,0.913,0.041,0.821,0.625,0.913,0.002,0.848,18.053,-2.36
752.0,1,2,46,0.05,1.0,0.625,0.261,0.193,1.0,0.625,0.261,0.007,0.288,17.915,-1.893
752.0,1,3,48,-0.04,1.0,0.625,0.261,0.209,1.0,0.625,0.261,0.008,0.227,17.92,-1.894
752.0,1,4,36,-0.08,0.875,0.625,0.522,0.138,0.844,0.625,0.522,0.005,0.49,17.886,-1.996
752.0,1,5,14,-0.14,0.862,0.625,0.913,0.022,0.827,0.625,0.913,0.001,0.919,17.813,-2.366
752.0,1,6,65,-0.03,1.0,0.625,0.261,0.256,1.0,0.625,0.261,0.01,0.056,17.977,-1.896
752.0,1,7,32,-0.02,1.0,0.625,0.13,0.227,1.0,0.625,0.13,0.009,0.16,17.871,-1.764
752.0,1,8,55,0.14,0.875,0.625,0.913,0.024,0.844,0.625,0.913,0.001,0.912,17.944,-2.383
752.0,1,9,58,0.14,0.875,0.625,0.913,0.024,0.844,0.625,0.913,0.001,0.91,17.954,-2.383
752.0,2,0,36,0.08,1.0,0.625,0.478,0.137,1.0,0.625,0.478,0.005,0.491,17.883,-2.109
752.0,2,1,81,0.14,0.873,0.625,0.913,0.033,0.841,0.625,0.913,0.001,0.878,18.025,-2.38
752.0,2,2,90,0.14,0.857,0.625,0.913,0.041,0.821,0.625,0.913,0.002,0.848,18.053,-2.36
752.0,2,3,44,0.01,1.0,0.625,0.087,0.247,1.0,0.625,0.087,0.009,0.086,17.91,-1.721
752.0,2,4,19,-0.14,0.868,0.625,0.913,0.022,0.835,0.625,0.913,0.001,0.92,17.83,-2.374
752.0,2,5,0,-0.08,0.875,0.625,0.522,0.147,0.844,0.625,0.522,0.006,0.454,17.769,-1.996
752.0,2,6,78,-0.0,1.0,0.625,0.435,0.272,1.0,0.625,0.435,0.01,0.0,18.018,-2.07
752.0,2,7,29,0.14,0.875,0.625,0.87,0.021,0.844,0.625,0.87,0.001,0.92,17.863,-2.339
752.0,2,8,70,0.14,0.875,0.625,0.913,0.028,0.844,0.625,0.913,0.001,0.898,17.99,-2.383
752.0,2,9,42,0.14,0.875,0.625,0.87,0.022,0.844,0.625,0.87,0.001,0.918,17.904,-2.339
752.0,3,0,84,0.14,0.873,0.625,0.913,0.035,0.841,0.625,0.913,0.001,0.87,18.034,-2.381
752.0,3,1,75,0.12,0.874,0.625,0.783,0.087,0.842,0.625,0.783,0.003,0.681,18.008,-2.253
752.0,3,2,69,0.14,0.875,0.625,0.913,0.027,0.844,0.625,0.913,0.001,0.899,17.989,-2.383
752.0,3,3,51,-0.08,0.875,0.625,0.522,0.146,0.844,0.625,0.522,0.006,0.461,17.93,-1.996
752.0,3,4,56,-0.14,0.862,0.625,0.913,0.024,0.828,0.625,0.913,0.001,0.912,17.946,-2.367
752.0,3,5,3,-0.09,0.874,0.625,0.565,0.125,0.842,0.625,0.565,0.005,0.534,17.78,-2.037
752.0,3,6,58,0.14,0.875,0.625,0.913,0.024,0.844,0.625,0.913,0.001,0.91,17.954,-2.383
752.0,3,7,17,0.14,0.875,0.625,0.87,0.022,0.844,0.625,0.87,0.001,0.92,17.825,-2.339
752.0,3,8,36,0.13,0.875,0.625,0.826,0.043,0.844,0.625,0.826,0.002,0.842,17.883,-2.296
752.0,3,9,66,0.06,1.0,0.625,0.478,0.205,1.0,0.625,0.478,0.008,0.244,17.978,-2.111
752.0,4,0,90,0.14,0.857,0.625,0.913,0.041,0.821,0.625,0.913,0.002,0.848,18.053,-2.36
752.0,4,1,90,0.14,0.857,0.625,0.913,0.041,0.821,0.625,0.913,0.002,0.848,18.053,-2.36
752.0,4,2,60,0.14,0.875,0.625,0.913,0.025,0.844,0.625,0.913,0.001,0.909,17.959,-2.383
752.0,4,3,69,-0.02,1.0,0.625,0.261,0.272,1.0,0.625,0.261,0.01,0.0,17.987,-1.896
752.0,4,4,64,0.0,1.0,0.625,0.304,0.272,1.0,0.625,0.304,0.01,0.0,17.972,-1.94
752.0,4,5,48,0.0,1.0,0.625,0.174,0.264,1.0,0.625,0.174,0.01,0.027,17.921,-1.809
752.0,4,6,64,0.12,0.874,0.625,0.783,0.075,0.842,0.625,0.783,0.003,0.723,17.974,-2.252
752.0,4,7,10,0.13,0.874,0.625,0.826,0.043,0.843,0.625,0.826,0.002,0.839,17.802,-2.295
752.0,4,8,63,0.14,0.875,0.625,0.913,0.026,0.844,0.625,0.913,0.001,0.905,17.971,-2.383
752.0,4,9,79,0.14,0.873,0.625,0.913,0.032,0.841,0.625,0.913,0.001,0.882,18.019,-2.38
752.0,5,0,90,0.06,0.998,0.625,0.783,0.273,0.997,0.625,0.783,0.01,0.0,18.053,-2.415
752.0,5,1,58,0.02,0.992,0.625,0.217,0.254,0.99,0.625,0.217,0.01,0.063,17.953,-1.842
752.0,5,2,90,0.06,0.998,0.625,0.783,0.273,0.997,0.625,0.783,0.01,0.0,18.053,-2.415
752.0,5,3,27,0.01,1.0,0.625,0.0,0.238,1.0,0.625,0.0,0.009,0.116,17.856,-1.634
752.0,5,4,64,0.0,1.0,0.625,0.304,0.272,1.0,0.625,0.304,0.01,0.0,17.972,-1.94
752.0,5,5,59,-0.0,1.0,0.625,0.261,0.271,1.0,0.625,0.261,0.01,0.0,17.955,-1.896
752.0,5,6,77,0.05,1.0,0.625,0.783,0.259,1.0,0.625,0.783,0.01,0.05,18.012,-2.417
752.0,5,7,50,0.07,1.0,0.625,0.391,0.164,1.0,0.625,0.391,0.006,0.396,17.929,-2.023
752.0,5,8,90,0.0,0.979,0.625,0.652,0.273,0.974,0.625,0.652,0.01,0.0,18.053,-2.261
752.0,5,9,38,0.05,1.0,0.625,0.261,0.187,1.0,0.625,0.261,0.007,0.307,17.892,-1.893
752.0,6,0,90,0.01,0.987,0.625,0.565,0.273,0.984,0.625,0.565,0.01,0.0,18.053,-2.184
752.0,6,1,90,0.14,0.857,0.625,0.913,0.041,0.821,0.625,0.913,0.002,0.848,18.053,-2.36
752.0,6,2,90,0.02,0.999,0.625,0.652,0.273,0.999,0.625,0.652,0.01,0.0,18.053,-2.286
752.0,6,3,78,0.01,1.0,0.625,0.391,0.272,1.0,0.625,0.391,0.01,0.0,18.017,-2.027
752.0,6,4,64,-0.08,0.873,0.625,0.522,0.162,0.842,0.625,0.522,0.006,0.402,17.972,-1.995
752.0,6,5,59,0.0,1.0,0.625,0.261,0.271,1.0,0.625,0.261,0.01,0.0,17.955,-1.896
752.0,6,6,77,0.09,0.996,0.625,0.696,0.17,0.995,0.625,0.696,0.006,0.374,18.014,-2.322
752.0,6,7,62,0.13,0.875,0.625,0.87,0.05,0.844,0.625,0.87,0.002,0.816,17.967,-2.34
752.0,6,8,39,0.14,0.875,0.625,0.87,0.022,0.844,0.625,0.87,0.001,0.919,17.893,-2.339
752.0,6,9,90,0.0,0.979,0.625,0.652,0.273,0.974,0.625,0.652,0.01,0.0,18.053,-2.261
752.0,7,0,64,0.04,1.0,0.625,0.304,0.235,1.0,0.625,0.304,0.009,0.133,17.971,-1.938
752.0,7,1,90,0.14,0.857,0.625,0.913,0.041,0.821,0.625,0.913,0.002,0.848,18.053,-2.36
752.0,7,2,90,0.08,1.0,0.625,0.739,0.257,1.0,0.625,0.739,0.01,0.057,18.053,-2.374
752.0,7,3,41,-0.14,0.839,0.625,0.913,0.022,0.799,0.625,0.913,0.001,0.919,17.899,-2.338
752.0,7,4,64,-0.14,0.866,0.625,0.913,0.026,0.832,0.625,0.913,0.001,0.905,17.972,-2.371
752.0,7,5,59,0.0,1.0,0.625,0.261,0.271,1.0,0.625,0.261,0.01,0.0,17.955,-1.896
752.0,7,6,73,0.08,1.0,0.625,0.565,0.183,1.0,0.625,0.565,0.007,0.328,18.002,-2.197
752.0,7,7,65,0.09,1.0,0.625,0.609,0.144,1.0,0.625,0.609,0.005,0.471,17.976,-2.239
752.0,7,8,90,0.1,0.875,0.625,1.0,0.191,0.844,0.625,1.0,0.007,0.298,18.053,-2.476
752.0,7,9,60,0.07,1.0,0.625,0.435,0.176,1.0,0.625,0.435,0.007,0.351,17.961,-2.066
752.0,8,0,75,0.03,1.0,0.625,0.391,0.272,1.0,0.625,0.391,0.01,0.0,18.008,-2.027
752.0,8,1,63,0.04,1.0,0.625,0.304,0.235,1.0,0.625,0.304,0.009,0.136,17.97,-1.938
752.0,8,2,82,0.11,0.875,0.625,0.826,0.129,0.844,0.625,0.826,0.005,0.528,18.029,-2.3
752.0,8,3,85,0.0,0.979,0.625,0.565,0.273,0.974,0.625,0.565,0.01,0.0,18.039,-2.174
752.0,8,4,61,-0.02,1.0,0.625,0.261,0.261,1.0,0.625,0.261,0.01,0.039,17.963,-1.896
752.0,8,5,0,0.0,1.0,0.625,0.0,0.268,1.0,0.625,0.0,0.01,0.0,17.769,-1.635
752.0,8,6,90,0.08,1.0,0.625,0.739,0.257,1.0,0.625,0.739,0.01,0.057,18.053,-2.374
752.0,8,7,90,0.1,0.875,0.625,1.0,0.191,0.844,0.625,1.0,0.007,0.298,18.053,-2.476
752.0,8,8,74,0.01,1.0,0.625,0.304,0.272,1.0,0.625,0.304,0.01,0.0,18.004,-1.94
752.0,8,9,69,0.08,1.0,0.625,0.565,0.172,1.0,0.625,0.565,0.007,0.367,17.988,-2.197
752.0,9,0,61,0.03,1.0,0.625,0.261,0.246,1.0,0.625,0.261,0.009,0.093,17.964,-1.895
752.0,9,1,90,0.14,0.857,0.625,0.913,0.041,0.821,0.625,0.913,0.002,0.848,18.053,-2.36
752.0,9,2,69,0.1,0.875,0.625,0.652,0.128,0.844,0.625,0.652,0.005,0.528,17.99,-2.126
752.0,9,3,43,0.0,1.0,0.625,0.174,0.258,1.0,0.625,0.174,0.01,0.045,17.906,-1.809
752.0,9,4,18,-0.14,0.868,0.625,0.913,0.022,0.835,0.625,0.913,0.001,0.92,17.828,-2.374
752.0,9,5,42,0.0,1.0,0.625,0.174,0.257,1.0,0.625,0.174,0.01,0.048,17.903,-1.809
752.0,9,6,79,0.14,0.873,0.625,0.913,0.032,0.841,0.625,0.913,0.001,0.881,18.021,-2.38
752.0,9,7,84,0.02,0.999,0.625,0.478,0.272,0.999,0.625,0.478,0.01,0.0,18.036,-2.112
752.0,9,8,82,0.02,1.0,0.625,0.478,0.272,1.0,0.625,0.478,0.01,0.0,18.03,-2.114
752.0,9,9,66,0.14,0.875,0.625,0.913,0.027,0.844,0.625,0.913,0.001,0.902,17.98,-2.383
752.0,10,0,75,0.14,0.873,0.625,0.913,0.03,0.841,0.625,0.913,0.001,0.889,18.008,-2.38
752.0,10,1,90,0.03,0.999,0.625,0.652,0.273,0.999,0.625,0.652,0.01,0.0,18.053,-2.286
752.0,10,2,90,0.11,0.874,0.625,0.913,0.156,0.843,0.625,0.913,0.006,0.427,18.053,-2.387
752.0,10,3,44,-0.14,0.839,0.625,0.913,0.022,0.799,0.625,0.913,0.001,0.917,17.909,-2.338
752.0,10,4,47,-0.02,1.0,0.625,0.174,0.238,1.0,0.625,0.174,0.009,0.121,17.92,-1.808
752.0,10,5,59,0.0,1.0,0.625,0.261,0.271,1.0,0.625,0.261,0.01,0.0,17.955,-1.896
752.0,10,6,88,0.14,0.857,0.625,0.913,0.04,0.821,0.625,0.913,0.002,0.853,18.049,-2.36
