Hoy,Gen,Ind,Sd_A,Sd_L,SDGP,SUDI,Vis,Pvg,Val_SDGP,Val_SUDI,Val_Vis,Val_Pvg,shade_percent,shade_rad,Optimizer
8.0,0,0,72,-0.01,0.989,0.192,0.261,4.233,0.986,0.192,0.261,0.014,0.0,290.847,-1.453
8.0,0,1,27,-0.04,1.0,0.192,0.261,3.225,1.0,0.192,0.261,0.011,0.236,289.916,-1.463
8.0,0,2,84,0.02,0.983,0.192,0.478,4.236,0.979,0.192,0.478,0.014,0.0,291.089,-1.663
8.0,0,3,20,-0.05,0.992,0.192,0.304,2.974,0.99,0.192,0.304,0.01,0.295,289.78,-1.496
8.0,0,4,80,-0.13,0.733,0.192,0.87,1.207,0.666,0.192,0.87,0.004,0.715,291.013,-1.732
8.0,0,5,64,0.07,0.938,0.192,0.478,3.152,0.922,0.192,0.478,0.01,0.255,290.682,-1.602
8.0,0,6,89,-0.02,0.911,0.192,0.522,4.238,0.889,0.192,0.522,0.014,0.0,291.189,-1.616
8.0,0,7,52,0.04,1.0,0.192,0.304,3.602,1.0,0.192,0.304,0.012,0.148,290.434,-1.508
8.0,0,8,82,-0.07,0.812,0.192,0.478,4.235,0.766,0.192,0.478,0.014,0.0,291.039,-1.45
8.0,0,9,33,0.04,1.0,0.192,0.217,3.272,1.0,0.192,0.217,0.011,0.225,290.053,-1.42
8.0,1,0,89,0.09,0.902,0.192,0.87,4.237,0.877,0.192,0.87,0.014,0.0,291.174,-1.952
8.0,1,1,65,0.03,0.997,0.192,0.304,4.23,0.996,0.192,0.304,0.014,0.0,290.699,-1.506
8.0,1,2,85,-0.01,0.825,0.192,0.478,4.236,0.782,0.192,0.478,0.014,0.0,291.109,-1.466
8.0,1,3,65,-0.1,0.745,0.192,0.652,2.124,0.681,0.192,0.652,0.007,0.498,290.707,-1.532
8.0,1,4,53,-0.03,1.0,0.192,0.217,3.886,1.0,0.192,0.217,0.013,0.081,290.458,-1.422
8.0,1,5,54,0.02,1.0,0.192,0.217,4.163,1.0,0.192,0.217,0.014,0.015,290.482,-1.423
8.0,1,6,65,-0.12,0.723,0.192,0.783,1.326,0.654,0.192,0.783,0.004,0.687,290.711,-1.633
8.0,1,7,37,0.02,1.0,0.192,0.13,3.767,1.0,0.192,0.13,0.013,0.108,290.139,-1.335
8.0,1,8,90,0.07,0.935,0.192,0.783,4.238,0.919,0.192,0.783,0.014,0.0,291.193,-1.907
8.0,1,9,78,0.07,0.938,0.192,0.609,4.046,0.922,0.192,0.609,0.013,0.045,290.968,-1.736
8.0,2,0,71,0.11,0.746,0.192,0.739,1.898,0.682,0.192,0.739,0.006,0.552,290.825,-1.62
8.0,2,1,81,0.07,0.938,0.192,0.652,4.235,0.922,0.192,0.652,0.014,0.0,291.022,-1.78
8.0,2,2,90,0.13,0.719,0.192,0.957,1.628,0.649,0.192,0.957,0.005,0.616,291.193,-1.803
8.0,2,3,90,-0.1,0.743,0.192,0.696,3.826,0.679,0.192,0.696,0.013,0.097,291.193,-1.579
8.0,2,4,90,0.01,0.826,0.192,0.565,4.238,0.782,0.192,0.565,0.014,0.0,291.193,-1.553
8.0,2,5,79,0.0,0.937,0.192,0.478,4.235,0.921,0.192,0.478,0.014,0.0,290.981,-1.605
8.0,2,6,85,-0.14,0.701,0.192,0.913,0.711,0.626,0.192,0.913,0.002,0.832,291.111,-1.733
8.0,2,7,72,0.05,0.997,0.192,0.739,4.232,0.996,0.192,0.739,0.014,0.0,290.838,-1.941
8.0,2,8,80,0.03,0.997,0.192,0.478,4.235,0.996,0.192,0.478,0.014,0.0,291.001,-1.68
8.0,2,9,90,0.04,0.918,0.192,0.652,4.238,0.898,0.192,0.652,0.014,0.0,291.193,-1.756
8.0,3,0,90,0.03,0.751,0.192,0.652,4.238,0.689,0.192,0.652,0.014,0.0,291.193,-1.547
8.0,3,1,69,-0.01,0.989,0.192,0.261,4.232,0.986,0.192,0.261,0.014,0.0,290.776,-1.453
8.0,3,2,90,0.08,0.92,0.192,0.739,4.238,0.9,0.192,0.739,0.014,0.0,291.193,-1.845
8.0,3,3,58,-0.06,0.817,0.192,0.391,3.261,0.771,0.192,0.391,0.011,0.229,290.57,-1.365
8.0,3,4,72,-0.01,0.989,0.192,0.261,4.233,0.986,0.192,0.261,0.014,0.0,290.854,-1.453
8.0,3,5,45,0.05,0.992,0.192,0.261,3.2,0.99,0.192,0.261,0.011,0.243,290.305,-1.453
8.0,3,6,90,-0.0,0.891,0.192,0.652,4.238,0.864,0.192,0.652,0.014,0.0,291.193,-1.722
8.0,3,7,90,0.02,0.983,0.192,0.652,4.238,0.979,0.192,0.652,0.014,0.0,291.193,-1.837
8.0,3,8,90,0.0,0.891,0.192,0.652,4.238,0.864,0.192,0.652,0.014,0.0,291.193,-1.722
8.0,3,9,90,0.14,0.709,0.192,0.913,0.83,0.637,0.192,0.913,0.003,0.804,291.193,-1.744
8.0,4,0,90,0.1,0.901,0.192,1.0,3.826,0.877,0.192,1.0,0.013,0.097,291.193,-2.081
8.0,4,1,78,0.05,0.993,0.192,0.783,4.234,0.991,0.192,0.783,0.014,0.0,290.963,-1.98
8.0,4,2,65,0.11,0.746,0.192,0.739,1.741,0.682,0.192,0.739,0.006,0.589,290.715,-1.619
8.0,4,3,90,-0.02,0.911,0.192,0.565,4.238,0.889,0.192,0.565,0.014,0.0,291.193,-1.66
8.0,4,4,88,0.01,0.826,0.192,0.522,4.237,0.782,0.192,0.522,0.014,0.0,291.161,-1.509
8.0,4,5,67,0.04,0.997,0.192,0.304,4.231,0.996,0.192,0.304,0.014,0.0,290.754,-1.506
8.0,4,6,90,-0.14,0.701,0.192,0.957,0.83,0.626,0.192,0.957,0.003,0.804,291.193,-1.777
8.0,4,7,87,0.06,0.998,0.192,0.739,4.237,0.997,0.192,0.739,0.014,0.0,291.135,-1.942
8.0,4,8,66,0.0,0.988,0.192,0.304,4.231,0.985,0.192,0.304,0.014,0.0,290.716,-1.495
8.0,4,9,66,0.1,0.919,0.192,0.652,2.156,0.899,0.192,0.652,0.007,0.491,290.728,-1.75
8.0,5,0,90,0.1,0.901,0.192,1.0,3.826,0.877,0.192,1.0,0.013,0.097,291.193,-2.081
8.0,5,1,90,0.12,0.713,0.192,0.913,2.393,0.641,0.192,0.913,0.008,0.435,291.193,-1.754
8.0,5,2,90,0.03,0.751,0.192,0.652,4.238,0.689,0.192,0.652,0.014,0.0,291.193,-1.547
8.0,5,3,90,0.09,0.902,0.192,0.87,4.238,0.877,0.192,0.87,0.014,0.0,291.193,-1.952
8.0,5,4,67,0.01,1.0,0.192,0.304,4.231,1.0,0.192,0.304,0.014,0.0,290.752,-1.51
8.0,5,5,90,0.06,0.998,0.192,0.783,4.238,0.997,0.192,0.783,0.014,0.0,291.193,-1.986
8.0,5,6,77,0.0,0.937,0.192,0.435,4.234,0.921,0.192,0.435,0.014,0.0,290.954,-1.562
8.0,5,7,90,0.08,0.92,0.192,0.739,4.238,0.9,0.192,0.739,0.014,0.0,291.193,-1.845
8.0,5,8,63,0.1,0.919,0.192,0.652,2.065,0.899,0.192,0.652,0.007,0.512,290.664,-1.75
8.0,5,9,90,-0.02,0.911,0.192,0.565,4.238,0.889,0.192,0.565,0.014,0.0,291.193,-1.66
8.0,6,0,54,0.06,1.0,0.192,0.391,3.12,1.0,0.192,0.391,0.01,0.262,290.476,-1.593
8.0,6,1,90,0.03,0.751,0.192,0.652,4.238,0.689,0.192,0.652,0.014,0.0,291.193,-1.547
8.0,6,2,88,0.01,0.826,0.192,0.522,4.237,0.782,0.192,0.522,0.014,0.0,291.159,-1.509
8.0,6,3,80,0.08,0.938,0.192,0.696,3.765,0.922,0.192,0.696,0.013,0.111,291.002,-1.822
8.0,6,4,75,-0.1,0.746,0.192,0.652,2.489,0.683,0.192,0.652,0.008,0.412,290.897,-1.535
8.0,6,5,82,0.1,0.938,0.192,0.87,3.007,0.922,0.192,0.87,0.01,0.29,291.054,-1.993
8.0,6,6,90,-0.11,0.74,0.192,0.739,3.126,0.675,0.192,0.739,0.01,0.262,291.193,-1.616
8.0,6,7,63,0.06,0.997,0.192,0.435,3.446,0.996,0.192,0.435,0.011,0.185,290.668,-1.634
8.0,6,8,90,0.14,0.709,0.192,0.913,0.83,0.637,0.192,0.913,0.003,0.804,291.193,-1.744
8.0,6,9,90,0.12,0.713,0.192,0.913,2.393,0.641,0.192,0.913,0.008,0.435,291.193,-1.754
8.0,7,0,65,0.05,0.997,0.192,0.609,3.865,0.996,0.192,0.609,0.013,0.086,290.715,-1.81
8.0,7,1,90,0.1,0.901,0.192,1.0,3.826,0.877,0.192,1.0,0.013,0.097,291.193,-2.081
8.0,7,2,69,0.14,0.692,0.192,0.913,0.486,0.615,0.192,0.913,0.002,0.885,290.788,-1.721
8.0,7,3,89,0.14,0.709,0.192,0.913,0.805,0.637,0.192,0.913,0.003,0.81,291.178,-1.744
8.0,7,4,71,0.01,1.0,0.192,0.304,4.232,1.0,0.192,0.304,0.014,0.0,290.821,-1.51
8.0,7,5,90,0.1,0.901,0.192,1.0,3.826,0.877,0.192,1.0,0.013,0.097,291.193,-2.081
8.0,7,6,90,0.0,0.891,0.192,0.652,4.238,0.864,0.192,0.652,0.014,0.0,291.193,-1.722
8.0,7,7,90,-0.02,0.911,0.192,0.565,4.238,0.889,0.192,0.565,0.014,0.0,291.193,-1.66
8.0,7,8,90,0.03,0.751,0.192,0.652,4.238,0.689,0.192,0.652,0.014,0.0,291.193,-1.547
8.0,7,9,67,0.09,0.936,0.192,0.609,2.571,0.92,0.192,0.609,0.009,0.392,290.746,-1.729
8.0,8,0,90,0.08,0.92,0.192,0.739,4.238,0.9,0.192,0.739,0.014,0.0,291.193,-1.845
8.0,8,1,90,0.1,0.901,0.192,1.0,3.826,0.877,0.192,1.0,0.013,0.097,291.193,-2.081
8.0,8,2,90,0.14,0.709,0.192,0.913,0.83,0.637,0.192,0.913,0.003,0.804,291.193,-1.744
8.0,8,3,72,0.07,0.938,0.192,0.522,3.541,0.922,0.192,0.522,0.012,0.163,290.836,-1.647
8.0,8,4,83,-0.14,0.701,0.192,0.913,0.652,0.626,0.192,0.913,0.002,0.846,291.056,-1.733
8.0,8,5,74,0.14,0.714,0.192,0.913,0.535,0.643,0.192,0.913,0.002,0.874,290.894,-1.75
8.0,8,6,86,0.0,0.891,0.192,0.565,4.237,0.864,0.192,0.565,0.014,0.0,291.124,-1.635
8.0,8,7,81,0.1,0.938,0.192,0.826,2.885,0.922,0.192,0.826,0.01,0.319,291.024,-1.949
8.0,8,8,86,0.14,0.709,0.192,0.913,0.736,0.637,0.192,0.913,0.002,0.826,291.131,-1.744
8.0,8,9,68,0.14,0.692,0.192,0.913,0.478,0.615,0.192,0.913,0.002,0.887,290.766,-1.721
8.0,9,0,59,0.14,0.694,0.192,0.913,0.425,0.617,0.192,0.913,0.001,0.899,290.593,-1.723
8.0,9,1,70,0.14,0.692,0.192,0.913,0.497,0.615,0.192,0.913,0.002,0.883,290.815,-1.721
8.0,9,2,90,0.14,0.709,0.192,0.913,0.83,0.637,0.192,0.913,0.003,0.804,291.193,-1.744
8.0,9,3,90,0.1,0.901,0.192,1.0,3.826,0.877,0.192,1.0,0.013,0.097,291.193,-2.081
8.0,9,4,90,0.0,0.891,0.192,0.652,4.238,0.864,0.192,0.652,0.014,0.0,291.193,-1.722
8.0,9,5,90,0.14,0.709,0.192,0.913,0.83,0.637,0.192,0.913,0.003,0.804,291.193,-1.744
8.0,9,6,90,-0.13,0.733,0.192,0.87,1.628,0.666,0.192,0.87,0.005,0.616,291.193,-1.733
8.0,9,7,90,0.07,0.935,0.192,0.783,4.238,0.919,0.192,0.783,0.014,0.0,291.193,-1.907
8.0,9,8,87,0.14,0.709,0.192,0.913,0.762,0.637,0.192,0.913,0.003,0.82,291.15,-1.744
8.0,9,9,90,0.02,0.983,0.192,0.652,4.238,0.979,0.192,0.652,0.014,0.0,291.193,-1.837
8.0,10,0,60,0.11,0.732,0.192,0.739,1.623,0.665,0.192,0.739,0.005,0.616,290.603,-1.601
8.0,10,1,90,0.14,0.709,0.192,0.913,0.83,0.637,0.192,0.913,0.003,0.804,291.193,-1.744
8.0,10,2,90,0.14,0.709,0.192,0.913,0.83,0.637,0.192,0.913,0.003,0.804,291.193,-1.744
8.0,10,3,90,0.1,0.901,0.192,1.0,3.826,0.877,0.192,1.0,0.013,0.097,291.193,-2.081
8.0,10,4,90,0.0,0.891,0.192,0.652,4.238,0.864,0.192,0.652,0.014,0.0,291.193,-1.722
8.0,10,5,71,0.09,0.936,0.192,0.609,2.757,0.92,0.192,0.609,0.009,0.349,290.833,-1.729
8.0,10,6,90,0.0,0.891,0.192,0.652,4.238,0.864,0.192,0.652,0.014,0.0,291.193,-1.722
8.0,10,7,90,0.13,0.719,0.192,0.957,1.628,0.649,0.192,0.957,0.005,0.616,291.193,-1.803
8.0,10,8,90,0.02,0.983,0.192,0.652,4.238,0.979,0.192,0.652,0.014,0.0,291.193,-1.837
8.0,10,9,74,0.13,0.724,0.192,0.87,1.043,0.656,0.192,0.87,0.003,0.754,290.886,-1.72
9.0,0,0,38,0.01,0.938,0.125,0.043,5.982,0.922,0.125,0.043,0.01,0.187,513.322,-1.101
9.0,0,1,71,-0.12,0.538,0.125,0.783,1.75,0.422,0.125,0.783,0.003,0.763,515.656,-1.333
9.0,0,2,24,-0.06,0.815,0.125,0.391,4.031,0.769,0.125,0.391,0.007,0.451,512.322,-1.292
9.0,0,3,63,-0.04,1.0,0.125,0.348,5.467,1.0,0.125,0.348,0.01,0.259,515.06,-1.482
9.0,0,4,88,-0.13,0.437,0.125,0.87,1.551,0.296,0.125,0.87,0.003,0.791,516.766,-1.293
9.0,0,5,12,0.08,0.775,0.125,0.478,3.332,0.719,0.125,0.478,0.006,0.545,511.487,-1.328
9.0,0,6,30,0.13,0.495,0.125,0.826,0.941,0.369,0.125,0.826,0.002,0.872,512.752,-1.322
9.0,0,7,52,0.11,0.515,0.125,0.739,1.947,0.394,0.125,0.739,0.003,0.736,514.271,-1.262
9.0,0,8,86,0.1,0.569,0.125,0.957,3.673,0.461,0.125,0.957,0.006,0.504,516.678,-1.549
