Unnamed: 0,Hoy,SD_Angle,SD_Position,Shaded_Ratio,Unshaded_Ratio
1,8,65,0.03,0.818598,0.181402
2,9,47,0.04,0.754573,0.245427
3,10,65,0.14,0.169207,0.830793
4,11,56,0.12,0.266768,0.733232
5,12,16,0,0.979675,0.020325
6,13,49,0.14,0.126016,0.873984
7,14,37,0.14,0.147358,0.852642
8,15,84,0.01,0.913618,0.086382
9,16,81,-0.06,0.620935,0.379065
10,17,8,0.09,0.49187,0.50813
11,32,38,0.04,0.77998,0.22002
12,33,47,-0.01,0.9375,0.0625
13,34,33,-0.01,0.960366,0.039634
14,35,10,0,0.980183,0.019817
15,36,0,0.01,0.920224,0.079776
16,37,24,0.14,0.126016,0.873984
17,38,21,0.1,0.385163,0.614837
18,39,41,0.06,0.631606,0.368394
19,40,45,0.05,0.682419,0.317581
20,41,50,-0.02,0.872459,0.127541
21,56,26,0.04,0.77998,0.22002
22,57,11,0.06,0.641768,0.358232
23,58,61,-0.07,0.612297,0.387703
24,59,43,0.05,0.682927,0.317073
25,60,78,0.12,0.26626,0.73374
26,61,40,0.12,0.247967,0.752033
27,62,87,0.12,0.26626,0.73374
28,63,13,-0.02,0.88313,0.11687
29,64,39,-0.11,0.361789,0.638211
30,65,53,-0.03,0.816057,0.183943
31,80,50,0.04,0.774898,0.225102
32,81,58,0.05,0.698171,0.301829
33,82,35,0.1,0.400915,0.599085
34,83,7,-0.05,0.702744,0.297256
35,84,65,0.14,0.147358,0.852642
36,85,70,0.11,0.308943,0.691057
37,86,23,0.03,0.801321,0.198679
38,87,61,-0.07,0.612297,0.387703
39,88,59,0.03,0.795224,0.204776
40,89,36,-0.07,0.622459,0.377541
41,104,2,-0.04,0.780488,0.219512
42,105,22,0.07,0.585366,0.414634
43,106,24,0.05,0.690549,0.309451
44,107,39,0.04,0.742378,0.257622
45,108,14,0.01,0.920224,0.079776
46,109,35,0.14,0.126016,0.873984
47,110,1,0.13,0.206809,0.793191
48,111,49,0.14,0.168191,0.831809
49,112,42,-0.02,0.877033,0.122967
50,113,18,0.04,0.773882,0.226118
51,128,72,-0.06,0.659553,0.340447
52,129,3,0.03,0.810976,0.189024
53,130,57,-0.06,0.670224,0.329776
54,131,8,0.14,0.147866,0.852134
55,132,49,0.09,0.444614,0.555386
56,133,53,0.1,0.369919,0.630081
57,134,23,-0.14,0.186992,0.813008
58,135,51,0.12,0.284045,0.715955
59,136,23,0.04,0.748476,0.251524
60,137,45,-0.07,0.604675,0.395325
61,152,88,-0.06,0.529472,0.470528
62,153,10,-0.1,0.434959,0.565041
63,154,38,0.11,0.342988,0.657012
64,155,46,0.03,0.79878,0.20122
65,156,79,0.11,0.325711,0.674289
66,157,45,0.09,0.430894,0.569106
67,158,28,-0.13,0.246443,0.753557
68,159,55,0.1,0.399898,0.600102
69,160,52,-0.06,0.647358,0.352642
70,161,74,0.02,0.679878,0.320122
71,176,54,0.03,0.825203,0.174797
72,177,18,0.03,0.810976,0.189024
73,178,84,-0.12,0.302846,0.697154
74,179,13,0,0.980183,0.019817
75,180,24,0.09,0.444614,0.555386
76,181,49,0.09,0.430894,0.569106
77,182,81,0.04,0.74187,0.25813
78,183,60,0.14,0.168191,0.831809
79,184,68,-0.06,0.645833,0.354167
80,185,81,0.01,0.621443,0.378557
81,200,29,0.07,0.615346,0.384654
82,201,1,-0.03,0.829776,0.170224
83,202,73,0.01,0.91311,0.08689
84,203,49,-0.1,0.424289,0.575711
85,204,0,-0.14,0.167175,0.832825
86,205,77,0.13,0.186992,0.813008
87,206,13,0.13,0.206809,0.793191
88,207,17,0.06,0.631606,0.368394
89,208,53,-0.03,0.816565,0.183435
90,209,15,0.03,0.830285,0.169715
91,224,45,-0.02,0.883638,0.116362
92,225,51,-0.08,0.547256,0.452744
93,226,66,-0.14,0.206301,0.793699
94,227,13,-0.01,0.960366,0.039634
95,228,31,0.04,0.74187,0.25813
96,229,76,-0.11,0.349593,0.650407
97,230,88,0.09,0.444614,0.555386
98,231,85,-0.09,0.477134,0.522866
99,232,32,0.03,0.806402,0.193598
100,233,60,-0.05,0.716972,0.283028
101,248,90,0.01,0.525407,0.474593
102,249,18,0.11,0.359756,0.640244
103,250,55,0.13,0.227134,0.772866
104,251,84,0.13,0.206809,0.793191
105,252,16,0.01,0.920224,0.079776
106,253,51,-0.1,0.430894,0.569106
107,254,78,-0.14,0.186484,0.813516
108,255,60,-0.13,0.264736,0.735264
109,256,54,-0.07,0.590955,0.409045
110,257,53,-0.03,0.817581,0.182419
111,272,46,-0.04,0.776931,0.223069
112,273,59,0.06,0.639736,0.360264
