,Hoy,SD_Angle,SD_Position
0,6559.0,64.0,0.03
1,6560.0,2.0,-0.07
2,6561.0,36.0,-0.03
3,6562.0,47.0,0.06
4,6563.0,68.0,-0.05
5,6564.0,51.0,-0.07
6,6565.0,50.0,-0.02
7,6566.0,22.0,0.03
8,6567.0,59.0,-0.03
9,6568.0,0.0,-0.03
10,6569.0,10.0,0.02
11,6570.0,35.0,0.04
12,6583.0,47.0,0.07
13,6584.0,9.0,0.04
14,6585.0,88.0,-0.07
15,6586.0,39.0,-0.11
16,6587.0,60.0,-0.06
17,6588.0,53.0,0.06
18,6589.0,6.0,-0.04
19,6590.0,24.0,0.12
20,6591.0,14.0,-0.09
21,6592.0,70.0,-0.04
22,6593.0,17.0,0.03
23,6594.0,68.0,-0.05
24,6607.0,55.0,0.0
25,6608.0,36.0,-0.0
26,6609.0,32.0,-0.05
27,6610.0,90.0,-0.07
28,6611.0,29.0,0.02
29,6612.0,77.0,0.12
30,6613.0,59.0,-0.07
31,6614.0,68.0,0.0
32,6615.0,52.0,0.03
33,6616.0,0.0,0.04
34,6617.0,45.0,0.07
35,6618.0,22.0,-0.04
36,6631.0,11.0,-0.07
37,6632.0,50.0,0.02
38,6633.0,75.0,-0.12
39,6634.0,83.0,-0.08
40,6635.0,15.0,-0.02
41,6636.0,14.0,-0.02
42,6637.0,87.0,-0.08
43,6638.0,57.0,0.01
44,6639.0,46.0,0.06
45,6640.0,25.0,-0.01
46,6641.0,66.0,-0.02
47,6642.0,72.0,0.03
48,6655.0,34.0,-0.03
49,6656.0,67.0,-0.02
50,6657.0,50.0,0.07
51,6658.0,39.0,0.07
52,6659.0,73.0,-0.07
53,6660.0,6.0,-0.02
54,6661.0,41.0,-0.11
55,6662.0,61.0,-0.08
56,6663.0,61.0,-0.07
57,6664.0,21.0,-0.05
58,6665.0,0.0,-0.09
59,6666.0,28.0,0.0
60,6679.0,16.0,-0.07
61,6680.0,68.0,-0.06
62,6681.0,13.0,-0.03
63,6682.0,9.0,0.02
64,6683.0,40.0,0.08
65,6684.0,82.0,0.13
66,6685.0,57.0,-0.01
67,6686.0,14.0,-0.02
68,6687.0,10.0,0.08
69,6688.0,49.0,-0.05
70,6689.0,56.0,-0.02
71,6690.0,68.0,-0.02
72,6703.0,40.0,-0.07
73,6704.0,53.0,-0.02
74,6705.0,47.0,-0.05
75,6706.0,76.0,0.0
76,6707.0,1.0,-0.03
77,6708.0,42.0,-0.05
78,6709.0,41.0,-0.09
79,6710.0,38.0,-0.0
80,6711.0,71.0,0.14
81,6712.0,62.0,-0.0
82,6713.0,3.0,0.03
83,6714.0,0.0,-0.08
84,6727.0,57.0,0.06
85,6728.0,0.0,-0.05
86,6729.0,21.0,-0.08
87,6730.0,89.0,0.14
88,6731.0,3.0,-0.02
89,6732.0,85.0,-0.06
90,6733.0,35.0,-0.02
91,6734.0,51.0,0.0
92,6735.0,2.0,0.04
93,6736.0,25.0,-0.1
94,6737.0,18.0,-0.03
95,6738.0,73.0,0.03
96,6751.0,86.0,-0.04
97,6752.0,63.0,-0.05
98,6753.0,0.0,0.04
99,6754.0,26.0,0.12
100,6755.0,41.0,0.02
101,6756.0,67.0,-0.03
102,6757.0,0.0,0.14
103,6758.0,59.0,-0.01
104,6759.0,47.0,0.01
105,6760.0,18.0,0.12
106,6761.0,44.0,0.08
107,6762.0,8.0,0.05
108,6775.0,60.0,-0.02
109,6776.0,21.0,-0.04
110,6777.0,39.0,0.02
111,6778.0,35.0,-0.02
112,6779.0,62.0,-0.06
113,6780.0,31.0,-0.06
114,6781.0,0.0,-0.02
115,6782.0,44.0,0.02
116,6783.0,27.0,-0.0
117,6784.0,7.0,0.05
118,6785.0,24.0,0.05
119,6786.0,31.0,-0.04
120,6799.0,75.0,-0.0
121,6800.0,17.0,0.01
122,6801.0,50.0,-0.06
123,6802.0,47.0,-0.13
124,6803.0,23.0,-0.01
125,6804.0,40.0,0.06
126,6805.0,58.0,-0.05
127,6806.0,4.0,-0.13
128,6807.0,16.0,-0.11
129,6808.0,25.0,0.02
130,6809.0,41.0,0.09
131,6810.0,74.0,-0.04
132,6823.0,5.0,0.03
133,6824.0,38.0,-0.0
134,6825.0,72.0,-0.14
135,6826.0,46.0,0.13
136,6827.0,83.0,0.14
137,6828.0,69.0,0.12
138,6829.0,26.0,-0.06
139,6830.0,41.0,-0.13
140,6831.0,59.0,0.01
141,6832.0,7.0,0.04
142,6833.0,14.0,0.04
143,6847.0,50.0,-0.04
144,6848.0,70.0,0.13
145,6849.0,61.0,0.14
146,6850.0,85.0,-0.11
147,6851.0,56.0,-0.03
148,6852.0,48.0,-0.05
149,6853.0,82.0,-0.04
150,6854.0,27.0,-0.08
151,6855.0,63.0,-0.02
152,6856.0,58.0,-0.04
153,6857.0,31.0,0.05
154,6871.0,32.0,0.05
155,6872.0,37.0,0.13
156,6873.0,44.0,0.08
157,6874.0,60.0,-0.03
158,6875.0,53.0,-0.02
159,6876.0,3.0,0.02
160,6877.0,86.0,0.14
161,6878.0,57.0,-0.14
162,6879.0,22.0,-0.11
163,6880.0,38.0,-0.0
164,6881.0,45.0,0.06
165,6895.0,13.0,0.08
166,6896.0,7.0,-0.08
167,6897.0,62.0,-0.05
168,6898.0,12.0,0.12
169,6899.0,61.0,-0.06
170,6900.0,34.0,-0.0
171,6901.0,90.0,0.14
172,6902.0,8.0,-0.13
173,6903.0,67.0,-0.05
174,6904.0,68.0,-0.03
175,6905.0,41.0,0.08
176,6919.0,66.0,0.08
177,6920.0,67.0,-0.1
178,6921.0,49.0,0.03
179,6922.0,70.0,-0.04
180,6923.0,75.0,-0.02
181,6924.0,53.0,-0.05
182,6925.0,79.0,-0.02
183,6926.0,48.0,-0.06
184,6927.0,50.0,0.08
185,6928.0,40.0,-0.09
186,6929.0,38.0,-0.02
187,6943.0,29.0,0.07
188,6944.0,48.0,0.0
189,6945.0,3.0,-0.11
190,6946.0,12.0,-0.02
191,6947.0,9.0,-0.05
192,6948.0,58.0,-0.07
193,6949.0,11.0,0.13
194,6950.0,46.0,0.01
195,6951.0,19.0,-0.12
196,6952.0,13.0,0.03
197,6953.0,55.0,0.02
198,6967.0,52.0,0.02
199,6968.0,22.0,-0.02
200,6969.0,43.0,0.13
201,6970.0,23.0,0.03
202,6971.0,44.0,0.01
203,6972.0,79.0,0.01
204,6973.0,10.0,0.03
205,6974.0,68.0,0.07
206,6975.0,0.0,0.14
207,6976.0,46.0,-0.11
208,6977.0,19.0,0.06
209,6991.0,60.0,-0.02
210,6992.0,68.0,-0.05
211,6993.0,40.0,-0.01
212,6994.0,44.0,-0.14
213,6995.0,6.0,-0.08
214,6996.0,1.0,-0.01
215,6997.0,39.0,-0.01
216,6998.0,82.0,-0.14
217,6999.0,0.0,0.14
218,7000.0,5.0,-0.1
219,7001.0,2.0,-0.02
220,7015.0,30.0,0.02
221,7016.0,1.0,-0.03
222,7017.0,8.0,-0.12
223,7018.0,11.0,0.01
224,7019.0,26.0,0.02
225,7020.0,70.0,0.1
226,7021.0,9.0,-0.09
227,7022.0,32.0,0.01
228,7023.0,11.0,-0.12
229,7024.0,77.0,-0.06
230,7025.0,6.0,0.06
231,7039.0,10.0,-0.06
232,7040.0,60.0,0.13
233,7041.0,28.0,0.14
234,7042.0,46.0,0.14
235,7043.0,46.0,0.1
236,7044.0,43.0,0.1
237,7045.0,50.0,0.02
238,7046.0,41.0,-0.12
239,7047.0,84.0,-0.13
240,7048.0,0.0,-0.05
241,7049.0,41.0,0.06
242,7063.0,44.0,-0.09
243,7064.0,33.0,-0.03
244,7065.0,33.0,-0.13
245,7066.0,36.0,-0.08
246,7067.0,52.0,-0.12
247,7068.0,62.0,-0.05
248,7069.0,75.0,0.02
249,7070.0,27.0,0.01
250,7071.0,57.0,-0.09
251,7072.0,53.0,0.01
252,7073.0,81.0,0.01
253,7087.0,50.0,-0.04
254,7088.0,63.0,-0.12
255,7089.0,51.0,-0.01
256,7090.0,60.0,0.11
257,7091.0,43.0,0.13
258,7092.0,45.0,-0.07
259,7093.0,54.0,0.01
260,7094.0,25.0,-0.01
261,7095.0,45.0,0.03
262,7096.0,63.0,-0.01
263,7097.0,56.0,-0.06
264,7111.0,76.0,-0.05
265,7112.0,8.0,-0.05
266,7113.0,60.0,-0.1
267,7114.0,71.0,-0.1
268,7115.0,45.0,-0.07
269,7116.0,57.0,0.12
270,7117.0,66.0,-0.02
271,7118.0,2.0,0.12
272,7119.0,42.0,-0.02
273,7120.0,33.0,0.11
274,7121.0,12.0,-0.07
275,7135.0,78.0,-0.08
276,7136.0,1.0,-0.06
277,7137.0,26.0,0.0
278,7138.0,77.0,-0.02
279,7139.0,50.0,0.14
280,7140.0,43.0,-0.09
281,7141.0,88.0,0.01
282,7142.0,50.0,-0.14
283,7143.0,49.0,0.02
284,7144.0,88.0,-0.09
285,7145.0,62.0,-0.04
286,7159.0,28.0,-0.04
287,7160.0,17.0,-0.04
288,7161.0,60.0,-0.12
289,7162.0,1.0,0.14
290,7163.0,50.0,0.07
291,7164.0,48.0,0.14
292,7165.0,49.0,0.14
293,7166.0,28.0,0.14
294,7167.0,11.0,-0.11
295,7168.0,77.0,-0.06
296,7169.0,33.0,0.07
297,7183.0,40.0,-0.04
298,7184.0,55.0,-0.11
299,7185.0,71.0,-0.01
300,7186.0,29.0,0.11
301,7187.0,23.0,-0.01
302,7188.0,9.0,-0.09
303,7189.0,6.0,-0.12
304,7190.0,85.0,0.04
305,7191.0,14.0,0.04
306,7192.0,48.0,-0.01
307,7193.0,41.0,-0.01
308,7207.0,18.0,-0.02
309,7208.0,24.0,0.05
310,7209.0,6.0,0.09
311,7210.0,18.0,-0.13
312,7211.0,0.0,0.1
313,7212.0,86.0,0.11
314,7213.0,59.0,0.14
315,7214.0,17.0,-0.03
316,7215.0,50.0,-0.06
317,7216.0,83.0,-0.03
318,7217.0,54.0,-0.05
319,7231.0,79.0,-0.08
320,7232.0,55.0,0.13
321,7233.0,44.0,0.04
322,7234.0,43.0,0.13
323,7235.0,19.0,0.11
324,7236.0,2.0,-0.14
325,7237.0,7.0,-0.01
326,7238.0,42.0,0.11
327,7239.0,46.0,0.04
328,7240.0,49.0,0.07
329,7241.0,0.0,-0.04
330,7255.0,6.0,0.07
331,7256.0,46.0,-0.11
332,7257.0,42.0,-0.12
333,7258.0,64.0,-0.02
334,7259.0,82.0,-0.09
335,7260.0,42.0,0.09
336,7261.0,6.0,0.1
337,7262.0,1.0,0.02
338,7263.0,23.0,0.04
339,7264.0,50.0,-0.07
340,7265.0,28.0,-0.04
341,7279.0,32.0,-0.03
342,7280.0,41.0,-0.01
343,7281.0,40.0,0.0
344,7282.0,44.0,0.04
345,7283.0,12.0,-0.01
346,7284.0,17.0,0.12
347,7285.0,4.0,0.12
348,7286.0,34.0,0.14
349,7287.0,67.0,-0.1
350,7288.0,53.0,0.04
351,7289.0,64.0,-0.04
