Unnamed: 0,Hoy,SD_Angle,SD_Position,vis,Shaded_Ratio,Unshaded_Ratio,PVG,Date
0,8,52,-0.08,0.52173913,0.5249,0.4751,49.05680637243576,2024-01-01 07:00:00
1,9,89,-0.06,0.56521739,0.3745,0.6255,86.13902878388679,2024-01-01 08:00:00
2,10,6,-0.12,0.7826087,0.3242,0.6758,263.65045343554783,2024-01-01 09:00:00
3,11,1,0.12,0.73913043,0.2668,0.7332,326.76829311594247,2024-01-01 10:00:00
4,12,33,0.14,0.86956522,0.1474,0.8526,371.4849262211982,2024-01-01 11:00:00
5,13,59,-0.04,0.26086957,0.7561,0.2439,302.0970119768318,2024-01-01 12:00:00
6,14,17,-0.1,0.65217391,0.405,0.595,258.2336006970887,2024-01-01 13:00:00
7,15,7,-0.09,0.56521739,0.4848,0.5152,137.84548361631553,2024-01-01 14:00:00
8,16,0,-0.02,0.13043478,0.8841,0.1159,20.12862451282512,2024-01-01 15:00:00
9,32,5,0.04,0.2173913,0.7744,0.2256,114.28283473154362,2024-01-02 07:00:00
10,33,74,0.0,0.39130435,0.6829,0.3171,147.51282800712653,2024-01-02 08:00:00
11,34,7,0.14,0.86956522,0.1885,0.8115,358.3316837029328,2024-01-02 09:00:00
12,35,37,0.02,0.13043478,0.8613,0.1387,413.10866886530494,2024-01-02 10:00:00
13,36,54,0.09,0.60869565,0.4446,0.5554,420.46367294042807,2024-01-02 11:00:00
14,37,85,-0.02,0.52173913,0.5935,0.4065,253.83409757365408,2024-01-02 12:00:00
15,38,40,-0.13,0.82608696,0.2266,0.7734,322.2240801635963,2024-01-02 13:00:00
16,39,50,0.0,0.17391304,0.9919,0.0081,131.8239761827094,2024-01-02 14:00:00
17,40,46,0.05,0.26086957,0.7099,0.2901,25.17667442139217,2024-01-02 15:00:00
18,56,26,-0.07,0.43478261,0.6047,0.3953,126.7296639722274,2024-01-03 07:00:00
19,57,16,0.02,0.08695652,0.8841,0.1159,296.75655207118325,2024-01-03 08:00:00
20,58,32,0.13,0.82608696,0.2271,0.7729,387.3413164899313,2024-01-03 09:00:00
21,59,5,0.11,0.69565217,0.3262,0.6738,445.01421604183065,2024-01-03 10:00:00
22,60,89,0.12,0.91304348,0.2464,0.7536,242.70155453043208,2024-01-03 11:00:00
23,61,90,0.03,0.65217391,0.5325,0.4675,223.67922111721668,2024-01-03 12:00:00
24,62,37,-0.03,0.2173913,0.8211,0.1789,367.30434729140273,2024-01-03 13:00:00
25,63,60,-0.04,0.30434783,0.7541,0.2459,224.232313669518,2024-01-03 14:00:00
26,64,59,-0.04,0.26086957,0.7576,0.2424,71.0186259956622,2024-01-03 15:00:00
27,65,27,0.08,0.47826087,0.5483,0.4517,0.0,2024-01-03 16:00:00
28,80,66,-0.05,0.34782609,0.6748,0.3252,47.74865419230948,2024-01-04 07:00:00
29,81,42,-0.05,0.34782609,0.7099,0.2901,184.8607449729928,2024-01-04 08:00:00
30,82,67,-0.1,0.65217391,0.4004,0.5996,227.5855907823932,2024-01-04 09:00:00
31,83,46,-0.01,0.13043478,0.94,0.06,356.51743490613256,2024-01-04 10:00:00
32,84,86,-0.07,0.47826087,0.5437,0.4563,226.31773595814536,2024-01-04 11:00:00
33,85,84,0.12,0.82608696,0.2475,0.7525,240.8537769011301,2024-01-04 12:00:00
34,86,0,-0.06,0.39130435,0.6428,0.3572,306.9968542430105,2024-01-04 13:00:00
35,87,59,0.0,0.26086957,0.9919,0.0081,166.58996522586077,2024-01-04 14:00:00
36,88,38,-0.08,0.52173913,0.5361,0.4639,39.8428158158678,2024-01-04 15:00:00
37,89,32,0.06,0.34782609,0.6611,0.3389,0.0,2024-01-04 16:00:00
38,104,0,-0.09,0.60869565,0.4924,0.5076,46.98371365195873,2024-01-05 07:00:00
39,105,83,0.03,0.52173913,0.5025,0.4975,95.37148156510614,2024-01-05 08:00:00
40,106,49,-0.05,0.34782609,0.6905,0.3095,281.2136614715574,2024-01-05 09:00:00
41,107,34,0.12,0.73913043,0.2668,0.7332,289.2662363168907,2024-01-05 10:00:00
42,108,8,0.1,0.60869565,0.3852,0.6148,279.5228434592437,2024-01-05 11:00:00
43,109,23,0.03,0.13043478,0.7967,0.2033,238.97193561073453,2024-01-05 12:00:00
44,110,70,-0.03,0.30434783,0.7998,0.2002,122.59374589816798,2024-01-05 13:00:00
45,111,43,0.05,0.26086957,0.7022,0.2978,75.09798587935464,2024-01-05 14:00:00
46,112,36,0.03,0.13043478,0.8227,0.1773,22.71697996928648,2024-01-05 15:00:00
47,113,34,-0.05,0.34782609,0.7175,0.2825,0.0,2024-01-05 16:00:00
48,128,72,0.0,0.34782609,0.3984,0.6016,51.70741866785381,2024-01-06 07:00:00
49,129,53,-0.03,0.2173913,0.811,0.189,197.40486849744525,2024-01-06 08:00:00
50,130,29,0.13,0.82608696,0.2271,0.7729,342.4953696853865,2024-01-06 09:00:00
51,131,75,-0.06,0.47826087,0.6199,0.3801,291.5710680919741,2024-01-06 10:00:00
52,132,4,0.08,0.47826087,0.5041,0.4959,425.4853890066301,2024-01-06 11:00:00
53,133,87,0.0,0.60869565,0.3496,0.6504,237.2059868890575,2024-01-06 12:00:00
54,134,34,0.0,0.13043478,0.9797,0.0203,356.2298518122952,2024-01-06 13:00:00
55,135,0,-0.09,0.60869565,0.4649,0.5351,226.68553328783136,2024-01-06 14:00:00
56,136,26,-0.07,0.43478261,0.5945,0.4055,63.12126129463732,2024-01-06 15:00:00
57,137,50,0.06,0.34782609,0.6326,0.3674,0.0,2024-01-06 16:00:00
58,152,78,-0.05,0.34782609,0.3902,0.6098,30.14294562761207,2024-01-07 07:00:00
59,153,44,-0.06,0.39130435,0.6474,0.3526,76.32758966038975,2024-01-07 08:00:00
60,154,76,-0.02,0.34782609,0.6855,0.3145,87.6608514383959,2024-01-07 09:00:00
61,155,47,0.01,0.08695652,0.9207,0.0793,107.69702321527264,2024-01-07 10:00:00
62,156,41,-0.05,0.34782609,0.7022,0.2978,137.02172726976954,2024-01-07 11:00:00
63,157,59,0.05,0.47826087,0.6748,0.3252,112.92847821535888,2024-01-07 12:00:00
64,158,7,0.01,0.0,0.9202,0.0798,28.57527701256265,2024-01-07 13:00:00
65,159,67,0.02,0.30434783,0.8084,0.1916,57.39550566272606,2024-01-07 14:00:00
66,160,42,0.04,0.2173913,0.7632,0.2368,11.82021389954309,2024-01-07 15:00:00
67,161,37,0.05,0.26086957,0.717,0.283,0.0,2024-01-07 16:00:00
68,176,19,-0.07,0.43478261,0.6052,0.3948,81.78568958088094,2024-01-08 07:00:00
69,177,63,0.0,0.30434783,0.9756,0.0244,148.77275005796704,2024-01-08 08:00:00
70,178,60,-0.08,0.52173913,0.5168,0.4832,265.8399641350735,2024-01-08 09:00:00
71,179,53,-0.06,0.39130435,0.6428,0.3572,342.5061956061334,2024-01-08 10:00:00
72,180,70,-0.08,0.52173913,0.5041,0.4959,325.6537479694412,2024-01-08 11:00:00
73,181,28,0.1,0.60869565,0.3699,0.6301,400.5326451580275,2024-01-08 12:00:00
74,182,34,0.02,0.08695652,0.8608,0.1392,315.9096658730915,2024-01-08 13:00:00
75,183,18,-0.02,0.13043478,0.9009,0.0991,203.4038401725984,2024-01-08 14:00:00
76,184,86,-0.09,0.60869565,0.376,0.624,27.739535718167154,2024-01-08 15:00:00
77,185,66,-0.04,0.34782609,0.499,0.501,0.0,2024-01-08 16:00:00
78,200,7,0.05,0.26086957,0.718,0.282,55.35778792942149,2024-01-09 07:00:00
79,201,18,-0.02,0.13043478,0.9029,0.0971,172.420635867636,2024-01-09 08:00:00
80,202,65,-0.05,0.34782609,0.6824,0.3176,229.2465645543523,2024-01-09 09:00:00
81,203,42,0.13,0.82608696,0.2073,0.7927,330.4794930864541,2024-01-09 10:00:00
82,204,68,0.14,0.91304348,0.1474,0.8526,309.43286777214087,2024-01-09 11:00:00
83,205,77,0.1,0.73913043,0.3699,0.6301,244.5489442782194,2024-01-09 12:00:00
84,206,35,0.01,0.04347826,0.9202,0.0798,285.26200524265624,2024-01-09 13:00:00
85,207,8,-0.05,0.30434783,0.7226,0.2774,167.40598802610197,2024-01-09 14:00:00
86,208,84,-0.08,0.56521739,0.4492,0.5508,25.92519383490576,2024-01-09 15:00:00
87,209,49,0.08,0.47826087,0.5264,0.4736,0.0,2024-01-09 16:00:00
88,224,44,-0.03,0.2173913,0.814,0.186,65.49160493696482,2024-01-10 07:00:00
89,225,50,-0.04,0.26086957,0.7581,0.2419,110.8606394800892,2024-01-10 08:00:00
90,226,77,0.11,0.73913043,0.3425,0.6575,169.68710787987442,2024-01-10 09:00:00
91,227,74,-0.06,0.43478261,0.6199,0.3801,129.24961669455166,2024-01-10 10:00:00
92,228,36,-0.02,0.13043478,0.8806,0.1194,248.39616111846624,2024-01-10 11:00:00
93,229,44,-0.01,0.13043478,0.939,0.061,169.73382727924437,2024-01-10 12:00:00
94,230,15,-0.02,0.13043478,0.8806,0.1194,237.5145587858517,2024-01-10 13:00:00
95,231,56,-0.03,0.2173913,0.7922,0.2078,179.8582252764111,2024-01-10 14:00:00
96,232,21,-0.02,0.13043478,0.8841,0.1159,94.21924770576742,2024-01-10 15:00:00
