Hoy,Azimuth,Altitude,Hor_Angle,Ver_Angle,I_direct,I_diffuse,sky_cover
8,120.596635,10.780014,12.472756,20.509417,103.0,29.0,0.2
9,128.699259,22.146557,27.542384,33.062713,353.0,88.0,0.2
10,139.426949,32.114982,43.980069,39.568019,626.0,114.0,0.2
11,153.619988,39.793756,61.924042,42.91693,680.0,151.0,0.2
12,171.312678,44.005998,81.112272,44.336446,686.0,177.0,0.2
13,190.49774,43.78824,79.238121,44.271526,790.0,149.0,0.2
14,207.909843,39.197532,60.145247,42.702356,708.0,171.0,0.2
15,221.752991,31.256166,42.34802,39.1317,729.0,134.0,0.2
16,232.196943,21.122161,26.055302,32.221268,616.0,109.0,0.1
17,240.101948,9.658549,11.106794,18.851412,416.0,75.0,0.1
32,120.465809,10.730539,12.399726,20.493577,0.0,17.0,1.0
33,128.553987,22.115841,27.458762,33.10559,8.0,123.0,1.0
34,139.263889,32.110208,43.879908,39.631623,101.0,239.0,0.7
35,153.444076,39.823399,61.80221,42.990622,273.0,295.0,0.4
36,171.146225,44.075737,80.967753,44.419059,280.0,352.0,0.2
37,190.373179,43.893825,79.399765,44.365682,253.0,336.0,0.4
38,207.840423,39.325464,60.314352,42.814184,115.0,317.0,0.6
39,221.728319,31.393464,42.515753,39.272354,202.0,311.0,0.8
40,232.201916,21.260994,26.216643,32.410254,115.0,213.0,0.5
41,240.126501,9.794572,11.259531,19.115833,51.0,121.0,0.3
56,120.329004,10.68576,12.331633,20.489608,7.0,30.0,0.6
57,128.403192,22.090561,27.380184,33.15931,76.0,97.0,0.9
58,139.096073,32.111663,43.784468,39.704414,257.0,263.0,0.7
59,153.264972,39.860012,61.684383,43.07262,509.0,201.0,0.4
60,170.979363,44.152835,80.826174,44.50929,487.0,279.0,0.2
61,190.251661,44.006449,79.560151,44.467304,459.0,296.0,0.3
62,207.776652,39.459437,60.483592,42.933646,300.0,318.0,0.4
63,221.710489,31.535554,42.68474,39.421049,344.0,264.0,0.5
64,232.214067,21.403458,26.379893,32.607878,235.0,174.0,0.6
65,240.158297,9.933268,11.414404,19.388907,12.0,92.0,0.7
80,120.186304,10.645733,12.268534,20.497713,6.0,29.0,0.6
81,128.246961,22.070752,27.306552,33.223776,51.0,107.0,0.9
82,138.923588,32.11936,43.693858,39.786499,161.0,183.0,0.7
83,153.082756,39.903585,61.570752,43.162775,510.0,210.0,0.5
84,170.812173,44.237264,80.68748,44.607103,380.0,252.0,0.3
85,190.133282,44.126063,79.718966,44.576309,210.0,372.0,0.5
86,207.718633,39.599375,60.652797,43.060606,141.0,328.0,0.7
87,221.699583,31.682339,42.854755,39.577654,313.0,308.0,0.9
88,232.233444,21.549448,26.544818,32.814115,460.0,138.0,0.7
89,240.197357,10.074529,11.571262,19.670518,268.0,93.0,0.4
104,120.037795,10.61051,12.210448,20.518005,3.0,29.0,0.9
105,128.085382,22.056449,27.23811,33.299198,69.0,162.0,0.9
106,138.746517,32.133309,43.608176,39.877871,11.0,146.0,0.9
107,152.897506,39.954107,61.461428,43.261147,128.0,212.0,0.9
108,170.644734,44.328993,80.552105,44.712504,66.0,353.0,0.9
109,190.018141,44.252615,79.876064,44.692693,38.0,283.0,0.9
110,207.666467,39.745199,60.82176,43.195013,68.0,311.0,0.9
111,221.69568,31.833722,43.025644,39.74218,82.0,270.0,0.9
112,232.260095,21.698855,26.711308,33.028761,53.0,102.0,0.9
113,240.243698,10.218247,11.729927,19.960668,51.0,67.0,1.0
128,119.883565,10.580141,12.157441,20.550673,0.0,30.0,0.9
129,127.918543,22.047679,27.174878,33.385696,52.0,146.0,0.9
130,138.564947,32.153517,43.527522,39.978629,212.0,189.0,0.7
131,152.709299,40.011564,61.356559,43.36763,409.0,257.0,0.4
132,170.477123,44.427988,80.419987,44.825457,393.0,330.0,0.2
133,189.906336,44.386048,80.031206,44.816333,350.0,335.0,0.2
134,207.620257,39.89683,60.990209,43.336771,382.0,302.0,0.3
135,221.698858,31.989603,43.197133,39.914415,326.0,265.0,0.4
136,232.294065,21.851571,26.879098,33.251755,239.0,188.0,0.3
137,240.297337,10.364312,11.890246,20.259258,129.0,114.0,0.2
152,119.7237,10.554673,12.109592,20.596033,50.0,29.0,0.4
153,127.746534,22.044469,27.116873,33.4833,345.0,98.0,0.2
154,138.378962,32.179989,43.451986,40.088677,484.0,150.0,0.2
155,152.51821,40.075937,61.256217,43.482284,599.0,185.0,0.2
