Hoy Azimuth Altitude Hor_Angle Ver_Angle
8 120.596635 10.780014 12.472756 20.509417
9 128.699259 22.146557 27.542384 33.062713
10 139.426949 32.114982 43.980069 39.568019
11 153.619988 39.793756 61.924042 42.91693
12 171.312678 44.005998 81.112272 44.336446
13 190.49774 43.78824 79.238121 44.271526
14 207.909843 39.197532 60.145247 42.702356
15 221.752991 31.256166 42.34802 39.1317
16 232.196943 21.122161 26.055302 32.221268
17 240.101948 9.658549 11.106794 18.851412
32 120.465809 10.730539 12.399726 20.493577
33 128.553987 22.115841 27.458762 33.10559
34 139.263889 32.110208 43.879908 39.631623
35 153.444076 39.823399 61.80221 42.990622
36 171.146225 44.075737 80.967753 44.419059
37 190.373179 43.893825 79.399765 44.365682
38 207.840423 39.325464 60.314352 42.814184
39 221.728319 31.393464 42.515753 39.272354
40 232.201916 21.260994 26.216643 32.410254
41 240.126501 9.794572 11.259531 19.115833
56 120.329004 10.68576 12.331633 20.489608
57 128.403192 22.090561 27.380184 33.15931
58 139.096073 32.111663 43.784468 39.704414
59 153.264972 39.860012 61.684383 43.07262
60 170.979363 44.152835 80.826174 44.50929
61 190.251661 44.006449 79.560151 44.467304
62 207.776652 39.459437 60.483592 42.933646
63 221.710489 31.535554 42.68474 39.421049
64 232.214067 21.403458 26.379893 32.607878
65 240.158297 9.933268 11.414404 19.388907
80 120.186304 10.645733 12.268534 20.497713
81 128.246961 22.070752 27.306552 33.223776
82 138.923588 32.11936 43.693858 39.786499
83 153.082756 39.903585 61.570752 43.162775
84 170.812173 44.237264 80.68748 44.607103
85 190.133282 44.126063 79.718966 44.576309
86 207.718633 39.599375 60.652797 43.060606
87 221.699583 31.682339 42.854755 39.577654
88 232.233444 21.549448 26.544818 32.814115
89 240.197357 10.074529 11.571262 19.670518
104 120.037795 10.61051 12.210448 20.518005
105 128.085382 22.056449 27.23811 33.299198
106 138.746517 32.133309 43.608176 39.877871
107 152.897506 39.954107 61.461428 43.261147
108 170.644734 44.328993 80.552105 44.712504
109 190.018141 44.252615 79.876064 44.692693
110 207.666467 39.745199 60.82176 43.195013
111 221.69568 31.833722 43.025644 39.74218
112 232.260095 21.698855 26.711308 33.028761
113 240.243698 10.218247 11.729927 19.960668
128 119.883565 10.580141 12.157441 20.550673
129 127.918543 22.047679 27.174878 33.385696
130 138.564947 32.153517 43.527522 39.978629
131 152.709299 40.011564 61.356559 43.36763
132 170.477123 44.427988 80.419987 44.825457
133 189.906336 44.386048 80.031206 44.816333
134 207.620257 39.89683 60.990209 43.336771
135 221.698858 31.989603 43.197133 39.914415
136 232.294065 21.851571 26.879098 33.251755
137 240.297337 10.364312 11.890246 20.259258
152 119.7237 10.554673 12.109592 20.596033
153 127.746534 22.044469 27.116873 33.4833
154 138.378962 32.179989 43.451986 40.088677
155 152.51821 40.075937 61.256217 43.482284
156 170.309419 44.534212 80.291458 44.945887
157 189.797966 44.526304 80.184344 44.947225
158 207.580108 40.054184 61.158017 43.485877
159 221.709194 32.149878 43.369166 40.094364
160 232.335396 22.007483 27.04811 33.483111
161 240.358284 10.512612 12.052121 20.566336
176 119.558293 10.534148 12.066963 20.654259
177 127.569443 22.046841 27.064205 33.592066
178 138.188644 32.212722 43.381657 40.20802
179 152.324313 40.147205 61.160607 43.605131
180 170.141698 44.647625 80.166526 45.073799
181 189.69313 44.673322 80.335154 45.085247
182 207.546123 40.217174 61.324946 43.642155
183 221.726765 32.314443 43.541421 40.281911
184 232.384127 22.166479 27.218048 33.722593
185 240.426548 10.663037 12.215307 20.881751
