,vis,sd_angle,sd_location
0,0.95652174,0,-0.15
1,0.95652174,1,-0.15
2,0.95652174,2,-0.15
3,0.95652174,3,-0.15
4,0.95652174,4,-0.15
5,0.95652174,5,-0.15
6,0.95652174,6,-0.15
7,0.95652174,7,-0.15
8,0.95652174,8,-0.15
9,0.95652174,9,-0.15
10,0.95652174,10,-0.15
11,0.95652174,11,-0.15
12,0.95652174,12,-0.15
13,0.95652174,13,-0.15
14,0.95652174,14,-0.15
15,0.95652174,15,-0.15
16,0.95652174,16,-0.15
17,0.95652174,17,-0.15
18,0.95652174,18,-0.15
19,0.95652174,19,-0.15
20,0.95652174,20,-0.15
21,0.95652174,21,-0.15
22,0.95652174,22,-0.15
23,0.95652174,23,-0.15
24,0.95652174,24,-0.15
25,0.95652174,25,-0.15
26,0.95652174,26,-0.15
27,0.95652174,27,-0.15
28,0.95652174,28,-0.15
29,0.95652174,29,-0.15
30,0.95652174,30,-0.15
31,0.95652174,31,-0.15
32,0.95652174,32,-0.15
33,0.95652174,33,-0.15
34,0.95652174,34,-0.15
35,0.95652174,35,-0.15
36,0.95652174,36,-0.15
37,0.95652174,37,-0.15
38,0.95652174,38,-0.15
39,0.95652174,39,-0.15
40,0.95652174,40,-0.15
41,0.95652174,41,-0.15
42,0.95652174,42,-0.15
43,0.95652174,43,-0.15
44,0.95652174,44,-0.15
45,0.95652174,45,-0.15
46,0.95652174,46,-0.15
47,0.95652174,47,-0.15
48,0.95652174,48,-0.15
49,0.95652174,49,-0.15
50,0.95652174,50,-0.15
51,0.95652174,51,-0.15
52,0.95652174,52,-0.15
53,0.95652174,53,-0.15
54,0.95652174,54,-0.15
55,0.95652174,55,-0.15
56,0.95652174,56,-0.15
57,0.95652174,57,-0.15
58,0.95652174,58,-0.15
59,0.95652174,59,-0.15
60,0.95652174,60,-0.15
61,0.95652174,61,-0.15
62,0.95652174,62,-0.15
63,0.95652174,63,-0.15
64,0.95652174,64,-0.15
65,0.95652174,65,-0.15
66,0.95652174,66,-0.15
67,0.95652174,67,-0.15
68,0.95652174,68,-0.15
69,0.95652174,69,-0.15
70,0.95652174,70,-0.15
71,0.95652174,71,-0.15
72,0.95652174,72,-0.15
73,0.95652174,73,-0.15
74,0.95652174,74,-0.15
75,0.95652174,75,-0.15
76,0.95652174,76,-0.15
77,0.95652174,77,-0.15
78,0.95652174,78,-0.15
79,0.95652174,79,-0.15
80,0.95652174,80,-0.15
81,0.95652174,81,-0.15
82,0.95652174,82,-0.15
83,0.95652174,83,-0.15
84,0.95652174,84,-0.15
85,0.95652174,85,-0.15
86,0.95652174,86,-0.15
87,0.95652174,87,-0.15
88,0.95652174,88,-0.15
89,0.95652174,89,-0.15
90,0.95652174,90,-0.15
91,0.86956522,0,-0.14
92,0.86956522,1,-0.14
93,0.86956522,2,-0.14
94,0.86956522,3,-0.14
95,0.86956522,4,-0.14
96,0.86956522,5,-0.14
97,0.86956522,6,-0.14
98,0.86956522,7,-0.14
99,0.86956522,8,-0.14
100,0.86956522,9,-0.14
101,0.86956522,10,-0.14
102,0.86956522,11,-0.14
103,0.86956522,12,-0.14
104,0.86956522,13,-0.14
105,0.86956522,14,-0.14
106,0.91304348,15,-0.14
107,0.91304348,16,-0.14
108,0.91304348,17,-0.14
109,0.91304348,18,-0.14
110,0.91304348,19,-0.14
111,0.91304348,20,-0.14
112,0.91304348,21,-0.14
113,0.91304348,22,-0.14
114,0.91304348,23,-0.14
115,0.91304348,24,-0.14
116,0.91304348,25,-0.14
117,0.91304348,26,-0.14
118,0.91304348,27,-0.14
119,0.91304348,28,-0.14
120,0.91304348,29,-0.14
121,0.91304348,30,-0.14
122,0.91304348,31,-0.14
123,0.91304348,32,-0.14
124,0.91304348,33,-0.14
125,0.91304348,34,-0.14
126,0.91304348,35,-0.14
127,0.91304348,36,-0.14
128,0.91304348,37,-0.14
129,0.91304348,38,-0.14
130,0.91304348,39,-0.14
131,0.91304348,40,-0.14
132,0.91304348,41,-0.14
133,0.91304348,42,-0.14
134,0.91304348,43,-0.14
135,0.91304348,44,-0.14
136,0.91304348,45,-0.14
137,0.91304348,46,-0.14
138,0.91304348,47,-0.14
139,0.91304348,48,-0.14
140,0.91304348,49,-0.14
141,0.91304348,50,-0.14
142,0.91304348,51,-0.14
143,0.91304348,52,-0.14
144,0.91304348,53,-0.14
145,0.91304348,54,-0.14
146,0.91304348,55,-0.14
147,0.91304348,56,-0.14
148,0.91304348,57,-0.14
149,0.91304348,58,-0.14
150,0.91304348,59,-0.14
151,0.91304348,60,-0.14
152,0.91304348,61,-0.14
153,0.91304348,62,-0.14
154,0.91304348,63,-0.14
155,0.91304348,64,-0.14
156,0.91304348,65,-0.14
157,0.91304348,66,-0.14
158,0.91304348,67,-0.14
159,0.91304348,68,-0.14
160,0.91304348,69,-0.14
161,0.91304348,70,-0.14
162,0.91304348,71,-0.14
163,0.91304348,72,-0.14
164,0.91304348,73,-0.14
165,0.91304348,74,-0.14
166,0.91304348,75,-0.14
167,0.91304348,76,-0.14
168,0.91304348,77,-0.14
169,0.91304348,78,-0.14
170,0.91304348,79,-0.14
171,0.91304348,80,-0.14
172,0.91304348,81,-0.14
173,0.91304348,82,-0.14
174,0.91304348,83,-0.14
175,0.91304348,84,-0.14
176,0.91304348,85,-0.14
177,0.91304348,86,-0.14
178,0.91304348,87,-0.14
179,0.91304348,88,-0.14
180,0.91304348,89,-0.14
181,0.91304348,90,-0.14
182,0.82608696,0,-0.13
183,0.82608696,1,-0.13
184,0.82608696,2,-0.13
185,0.82608696,3,-0.13
186,0.82608696,4,-0.13
187,0.82608696,5,-0.13
188,0.82608696,6,-0.13
189,0.82608696,7,-0.13
190,0.82608696,8,-0.13
191,0.82608696,9,-0.13
192,0.82608696,10,-0.13
193,0.82608696,11,-0.13
194,0.82608696,12,-0.13
195,0.82608696,13,-0.13
196,0.82608696,14,-0.13
197,0.82608696,15,-0.13
198,0.82608696,16,-0.13
199,0.82608696,17,-0.13
200,0.82608696,18,-0.13
201,0.82608696,19,-0.13
202,0.82608696,20,-0.13
203,0.82608696,21,-0.13
204,0.82608696,22,-0.13
205,0.82608696,23,-0.13
206,0.82608696,24,-0.13
207,0.82608696,25,-0.13
208,0.82608696,26,-0.13
209,0.82608696,27,-0.13
210,0.82608696,28,-0.13
211,0.82608696,29,-0.13
