Time,ROOM_1_24BC84ED:SHENZHEN ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_1_24BC84ED:SHENZHEN ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_1_24BC84ED:SHENZHEN ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_1_24BC84ED:SHENZHEN ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_1_24BC84ED::Des Latent Heat Load [W],ROOM_1_24BC84ED::Des Latent Cool Load [W],ROOM_1_24BC84ED::Des Latent Heat Mass Flow [kg/s],ROOM_1_24BC84ED::Des Latent Cool Mass Flow [kg/s],ROOM_1_24BC84ED::Des Heat Load No DOAS [W],ROOM_1_24BC84ED::Des Sens Cool Load No DOAS [W],ROOM_1_24BC84ED::Des Latent Heat Load No DOAS [W],ROOM_1_24BC84ED::Des Latent Cool Load No DOAS [W],ROOM_1_24BC84ED:SHENZHEN ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],ROOM_1_24BC84ED:SHENZHEN ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],ROOM_1_24BC84ED:SHENZHEN ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],ROOM_1_24BC84ED:SHENZHEN ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:10:00,2.103119E+02,5.599485E+02,8.452370E-03,4.322467E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559883E+01,6.056582E+01,2.669218E+01,5.565589E+01
00:20:00,2.221211E+02,5.631890E+02,8.926949E-03,4.347519E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559877E+01,6.054119E+01,2.669221E+01,5.559986E+01
00:30:00,2.332832E+02,5.650717E+02,9.375524E-03,4.362070E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559872E+01,6.055423E+01,2.669223E+01,5.554659E+01
00:40:00,2.444910E+02,5.658394E+02,9.825938E-03,4.368001E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559868E+01,6.059484E+01,2.669225E+01,5.550529E+01
00:50:00,2.545570E+02,5.656889E+02,1.023047E-02,4.366837E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559864E+01,6.065440E+01,2.669228E+01,5.547894E+01
01:00:00,2.635704E+02,5.647887E+02,1.059269E-02,4.359881E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559862E+01,6.072594E+01,2.669231E+01,5.546688E+01
01:10:00,2.729656E+02,5.644483E+02,1.097026E-02,4.357244E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559859E+01,6.080425E+01,2.669233E+01,5.546723E+01
01:20:00,2.814106E+02,5.636584E+02,1.130965E-02,4.351139E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559857E+01,6.088548E+01,2.669235E+01,5.547633E+01
01:30:00,2.889929E+02,5.625139E+02,1.161436E-02,4.342296E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559855E+01,6.096682E+01,2.669237E+01,5.549203E+01
01:40:00,2.958066E+02,5.610897E+02,1.188818E-02,4.331294E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559854E+01,6.104633E+01,2.669238E+01,5.551337E+01
01:50:00,3.019511E+02,5.594511E+02,1.213512E-02,4.318639E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559853E+01,6.112276E+01,2.669240E+01,5.553990E+01
02:00:00,3.075019E+02,5.576515E+02,1.235819E-02,4.304740E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559852E+01,6.119536E+01,2.669242E+01,5.557118E+01
02:10:00,3.125361E+02,5.556918E+02,1.256050E-02,4.289607E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559851E+01,6.126374E+01,2.669243E+01,5.560667E+01
02:20:00,3.171294E+02,5.536053E+02,1.274509E-02,4.273496E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559850E+01,6.132776E+01,2.669244E+01,5.564498E+01
02:30:00,3.213412E+02,5.514120E+02,1.291436E-02,4.256559E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559850E+01,6.138745E+01,2.669246E+01,5.568536E+01
02:40:00,3.252221E+02,5.491356E+02,1.307032E-02,4.238982E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559849E+01,6.144297E+01,2.669247E+01,5.572775E+01
02:50:00,3.288171E+02,5.467975E+02,1.321480E-02,4.220929E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559849E+01,6.149455E+01,2.669248E+01,5.577213E+01
03:00:00,3.321651E+02,5.444119E+02,1.334935E-02,4.202509E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559848E+01,6.154248E+01,2.669249E+01,5.581834E+01
03:10:00,3.352997E+02,5.419568E+02,1.347532E-02,4.183553E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559847E+01,6.158705E+01,2.669251E+01,5.586616E+01
03:20:00,3.382500E+02,5.394456E+02,1.359389E-02,4.164164E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559847E+01,6.162856E+01,2.669252E+01,5.591540E+01
03:30:00,3.410407E+02,5.368950E+02,1.370604E-02,4.144471E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559846E+01,6.166731E+01,2.669253E+01,5.596587E+01
03:40:00,3.436930E+02,5.343129E+02,1.381263E-02,4.124536E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559846E+01,6.170357E+01,2.669254E+01,5.601743E+01
03:50:00,3.462250E+02,5.317047E+02,1.391438E-02,4.104398E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559846E+01,6.173762E+01,2.669255E+01,5.606994E+01
04:00:00,3.486521E+02,5.290756E+02,1.401192E-02,4.084100E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559845E+01,6.176969E+01,2.669257E+01,5.612331E+01
04:10:00,3.509876E+02,5.264705E+02,1.410578E-02,4.063986E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559845E+01,6.179999E+01,2.669258E+01,5.617743E+01
04:20:00,3.532428E+02,5.238932E+02,1.419641E-02,4.044088E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559844E+01,6.182872E+01,2.669259E+01,5.623128E+01
