Time,ROOM_3_388A625F:SHENZHEN ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_3_388A625F:SHENZHEN ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_3_388A625F:SHENZHEN ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_3_388A625F:SHENZHEN ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_3_388A625F::Des Latent Heat Load [W],ROOM_3_388A625F::Des Latent Cool Load [W],ROOM_3_388A625F::Des Latent Heat Mass Flow [kg/s],ROOM_3_388A625F::Des Latent Cool Mass Flow [kg/s],ROOM_3_388A625F::Des Heat Load No DOAS [W],ROOM_3_388A625F::Des Sens Cool Load No DOAS [W],ROOM_3_388A625F::Des Latent Heat Load No DOAS [W],ROOM_3_388A625F::Des Latent Cool Load No DOAS [W],ROOM_3_388A625F:SHENZHEN ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],ROOM_3_388A625F:SHENZHEN ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],ROOM_3_388A625F:SHENZHEN ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],ROOM_3_388A625F:SHENZHEN ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:02:00,2.046923E+02,5.620083E+02,8.226767E-03,4.336545E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559967E+01,6.020842E+01,2.669769E+01,5.556728E+01
00:04:00,2.067319E+02,5.628366E+02,8.308739E-03,4.342937E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559967E+01,6.021282E+01,2.669770E+01,5.555546E+01
00:06:00,2.087207E+02,5.636000E+02,8.388669E-03,4.348829E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559967E+01,6.021840E+01,2.669771E+01,5.554259E+01
00:08:00,2.106636E+02,5.642992E+02,8.466754E-03,4.354225E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559967E+01,6.022510E+01,2.669771E+01,5.552986E+01
00:10:00,2.125680E+02,5.649392E+02,8.543291E-03,4.359165E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559966E+01,6.023284E+01,2.669771E+01,5.551779E+01
00:12:00,2.144401E+02,5.655219E+02,8.618532E-03,4.363662E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559966E+01,6.024155E+01,2.669771E+01,5.550652E+01
00:14:00,2.162869E+02,5.660473E+02,8.692756E-03,4.367716E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559966E+01,6.025117E+01,2.669771E+01,5.549603E+01
00:16:00,2.181178E+02,5.665200E+02,8.766341E-03,4.371364E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559965E+01,6.026164E+01,2.669771E+01,5.548624E+01
00:18:00,2.199455E+02,5.669416E+02,8.839794E-03,4.374618E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559965E+01,6.027289E+01,2.669771E+01,5.547715E+01
00:20:00,2.217789E+02,5.673122E+02,8.913479E-03,4.377478E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559965E+01,6.028485E+01,2.669771E+01,5.546874E+01
00:22:00,2.235963E+02,5.676359E+02,8.986522E-03,4.379976E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559965E+01,6.029750E+01,2.669771E+01,5.546098E+01
00:24:00,2.253952E+02,5.679142E+02,9.058820E-03,4.382123E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559964E+01,6.031075E+01,2.669772E+01,5.545387E+01
00:26:00,2.271677E+02,5.681471E+02,9.130060E-03,4.383920E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559964E+01,6.032457E+01,2.669772E+01,5.544740E+01
00:28:00,2.289107E+02,5.683383E+02,9.200111E-03,4.385395E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559964E+01,6.033890E+01,2.669772E+01,5.544154E+01
00:30:00,2.306215E+02,5.684891E+02,9.268868E-03,4.386559E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559964E+01,6.035370E+01,2.669772E+01,5.543629E+01
00:32:00,2.322975E+02,5.685995E+02,9.336225E-03,4.387411E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559964E+01,6.036892E+01,2.669772E+01,5.543165E+01
