Time,ROOM_1_D6D5A8F1:SHENZHEN ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_1_D6D5A8F1:SHENZHEN ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_1_D6D5A8F1:SHENZHEN ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_1_D6D5A8F1:SHENZHEN ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_1_D6D5A8F1::Des Latent Heat Load [W],ROOM_1_D6D5A8F1::Des Latent Cool Load [W],ROOM_1_D6D5A8F1::Des Latent Heat Mass Flow [kg/s],ROOM_1_D6D5A8F1::Des Latent Cool Mass Flow [kg/s],ROOM_1_D6D5A8F1::Des Heat Load No DOAS [W],ROOM_1_D6D5A8F1::Des Sens Cool Load No DOAS [W],ROOM_1_D6D5A8F1::Des Latent Heat Load No DOAS [W],ROOM_1_D6D5A8F1::Des Latent Cool Load No DOAS [W],ROOM_1_D6D5A8F1:SHENZHEN ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],ROOM_1_D6D5A8F1:SHENZHEN ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],ROOM_1_D6D5A8F1:SHENZHEN ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],ROOM_1_D6D5A8F1:SHENZHEN ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:10:00,2.107362E+02,5.599332E+02,8.469436E-03,4.322367E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559883E+01,6.066709E+01,2.669216E+01,5.567689E+01
00:20:00,2.230641E+02,5.631785E+02,8.964856E-03,4.347450E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559878E+01,6.062772E+01,2.669220E+01,5.561374E+01
00:30:00,2.343993E+02,5.650644E+02,9.420385E-03,4.362021E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559873E+01,6.062844E+01,2.669222E+01,5.555570E+01
00:40:00,2.456980E+02,5.658345E+02,9.874454E-03,4.367968E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559868E+01,6.065849E+01,2.669225E+01,5.551126E+01
00:50:00,2.558760E+02,5.656860E+02,1.028348E-02,4.366818E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559865E+01,6.070890E+01,2.669228E+01,5.548286E+01
01:00:00,2.649861E+02,5.647874E+02,1.064959E-02,4.359873E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559862E+01,6.077267E+01,2.669230E+01,5.546946E+01
01:10:00,2.742605E+02,5.644479E+02,1.102230E-02,4.357243E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559859E+01,6.084442E+01,2.669233E+01,5.546892E+01
01:20:00,2.825942E+02,5.636588E+02,1.135721E-02,4.351142E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559857E+01,6.092012E+01,2.669235E+01,5.547745E+01
01:30:00,2.900761E+02,5.625148E+02,1.165789E-02,4.342303E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559855E+01,6.099678E+01,2.669237E+01,5.549275E+01
01:40:00,2.968100E+02,5.610910E+02,1.192851E-02,4.331305E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559854E+01,6.107233E+01,2.669238E+01,5.551383E+01
01:50:00,3.028757E+02,5.594527E+02,1.217228E-02,4.318651E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559853E+01,6.114542E+01,2.669240E+01,5.554019E+01
02:00:00,3.083575E+02,5.576533E+02,1.239257E-02,4.304754E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559852E+01,6.121520E+01,2.669242E+01,5.557136E+01
02:10:00,3.133314E+02,5.556939E+02,1.259246E-02,4.289623E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559851E+01,6.128119E+01,2.669243E+01,5.560677E+01
02:20:00,3.178721E+02,5.536075E+02,1.277494E-02,4.273513E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559850E+01,6.134319E+01,2.669244E+01,5.564503E+01
02:30:00,3.220382E+02,5.514143E+02,1.294237E-02,4.256577E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559850E+01,6.140117E+01,2.669246E+01,5.568538E+01
02:40:00,3.258793E+02,5.491380E+02,1.309674E-02,4.239000E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559849E+01,6.145525E+01,2.669247E+01,5.572775E+01
