Time,ROOM_2_D67BD6DB:SHENZHEN ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_2_D67BD6DB:SHENZHEN ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_2_D67BD6DB:SHENZHEN ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_2_D67BD6DB:SHENZHEN ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_2_D67BD6DB::Des Latent Heat Load [W],ROOM_2_D67BD6DB::Des Latent Cool Load [W],ROOM_2_D67BD6DB::Des Latent Heat Mass Flow [kg/s],ROOM_2_D67BD6DB::Des Latent Cool Mass Flow [kg/s],ROOM_2_D67BD6DB::Des Heat Load No DOAS [W],ROOM_2_D67BD6DB::Des Sens Cool Load No DOAS [W],ROOM_2_D67BD6DB::Des Latent Heat Load No DOAS [W],ROOM_2_D67BD6DB::Des Latent Cool Load No DOAS [W],ROOM_2_D67BD6DB:SHENZHEN ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],ROOM_2_D67BD6DB:SHENZHEN ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],ROOM_2_D67BD6DB:SHENZHEN ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],ROOM_2_D67BD6DB:SHENZHEN ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:10:00,1.556367E+02,5.136003E+02,6.254587E-03,3.967718E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559716E+01,5.952089E+01,2.668289E+01,5.591014E+01
00:20:00,1.648479E+02,5.171384E+02,6.624724E-03,3.995020E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559724E+01,5.968998E+01,2.668303E+01,5.581089E+01
00:30:00,1.733267E+02,5.193821E+02,6.965440E-03,4.012321E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559725E+01,5.985815E+01,2.668314E+01,5.575218E+01
00:40:00,1.814144E+02,5.205674E+02,7.290447E-03,4.021448E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559724E+01,6.001101E+01,2.668322E+01,5.573141E+01
00:50:00,1.896996E+02,5.208812E+02,7.623403E-03,4.023846E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559722E+01,6.014645E+01,2.668327E+01,5.572755E+01
01:00:00,1.972546E+02,5.204773E+02,7.927029E-03,4.020702E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559720E+01,6.026713E+01,2.668331E+01,5.573245E+01
01:10:00,2.053140E+02,5.206730E+02,8.250911E-03,4.022190E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559717E+01,6.037540E+01,2.668335E+01,5.574590E+01
01:20:00,2.127005E+02,5.204327E+02,8.547743E-03,4.020314E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559715E+01,6.047258E+01,2.668338E+01,5.576157E+01
01:30:00,2.194397E+02,5.198413E+02,8.818565E-03,4.015732E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559713E+01,6.055971E+01,2.668341E+01,5.578090E+01
01:40:00,2.255806E+02,5.189704E+02,9.065340E-03,4.008992E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559710E+01,6.063765E+01,2.668344E+01,5.580555E+01
